Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,57.6,"[[6.7766e+03 1.2520e+02]
 [6.6000e+00 1.4000e+00]]","[[27454.8   152.4]
 [    0.     32. ]]",0,34509,0,40,23121,26,11388,14
5,99.0,59.6,"[[3.5938e+03 8.7600e+01]
 [6.0000e+00 1.8000e+00]]","[[14613.6   112. ]
 [    0.     31.2]]",16102,18407,1,39,12330,28,6077,11
10,99.0,60.8,"[[3.0942e+03 7.5000e+01]
 [5.8000e+00 2.0000e+00]]","[[12578.     98.8]
 [    0.     31.2]]",18663,15846,1,39,10620,22,5226,17
15,99.0,63.0,"[[2.729e+03 6.160e+01]
 [5.600e+00 2.200e+00]]","[[11071.8    90.6]
 [    0.     31.2]]",20556,13953,1,39,9343,31,4610,8
20,99.0,56.2,"[[2.3996e+03 8.5000e+01]
 [6.0000e+00 1.2000e+00]]","[[9872.4   66. ]
 [   0.    28.8]]",22086,12423,4,36,8322,25,4101,11
25,99.0,65.2,"[[2151.2  133. ]
 [   4.4    2.6]]","[[9074.    62.8]
 [   0.    28. ]]",23088,11421,5,35,7648,27,3773,8
30,99.0,62.6,"[[1999.4  107.4]
 [   4.8    2.2]]","[[8368.4   58.8]
 [   0.    28. ]]",23975,10534,5,35,7062,19,3472,16
35,99.0,58.6,"[[1.7926e+03 8.5200e+01]
 [4.8000e+00 1.4000e+00]]","[[7464.    47.2]
 [   0.    24.8]]",25120,9389,9,31,6287,24,3102,7
40,99.0,55.2,"[[1.57e+03 7.90e+01]
 [5.20e+00 1.00e+00]]","[[6547.4   48.6]
 [   0.    24.8]]",26264,8245,9,31,5521,23,2724,8
45,99.0,64.6,"[[1470.4   83.8]
 [   3.4    1.8]]","[[6200.8   16. ]
 [   0.    20.8]]",26738,7771,14,26,5203,20,2568,6
50,99.0,52.8,"[[1.3296e+03 7.1000e+01]
 [4.6000e+00 6.0000e-01]]","[[5589.    13.4]
 [   0.    20.8]]",27506,7003,14,26,4688,21,2315,5
55,99.0,55.6,"[[1.1774e+03 9.4000e+01]
 [4.2000e+00 1.0000e+00]]","[[5073.4   12.2]
 [   0.    20.8]]",28152,6357,14,26,4256,20,2101,6
60,99.0,57.8,"[[1053.2   74.2]
 [   4.     1.2]]","[[4497.4   12.2]
 [   0.    20.8]]",28872,5637,14,26,3775,19,1862,7
65,99.0,57.4,"[[968.6  58.2]
 [  4.    1.2]]","[[4097.4    9.8]
 [   0.    20.8]]",29375,5134,14,26,3437,20,1697,6
70,99.0,48.2,"[[8.044e+02 9.320e+01]
 [4.800e+00 4.000e-01]]","[[3582.     8.4]
 [   0.    20.8]]",30021,4488,14,26,3008,16,1480,10
75,99.0,66.0,"[[694.6 116.6]
 [  2.8   2.4]]","[[3232.4   12.4]
 [   0.    20.8]]",30453,4056,14,26,2715,19,1341,7
80,100.0,61.2,"[[653.   22.6]
 [  2.4   0.8]]","[[2702.4    0. ]
 [   0.    12.8]]",31131,3378,24,16,2264,9,1114,7
85,100.0,72.8,"[[547.4  24. ]
 [  1.2   1. ]]","[[2285.6    0. ]
 [   0.     8.8]]",31652,2857,29,11,1915,6,942,5
90,71.42857142857143,40.0,"[[2.55e+02 0.00e+00]
 [4.00e-01 2.00e-01]]","[[1021.2    0. ]
 [   0.     1.2]]",32382,2127,37,3,1425,2,702,1
95,71.42857142857143,50.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33053,1456,37,3,976,1,480,2
