Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.6,"[[6.8086e+03 9.3200e+01]
 [1.4800e+01 1.2000e+00]]","[[27607.2     0. ]
 [    0.     64. ]]",0,34509,0,80,23120,54,11389,26
5,100.0,56.2,"[[3.5708e+03 1.1060e+02]
 [1.2200e+01 2.4000e+00]]","[[14725.6     0. ]
 [    0.     58.4]]",16102,18407,7,73,12335,46,6072,27
10,100.0,52.6,"[[3.0912e+03 7.8000e+01]
 [1.2600e+01 1.2000e+00]]","[[12676.8     0. ]
 [    0.     55.2]]",18663,15846,11,69,10624,39,5222,30
15,100.0,56.8,"[[2.6812e+03 1.0940e+02]
 [1.1200e+01 2.6000e+00]]","[[11162.4     0. ]
 [    0.     55.2]]",20556,13953,11,69,9352,42,4601,27
20,100.0,54.2,"[[2.4182e+03 6.6400e+01]
 [1.1400e+01 1.6000e+00]]","[[9938.4    0. ]
 [   0.    52. ]]",22086,12423,15,65,8320,46,4103,19
25,100.0,56.0,"[[2108.8  175.4]
 [   9.8    2.6]]","[[9136.8    0. ]
 [   0.    49.6]]",23088,11421,18,62,7649,44,3772,18
30,100.0,52.8,"[[1.9832e+03 1.2360e+02]
 [1.0800e+01 1.6000e+00]]","[[8427.2    0. ]
 [   0.    49.6]]",23975,10534,18,62,7054,45,3480,17
35,100.0,58.2,"[[1707.4  170.4]
 [   8.4    3. ]]","[[7511.2    0. ]
 [   0.    45.6]]",25120,9389,23,57,6288,40,3101,17
40,100.0,53.8,"[[1.6198e+03 2.9200e+01]
 [9.0000e+00 1.0000e+00]]","[[6596.    0.]
 [   0.   40.]]",26264,8245,30,50,5524,33,2721,17
45,100.0,49.6,"[[1.4832e+03 7.1000e+01]
 [8.4000e+00 4.0000e-01]]","[[6216.8    0. ]
 [   0.    35.2]]",26738,7771,36,44,5206,30,2565,14
50,100.0,51.0,"[[1.3376e+03 6.3000e+01]
 [8.2000e+00 6.0000e-01]]","[[5602.4    0. ]
 [   0.    35.2]]",27506,7003,36,44,4694,27,2309,17
55,100.0,53.0,"[[1.209e+03 6.240e+01]
 [7.400e+00 1.000e+00]]","[[5085.6    0. ]
 [   0.    33.6]]",28152,6357,38,42,4259,28,2098,14
60,100.0,52.0,"[[1.0812e+03 4.6200e+01]
 [7.6000e+00 8.0000e-01]]","[[4509.6    0. ]
 [   0.    33.6]]",28872,5637,38,42,3772,32,1865,10
65,100.0,53.8,"[[986.4  40.4]
 [  7.4   1. ]]","[[4107.2    0. ]
 [   0.    33.6]]",29375,5134,38,42,3440,27,1694,15
70,100.0,53.2,"[[852.6  45. ]
 [  7.4   1. ]]","[[3590.4    0. ]
 [   0.    33.6]]",30021,4488,38,42,3008,27,1480,15
75,100.0,51.2,"[[7.964e+02 1.480e+01]
 [8.000e+00 4.000e-01]]","[[3244.8    0. ]
 [   0.    33.6]]",30453,4056,38,42,2717,28,1339,14
80,100.0,59.0,"[[640.   35.6]
 [  3.8   1. ]]","[[2702.4    0. ]
 [   0.    19.2]]",31131,3378,56,24,2260,19,1118,5
85,100.0,69.4,"[[553.2  18.2]
 [  2.    1.6]]","[[2285.6    0. ]
 [   0.    14.4]]",31652,2857,62,18,1917,9,940,9
90,100.0,59.6,"[[4.23e+02 2.40e+00]
 [1.00e+00 2.00e-01]]","[[1701.6    0. ]
 [   0.     4.8]]",32382,2127,74,6,1427,2,700,4
95,100.0,58.8,"[[2.85e+02 6.20e+00]
 [1.00e+00 2.00e-01]]","[[1164.8    0. ]
 [   0.     4.8]]",33053,1456,74,6,974,5,482,1
