Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,96.6,69.6,"[[6.4054e+03 4.9640e+02]
 [4.2000e+00 3.8000e+00]]","[[26004.   1603.2]
 [    0.     32. ]]",0,34509,0,40,23117,30,11392,10
5,94.8,75.4,"[[3.3446e+03 3.3680e+02]
 [3.0000e+00 4.8000e+00]]","[[1.35334e+04 1.19220e+03]
 [4.00000e-01 3.08000e+01]]",16102,18407,1,39,12330,28,6077,11
10,94.6,78.2,"[[2.8452e+03 3.2400e+02]
 [2.6000e+00 5.2000e+00]]","[[1.15506e+04 1.12620e+03]
 [4.00000e-01 3.08000e+01]]",18663,15846,1,39,10619,23,5227,16
15,94.0,70.4,"[[2477.   313.6]
 [   3.6    4.2]]","[[1.0091e+04 1.0714e+03]
 [4.0000e-01 3.0800e+01]]",20556,13953,1,39,9348,26,4605,13
20,94.8,70.4,"[[2153.   331.6]
 [   3.2    4. ]]","[[8966.6  971.8]
 [   0.    28.8]]",22086,12423,4,36,8323,24,4100,12
25,93.6,76.0,"[[1993.4  290.8]
 [   2.4    4.6]]","[[8.3282e+03 8.0860e+02]
 [8.0000e-01 2.7200e+01]]",23088,11421,5,35,7655,20,3766,15
30,93.4,75.2,"[[1810.4  296.4]
 [   2.4    4.6]]","[[7.664e+03 7.632e+02]
 [8.000e-01 2.720e+01]]",23975,10534,5,35,7056,25,3478,10
35,93.8,73.0,"[[1607.4  270.4]
 [   2.4    3.8]]","[[6.8362e+03 6.7500e+02]
 [6.0000e-01 2.4200e+01]]",25120,9389,9,31,6292,19,3097,12
40,94.2,73.6,"[[1423.6  225.4]
 [   2.4    3.8]]","[[5.9878e+03 6.0820e+02]
 [4.0000e-01 2.4400e+01]]",26264,8245,9,31,5528,16,2717,15
45,95.2,76.8,"[[1364.4  189.8]
 [   1.8    3.4]]","[[5650.   566.8]
 [   0.    20.8]]",26738,7771,14,26,5206,17,2565,9
50,95.0,71.6,"[[1231.8  168.8]
 [   2.2    3. ]]","[[5085.6  516.8]
 [   0.    20.8]]",27506,7003,14,26,4694,15,2309,11
55,95.0,74.6,"[[1104.   167.4]
 [   2.     3.2]]","[[4618.6  467. ]
 [   0.    20.8]]",28152,6357,14,26,4259,17,2098,9
60,95.0,72.6,"[[977.6 149.8]
 [  2.2   3. ]]","[[4120.8  388.8]
 [   0.    20.8]]",28872,5637,14,26,3774,20,1863,6
65,94.8,67.2,"[[883.  143.8]
 [  2.6   2.6]]","[[3723.2  384. ]
 [   0.    20.8]]",29375,5134,14,26,3438,19,1696,7
70,94.6,69.6,"[[756.6 141. ]
 [  2.2   3. ]]","[[3226.4  364. ]
 [   0.    20.8]]",30021,4488,14,26,3010,14,1478,12
75,93.0,76.4,"[[671.4 139.8]
 [  1.6   3.6]]","[[2.8856e+03 3.5920e+02]
 [4.0000e-01 2.0400e+01]]",30453,4056,14,26,2715,19,1341,7
80,95.0,78.0,"[[611.8  63.8]
 [  1.    2.2]]","[[2465.   237.4]
 [   0.    12.8]]",31131,3378,24,16,2262,11,1116,5
85,97.8,89.4,"[[5.086e+02 6.280e+01]
 [2.000e-01 2.000e+00]]","[[2203.8   81.8]
 [   0.     8.8]]",31652,2857,29,11,1915,6,942,5
90,70.71428571428571,59.2,"[[248.8   6.2]
 [  0.    0.6]]","[[1009.8   11.4]
 [   0.     1.2]]",32382,2127,37,3,1424,3,703,0
95,70.71428571428571,59.4,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33053,1456,37,3,976,1,480,2
