Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,72.2,64.2,"[[2.9082e+03 3.9936e+03]
 [1.0000e+00 7.0000e+00]]","[[1.28032e+04 1.48040e+04]
 [4.00000e-01 3.16000e+01]]",0,34509,0,40,23116,31,11393,9
5,70.6,66.4,"[[1.5530e+03 2.1284e+03]
 [6.0000e-01 7.2000e+00]]","[[6.4380e+03 8.2876e+03]
 [6.0000e-01 3.0600e+01]]",16102,18407,1,39,12333,25,6074,14
10,72.0,64.0,"[[1.5096e+03 1.6596e+03]
 [1.4000e+00 6.4000e+00]]","[[6.0922e+03 6.5846e+03]
 [1.0000e+00 3.0200e+01]]",18663,15846,1,39,10621,21,5225,18
15,71.8,57.6,"[[1220.  1570.6]
 [   2.2    5.6]]","[[5.2160e+03 5.9464e+03]
 [6.0000e-01 3.0600e+01]]",20556,13953,1,39,9349,25,4604,14
20,71.4,57.4,"[[1103.6 1381. ]
 [   2.     5.2]]","[[4.5050e+03 5.4334e+03]
 [4.0000e-01 2.8400e+01]]",22086,12423,4,36,8319,28,4104,8
25,73.2,60.2,"[[1064.6 1219.6]
 [   1.8    5.2]]","[[4.4700e+03 4.6668e+03]
 [4.0000e-01 2.7600e+01]]",23088,11421,5,35,7645,30,3776,5
30,73.2,60.0,"[[ 983.2 1123.6]
 [   1.8    5.2]]","[[4.1050e+03 4.3222e+03]
 [4.0000e-01 2.7600e+01]]",23975,10534,5,35,7058,23,3476,12
35,76.0,61.0,"[[1055.4  822.4]
 [   2.     4.2]]","[[4.1084e+03 3.4028e+03]
 [4.0000e-01 2.4400e+01]]",25120,9389,9,31,6291,20,3098,11
40,75.6,67.2,"[[925.2 723.8]
 [  1.4   4.8]]","[[3.5938e+03 3.0022e+03]
 [6.0000e-01 2.4200e+01]]",26264,8245,9,31,5519,25,2726,6
45,80.2,66.4,"[[992.2 562. ]
 [  1.6   3.6]]","[[3.8618e+03 2.3550e+03]
 [2.0000e-01 2.0600e+01]]",26738,7771,14,26,5206,17,2565,9
50,84.6,59.0,"[[1105.8  294.8]
 [   3.     2.2]]","[[4.4122e+03 1.1902e+03]
 [1.8000e+00 1.9000e+01]]",27506,7003,14,26,4694,15,2309,11
55,84.4,64.2,"[[990.8 280.6]
 [  2.6   2.6]]","[[3.9894e+03 1.0962e+03]
 [1.8000e+00 1.9000e+01]]",28152,6357,14,26,4255,21,2102,5
60,83.2,61.8,"[[872.  255.4]
 [  2.8   2.4]]","[[3.5186e+03 9.9100e+02]
 [2.2000e+00 1.8600e+01]]",28872,5637,14,26,3777,17,1860,9
65,84.2,60.4,"[[799.8 227. ]
 [  2.8   2.4]]","[[3.1808e+03 9.2640e+02]
 [1.8000e+00 1.9000e+01]]",29375,5134,14,26,3438,19,1696,7
70,83.4,60.0,"[[688.  209.6]
 [  2.8   2.4]]","[[2.772e+03 8.184e+02]
 [2.000e+00 1.880e+01]]",30021,4488,14,26,3005,19,1483,7
75,81.4,62.6,"[[610.6 200.6]
 [  2.6   2.6]]","[[2.4534e+03 7.9140e+02]
 [2.4000e+00 1.8400e+01]]",30453,4056,14,26,2717,17,1339,9
80,86.0,66.8,"[[504.4 171.2]
 [  1.2   2. ]]","[[2.0524e+03 6.5000e+02]
 [4.0000e-01 1.2400e+01]]",31131,3378,24,16,2263,10,1115,6
85,95.6,85.8,"[[5.264e+02 4.500e+01]
 [4.000e-01 1.800e+00]]","[[2.1624e+03 1.2320e+02]
 [2.0000e-01 8.6000e+00]]",31652,2857,29,11,1915,6,942,5
90,71.42857142857143,40.0,"[[2.55e+02 0.00e+00]
 [4.00e-01 2.00e-01]]","[[1021.2    0. ]
 [   0.     1.2]]",32382,2127,37,3,1426,1,701,2
95,71.42857142857143,40.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33053,1456,37,3,975,2,481,1
