Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,49.2,"[[6.8636e+03 3.8200e+01]
 [3.2000e+00 0.0000e+00]]","[[2.76072e+04 0.00000e+00]
 [0.00000e+00 1.28000e+01]]",0,34509,0,16,23122,9,11387,7
5,100.0,59.2,"[[3.632e+03 4.940e+01]
 [2.600e+00 6.000e-01]]","[[1.47256e+04 0.00000e+00]
 [0.00000e+00 1.28000e+01]]",16102,18407,0,16,12333,10,6074,6
10,100.0,61.4,"[[3.129e+03 4.020e+01]
 [2.400e+00 8.000e-01]]","[[12676.8     0. ]
 [    0.     12.8]]",18663,15846,0,16,10616,11,5230,5
15,100.0,58.8,"[[2.753e+03 3.760e+01]
 [2.600e+00 6.000e-01]]","[[11162.4     0. ]
 [    0.     12.8]]",20556,13953,0,16,9345,14,4608,2
20,100.0,55.8,"[[2.4542e+03 3.0400e+01]
 [2.6000e+00 4.0000e-01]]","[[9938.4    0. ]
 [   0.    12. ]]",22086,12423,1,15,8323,10,4100,5
25,100.0,55.8,"[[2.2558e+03 2.8400e+01]
 [2.4000e+00 4.0000e-01]]","[[9136.8    0. ]
 [   0.    11.2]]",23088,11421,2,14,7649,12,3772,2
30,100.0,64.4,"[[2.0244e+03 8.2400e+01]
 [1.8000e+00 1.0000e+00]]","[[8427.2    0. ]
 [   0.    11.2]]",23975,10534,2,14,7058,9,3476,5
35,100.0,52.6,"[[1.8022e+03 7.5600e+01]
 [2.2000e+00 2.0000e-01]]","[[7511.2    0. ]
 [   0.     9.6]]",25120,9389,4,12,6290,8,3099,4
40,100.0,69.2,"[[1.5788e+03 7.0200e+01]
 [1.4000e+00 1.0000e+00]]","[[6596.     0. ]
 [   0.     9.6]]",26264,8245,4,12,5520,12,2725,0
45,100.0,54.6,"[[1.552e+03 2.200e+00]
 [2.000e+00 2.000e-01]]","[[6216.8    0. ]
 [   0.     8.8]]",26738,7771,5,11,5206,7,2565,4
50,100.0,57.6,"[[1.3426e+03 5.8000e+01]
 [1.8000e+00 4.0000e-01]]","[[5602.4    0. ]
 [   0.     8.8]]",27506,7003,5,11,4692,7,2311,4
55,100.0,59.0,"[[1.2522e+03 1.9200e+01]
 [1.8000e+00 4.0000e-01]]","[[5085.6    0. ]
 [   0.     8.8]]",28152,6357,5,11,4257,9,2100,2
60,100.0,59.6,"[[1.1212e+03 6.2000e+00]
 [1.8000e+00 4.0000e-01]]","[[4509.6    0. ]
 [   0.     8.8]]",28872,5637,5,11,3776,8,1861,3
65,100.0,63.0,"[[9.91e+02 3.58e+01]
 [1.40e+00 8.00e-01]]","[[4107.2    0. ]
 [   0.     8.8]]",29375,5134,5,11,3443,4,1691,7
70,100.0,62.6,"[[8.626e+02 3.500e+01]
 [1.600e+00 6.000e-01]]","[[3590.4    0. ]
 [   0.     8.8]]",30021,4488,5,11,3008,6,1480,5
75,100.0,59.2,"[[8.056e+02 5.600e+00]
 [1.800e+00 4.000e-01]]","[[3244.8    0. ]
 [   0.     8.8]]",30453,4056,5,11,2715,9,1341,2
80,100.0,78.4,"[[6.574e+02 1.820e+01]
 [6.000e-01 8.000e-01]]","[[2702.4    0. ]
 [   0.     5.6]]",31131,3378,9,7,2262,5,1116,2
85,99.6,88.8,"[[5.604e+02 1.100e+01]
 [2.000e-01 8.000e-01]]","[[2.2852e+03 4.0000e-01]
 [0.0000e+00 4.0000e+00]]",31652,2857,11,5,1913,4,944,1
90,44.333333333333336,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32382,2127,15,1,1424,1,703,0
95,44.333333333333336,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33053,1456,15,1,975,1,481,0
