Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,64.8,"[[6.6808e+03 2.3460e+02]
 [6.6000e+00 3.6000e+00]]","[[27449.8   211.8]
 [    0.     40.8]]",0,34577,0,51,23170,30,11407,21
5,99.0,65.0,"[[3502.4  183.2]
 [   6.4    3.6]]","[[14616.6   125.8]
 [    0.     40. ]]",16149,18428,1,50,12345,35,6083,15
10,99.0,63.6,"[[3001.   171. ]
 [   6.6    3.4]]","[[12566.   122.]
 [    0.    40.]]",18717,15860,1,50,10626,33,5234,17
15,99.0,63.4,"[[2620.4  172.4]
 [   6.6    3.4]]","[[11067.4   103.8]
 [    0.     40. ]]",20613,13964,1,50,9353,36,4611,14
20,99.0,63.4,"[[2327.6  158.2]
 [   6.4    3.4]]","[[9847.6   95.6]
 [   0.    39.2]]",22148,12429,2,49,8330,30,4099,19
25,99.0,60.8,"[[2157.2  127.6]
 [   7.     2.6]]","[[9044.8   94.4]
 [   0.    38.4]]",23153,11424,3,48,7653,33,3771,15
30,99.0,65.6,"[[2006.8  100.8]
 [   5.8    3.4]]","[[8358.6   71.8]
 [   0.    36.8]]",24039,10538,5,46,7061,30,3477,16
35,99.0,66.6,"[[1816.6   62. ]
 [   5.2    3. ]]","[[7475.    39.4]
 [   0.    32.8]]",25184,9393,10,41,6287,33,3106,8
40,99.0,74.0,"[[1609.6   38.6]
 [   4.     4.2]]","[[6553.2   39.6]
 [   0.    32.8]]",26336,8241,10,41,5521,27,2720,14
45,99.0,64.0,"[[1520.2   33. ]
 [   5.     2.4]]","[[6182.8   30. ]
 [   0.    29.6]]",26811,7766,14,37,5200,28,2566,9
50,99.0,66.6,"[[1368.4   31.2]
 [   4.8    2.6]]","[[5572.6   25.8]
 [   0.    29.6]]",27579,6998,14,37,4694,19,2304,18
55,99.0,74.4,"[[1228.8   41.2]
 [   3.4    4. ]]","[[5053.    27. ]
 [   0.    29.6]]",28227,6350,14,37,4256,23,2094,14
60,99.6,72.0,"[[1094.    37. ]
 [   2.     1.8]]","[[4.5232e+03 8.0000e-01]
 [0.0000e+00 1.5200e+01]]",28922,5655,32,19,3787,14,1868,5
65,100.0,69.8,"[[982.4  47.8]
 [  2.2   1.6]]","[[4120.8    0. ]
 [   0.    15.2]]",29426,5151,32,19,3449,14,1702,5
70,99.8,71.4,"[[847.4  53.2]
 [  1.8   2. ]]","[[3.6016e+03 8.0000e-01]
 [0.0000e+00 1.5200e+01]]",30074,4503,32,19,3016,13,1487,6
75,99.8,60.4,"[[773.8  40.4]
 [  2.8   1. ]]","[[3.2566e+03 2.0000e-01]
 [0.0000e+00 1.5200e+01]]",30506,4071,32,19,2728,12,1343,7
80,100.0,68.2,"[[658.2  19.6]
 [  1.2   0.8]]","[[2711.2    0. ]
 [   0.     8. ]]",31188,3389,41,10,2269,8,1120,2
85,100.0,73.8,"[[561.4  11.4]
 [  1.    0.8]]","[[2291.2    0. ]
 [   0.     7.2]]",31713,2864,42,9,1918,6,946,3
90,71.42857142857143,46.4,"[[170.    0. ]
 [  0.2   0.2]]","[[681.2   0. ]
 [  0.    0.8]]",32449,2128,48,3,1425,2,703,1
95,71.42857142857143,37.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33117,1460,48,3,979,1,481,2
