Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,63.0,"[[6.8528e+03 6.2600e+01]
 [7.2000e+00 3.0000e+00]]","[[27661.6     0. ]
 [    0.     40.8]]",0,34577,0,51,23170,30,11407,21
5,100.0,60.8,"[[3.6186e+03 6.7000e+01]
 [7.6000e+00 2.4000e+00]]","[[14742.4     0. ]
 [    0.     40. ]]",16149,18428,1,50,12348,32,6080,18
10,100.0,60.4,"[[3.0978e+03 7.4200e+01]
 [7.6000e+00 2.4000e+00]]","[[12688.     0.]
 [    0.    40.]]",18717,15860,1,50,10622,37,5238,13
15,100.0,55.4,"[[2.7242e+03 6.8600e+01]
 [8.6000e+00 1.4000e+00]]","[[11171.2     0. ]
 [    0.     40. ]]",20613,13964,1,50,9358,31,4606,19
20,100.0,60.0,"[[2.4156e+03 7.0200e+01]
 [7.4000e+00 2.4000e+00]]","[[9943.2    0. ]
 [   0.    39.2]]",22148,12429,2,49,8329,31,4100,18
25,100.0,57.8,"[[2.2484e+03 3.6400e+01]
 [8.0000e+00 1.6000e+00]]","[[9139.2    0. ]
 [   0.    38.4]]",23153,11424,3,48,7655,31,3769,17
30,100.0,50.8,"[[2.0552e+03 5.2400e+01]
 [8.8000e+00 4.0000e-01]]","[[8430.4    0. ]
 [   0.    36.8]]",24039,10538,5,46,7063,28,3475,18
35,100.0,55.0,"[[1.8072e+03 7.1400e+01]
 [7.0000e+00 1.2000e+00]]","[[7514.4    0. ]
 [   0.    32.8]]",25184,9393,10,41,6289,31,3104,10
40,100.0,54.4,"[[1.6014e+03 4.6800e+01]
 [7.2000e+00 1.0000e+00]]","[[6592.8    0. ]
 [   0.    32.8]]",26336,8241,10,41,5519,29,2722,12
45,100.0,60.4,"[[1531.8   21.4]
 [   5.6    1.8]]","[[6212.8    0. ]
 [   0.    29.6]]",26811,7766,14,37,5204,24,2562,13
50,100.0,58.0,"[[1354.2   45.4]
 [   6.     1.4]]","[[5598.4    0. ]
 [   0.    29.6]]",27579,6998,14,37,4692,21,2306,16
55,100.0,58.4,"[[1205.    65. ]
 [   5.8    1.6]]","[[5080.     0. ]
 [   0.    29.6]]",28227,6350,14,37,4257,22,2093,15
60,100.0,73.2,"[[1081.6   49.4]
 [   1.8    2. ]]","[[4524.     0. ]
 [   0.    15.2]]",28922,5655,32,19,3791,10,1864,9
65,100.0,62.2,"[[984.2  46. ]
 [  2.8   1. ]]","[[4120.8    0. ]
 [   0.    15.2]]",29426,5151,32,19,3450,13,1701,6
70,100.0,69.6,"[[857.4  43.2]
 [  2.    1.8]]","[[3602.4    0. ]
 [   0.    15.2]]",30074,4503,32,19,3013,16,1490,3
75,100.0,64.2,"[[769.6  44.6]
 [  2.6   1.2]]","[[3256.8    0. ]
 [   0.    15.2]]",30506,4071,32,19,2731,9,1340,10
80,100.0,61.4,"[[6.332e+02 4.460e+01]
 [1.400e+00 6.000e-01]]","[[2711.2    0. ]
 [   0.     8. ]]",31188,3389,41,10,2270,7,1119,3
85,100.0,73.8,"[[561.8  11. ]
 [  0.8   1. ]]","[[2291.2    0. ]
 [   0.     7.2]]",31713,2864,42,9,1920,4,944,5
90,71.42857142857143,39.2,"[[170.    0. ]
 [  0.2   0.2]]","[[681.2   0. ]
 [  0.    0.8]]",32449,2128,48,3,1424,3,704,0
95,71.42857142857143,28.8,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33117,1460,48,3,978,2,482,1
