Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,93.4,87.6,"[[6.1444e+03 7.7100e+02]
 [2.0000e+00 1.3800e+01]]","[[2.50632e+04 2.59840e+03]
 [1.40000e+00 6.18000e+01]]",0,34577,0,79,23164,55,11413,24
5,91.4,84.0,"[[3.0846e+03 6.0100e+02]
 [2.2000e+00 1.3000e+01]]","[[1.2893e+04 1.8494e+03]
 [2.0000e+00 5.8800e+01]]",16149,18428,3,76,12342,55,6086,21
10,91.0,83.8,"[[2.6236e+03 5.4840e+02]
 [2.2000e+00 1.3000e+01]]","[[1.09738e+04 1.71420e+03]
 [2.20000e+00 5.86000e+01]]",18717,15860,3,76,10620,57,5240,19
15,90.4,80.8,"[[2305.8  487. ]
 [   3.    12.2]]","[[9.6048e+03 1.5664e+03]
 [2.6000e+00 5.8200e+01]]",20613,13964,3,76,9357,49,4607,27
20,89.8,80.4,"[[2029.   456.8]
 [   3.    12. ]]","[[8.5052e+03 1.4380e+03]
 [2.8000e+00 5.7200e+01]]",22148,12429,4,75,8321,56,4108,19
25,92.6,73.8,"[[1927.4  357.4]
 [   5.2    9.2]]","[[7.9636e+03 1.1756e+03]
 [6.0000e-01 5.7000e+01]]",23153,11424,7,72,7651,51,3773,21
30,92.6,73.0,"[[1772.6  335. ]
 [   5.2    8.8]]","[[7.3286e+03 1.1018e+03]
 [4.0000e-01 5.5600e+01]]",24039,10538,9,70,7063,44,3475,26
35,92.8,77.0,"[[1613.2  265.4]
 [   3.8    8.8]]","[[6.5818e+03 9.3260e+02]
 [4.0000e-01 5.0000e+01]]",25184,9393,16,63,6295,40,3098,23
40,92.8,77.2,"[[1412.8  235.4]
 [   3.8    8.8]]","[[5.7986e+03 7.9420e+02]
 [6.0000e-01 4.9800e+01]]",26336,8241,16,63,5520,43,2721,20
45,92.4,79.4,"[[1302.8  250.4]
 [   2.8    8.8]]","[[5.4208e+03 7.9200e+02]
 [6.0000e-01 4.5800e+01]]",26811,7766,21,58,5201,41,2565,17
50,92.4,78.6,"[[1165.4  234.2]
 [   2.8    8.8]]","[[4.8856e+03 7.1280e+02]
 [8.0000e-01 4.5600e+01]]",27579,6998,21,58,4693,34,2305,24
55,92.8,78.0,"[[1067.4  202.6]
 [   3.2    8.4]]","[[4.448e+03 6.320e+02]
 [6.000e-01 4.580e+01]]",28227,6350,21,58,4258,35,2092,23
60,92.4,73.6,"[[923.  208. ]
 [  2.2   4.4]]","[[3.9912e+03 5.3280e+02]
 [6.0000e-01 2.5800e+01]]",28922,5655,46,33,3790,20,1865,13
65,92.4,74.0,"[[827.2 203. ]
 [  2.2   4.4]]","[[3.5946e+03 5.2620e+02]
 [4.0000e-01 2.6000e+01]]",29426,5151,46,33,3449,24,1702,9
70,92.2,75.2,"[[716.4 184.2]
 [  1.8   4.8]]","[[3.138e+03 4.644e+02]
 [4.000e-01 2.600e+01]]",30074,4503,46,33,3017,22,1486,11
75,92.0,72.6,"[[635.4 178.8]
 [  2.2   4.4]]","[[2.8146e+03 4.4220e+02]
 [4.0000e-01 2.6000e+01]]",30506,4071,46,33,2730,19,1341,14
80,93.4,64.0,"[[534.8 143. ]
 [  2.    1.8]]","[[2.4272e+03 2.8400e+02]
 [2.0000e-01 1.5000e+01]]",31188,3389,60,19,2269,14,1120,5
85,97.0,76.6,"[[509.8  63. ]
 [  1.2   2. ]]","[[2175.   116.2]
 [   0.    12.8]]",31713,2864,63,16,1921,8,943,8
90,97.8,80.4,"[[389.4  36.2]
 [  0.4   1.2]]","[[1645.4   57. ]
 [   0.     6.4]]",32449,2128,71,8,1427,4,701,4
95,82.0,57.6,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33117,1460,75,4,977,3,483,1
