Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,72.6,64.2,"[[3.5438e+03 3.3716e+03]
 [3.4000e+00 1.2400e+01]]","[[1.40432e+04 1.36184e+04]
 [2.60000e+00 6.06000e+01]]",0,34577,0,79,23169,50,11408,29
5,68.4,63.2,"[[1781.8 1903.8]
 [   3.2   12. ]]","[[6.1926e+03 8.5498e+03]
 [2.4000e+00 5.8400e+01]]",16149,18428,3,76,12347,50,6081,26
10,68.0,63.4,"[[1523.2 1648.8]
 [   3.    12.2]]","[[5.220e+03 7.468e+03]
 [2.400e+00 5.840e+01]]",18717,15860,3,76,10630,47,5230,29
15,67.8,65.2,"[[1341.2 1451.6]
 [   2.6   12.6]]","[[4.5120e+03 6.6592e+03]
 [2.4000e+00 5.8400e+01]]",20613,13964,3,76,9361,45,4603,31
20,70.0,61.0,"[[1327.2 1158.6]
 [   4.6   10.4]]","[[4.6624e+03 5.2808e+03]
 [3.8000e+00 5.6200e+01]]",22148,12429,4,75,8327,50,4102,25
25,72.8,59.4,"[[1281.4 1003.4]
 [   5.4    9. ]]","[[4.6118e+03 4.5274e+03]
 [2.2000e+00 5.5400e+01]]",23153,11424,7,72,7650,52,3774,20
30,73.2,59.4,"[[1262.   845.6]
 [   5.6    8.4]]","[[4.3552e+03 4.0752e+03]
 [2.2000e+00 5.3800e+01]]",24039,10538,9,70,7058,49,3480,21
35,78.6,61.4,"[[1257.6  621. ]
 [   5.4    7.2]]","[[4.6690e+03 2.8454e+03]
 [2.0000e+00 4.8400e+01]]",25184,9393,16,63,6288,47,3105,16
40,78.4,60.0,"[[1102.2  546. ]
 [   5.6    7. ]]","[[4.0964e+03 2.4964e+03]
 [2.2000e+00 4.8200e+01]]",26336,8241,16,63,5518,45,2723,18
45,82.2,63.8,"[[1219.   334.2]
 [   5.6    6. ]]","[[4786.2 1426.6]
 [   5.2   41.2]]",26811,7766,21,58,5204,38,2562,20
50,82.4,66.2,"[[1087.8  311.8]
 [   5.2    6.4]]","[[4320.  1278.4]
 [   5.2   41.2]]",27579,6998,21,58,4685,42,2313,16
55,82.4,64.8,"[[1004.8  265.2]
 [   5.6    6. ]]","[[3891.8 1188.2]
 [   5.    41.4]]",28227,6350,21,58,4252,41,2098,17
60,82.2,77.6,"[[847.8 283.2]
 [  1.2   5.4]]","[[3.4408e+03 1.0832e+03]
 [2.8000e+00 2.3600e+01]]",28922,5655,46,33,3792,18,1863,15
65,81.6,74.0,"[[769.  261.2]
 [  1.8   4.8]]","[[3.0904e+03 1.0304e+03]
 [2.8000e+00 2.3600e+01]]",29426,5151,46,33,3448,25,1703,8
70,81.4,76.6,"[[705.2 195.4]
 [  1.6   5. ]]","[[2676.6  925.8]
 [   2.8   23.6]]",30074,4503,46,33,3020,19,1483,14
75,80.2,73.0,"[[590.4 223.8]
 [  1.8   4.8]]","[[2357.6  899.2]
 [   2.8   23.6]]",30506,4071,46,33,2723,26,1348,7
80,82.2,63.4,"[[459.  218.8]
 [  1.6   2.2]]","[[2.0284e+03 6.8280e+02]
 [1.4000e+00 1.3800e+01]]",31188,3389,60,19,2272,11,1117,8
85,89.2,79.8,"[[459.8 113. ]
 [  0.6   2.6]]","[[1.9252e+03 3.6600e+02]
 [6.0000e-01 1.2200e+01]]",31713,2864,63,16,1919,10,945,6
90,98.4,82.2,"[[4.03e+02 2.26e+01]
 [4.00e-01 1.20e+00]]","[[1664.    38.4]
 [   0.     6.4]]",32449,2128,71,8,1426,5,702,3
95,82.83333333333333,69.2,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33117,1460,75,4,978,2,482,2
