Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.4,66.6,"[[6.8452e+03 7.0200e+01]
 [2.6000e+00 1.6000e+00]]","[[2.76608e+04 8.00000e-01]
 [0.00000e+00 1.68000e+01]]",0,34577,0,21,23168,12,11409,9
5,99.4,65.8,"[[3.62e+03 6.56e+01]
 [2.80e+00 1.40e+00]]","[[1.47418e+04 6.00000e-01]
 [0.00000e+00 1.68000e+01]]",16149,18428,0,21,12348,12,6080,9
10,99.8,71.4,"[[3.1132e+03 5.8800e+01]
 [2.4000e+00 1.8000e+00]]","[[1.26878e+04 2.00000e-01]
 [0.00000e+00 1.68000e+01]]",18717,15860,0,21,10622,18,5238,3
15,99.6,63.6,"[[2.7302e+03 6.2600e+01]
 [3.0000e+00 1.2000e+00]]","[[1.11708e+04 4.00000e-01]
 [0.00000e+00 1.68000e+01]]",20613,13964,0,21,9354,15,4610,6
20,99.8,63.4,"[[2.424e+03 6.180e+01]
 [3.000e+00 1.200e+00]]","[[9.943e+03 2.000e-01]
 [0.000e+00 1.680e+01]]",22148,12429,0,21,8324,17,4105,4
25,100.0,68.8,"[[2.2478e+03 3.7000e+01]
 [2.4000e+00 1.6000e+00]]","[[9139.2    0. ]
 [   0.    16. ]]",23153,11424,1,20,7652,15,3772,5
30,99.6,63.6,"[[2.0784e+03 2.9200e+01]
 [2.8000e+00 1.0000e+00]]","[[8.43e+03 4.00e-01]
 [0.00e+00 1.52e+01]]",24039,10538,2,19,7062,11,3476,8
35,99.6,69.2,"[[1.8572e+03 2.1400e+01]
 [2.0000e+00 1.2000e+00]]","[[7.514e+03 4.000e-01]
 [0.000e+00 1.280e+01]]",25184,9393,5,16,6293,11,3100,5
40,99.6,72.6,"[[1.6362e+03 1.2000e+01]
 [1.6000e+00 1.6000e+00]]","[[6.5924e+03 4.0000e-01]
 [0.0000e+00 1.2800e+01]]",26336,8241,5,16,5521,11,2720,5
45,99.6,69.4,"[[1.5436e+03 9.6000e+00]
 [1.6000e+00 1.2000e+00]]","[[6.2124e+03 4.0000e-01]
 [0.0000e+00 1.1200e+01]]",26811,7766,7,14,5201,11,2565,3
50,99.4,72.6,"[[1.3898e+03 9.8000e+00]
 [1.6000e+00 1.2000e+00]]","[[5.5978e+03 6.0000e-01]
 [0.0000e+00 1.1200e+01]]",27579,6998,7,14,4690,8,2308,6
55,99.6,70.8,"[[1.2598e+03 1.0200e+01]
 [1.6000e+00 1.2000e+00]]","[[5.0796e+03 4.0000e-01]
 [0.0000e+00 1.1200e+01]]",28227,6350,7,14,4252,11,2098,3
60,83.16666666666667,50.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",28922,5655,17,4,3788,3,1867,1
65,83.0,49.8,"[[8.21e+02 3.00e+00]
 [6.00e-01 2.00e-01]]","[[3.2966e+03 2.0000e-01]
 [0.0000e+00 2.4000e+00]]",29426,5151,17,4,3450,3,1701,1
70,83.0,49.8,"[[3.57e+02 3.00e+00]
 [2.00e-01 2.00e-01]]","[[1.4412e+03 0.0000e+00]
 [0.0000e+00 1.2000e+00]]",30074,4503,17,4,3015,4,1488,0
75,83.0,49.6,"[[6.474e+02 3.800e+00]
 [6.000e-01 2.000e-01]]","[[2.6054e+03 2.0000e-01]
 [0.0000e+00 2.4000e+00]]",30506,4071,17,4,2726,4,1345,0
80,71.0,47.0,"[[96.4 39. ]
 [ 0.   0.2]]","[[5.424e+02 0.000e+00]
 [0.000e+00 4.000e-01]]",31188,3389,18,3,2269,3,1120,0
85,71.14285714285714,46.8,"[[79.2 35.2]
 [ 0.   0.2]]","[[4.584e+02 0.000e+00]
 [0.000e+00 4.000e-01]]",31713,2864,18,3,1918,2,946,1
90,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",32449,2128,21,0,1425,0,703,0
95,0.0,0.0,"[[0, 0], [0, 0]]","[[0, 0], [0, 0]]",33117,1460,21,0,978,0,482,0
