Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,64.4,"[[6.7752e+03 1.4320e+02]
 [6.8000e+00 3.2000e+00]]","[[27507.6   166. ]
 [    0.     40. ]]",0,34592,0,50,23174,36,11418,14
5,99.0,60.6,"[[3.574e+03 1.142e+02]
 [7.400e+00 2.400e+00]]","[[14645.2   107.6]
 [    0.     39.2]]",16151,18441,1,49,12364,24,6077,25
10,99.0,62.8,"[[3.0924e+03 8.3200e+01]
 [6.2000e+00 2.6000e+00]]","[[12624.2    78.2]
 [    0.     35.2]]",18714,15878,6,44,10640,27,5238,17
15,99.0,63.8,"[[2692.4  104. ]
 [   6.     2.8]]","[[11118.2    67.4]
 [    0.     35.2]]",20610,13982,6,44,9364,33,4618,11
20,99.0,61.2,"[[2.4048e+03 8.4400e+01]
 [6.4000e+00 2.4000e+00]]","[[9893.4   63.4]
 [   0.    35.2]]",22146,12446,6,44,8337,31,4109,13
25,99.0,50.0,"[[2.213e+03 7.500e+01]
 [8.000e+00 4.000e-01]]","[[9104.2   47.8]
 [   0.    33.6]]",23152,11440,8,42,7668,24,3772,18
30,99.0,61.6,"[[2027.4   83. ]
 [   6.     2.4]]","[[8396.8   44.8]
 [   0.    33.6]]",24040,10552,8,42,7070,27,3482,15
35,99.0,76.6,"[[1733.   147.4]
 [   3.2    5. ]]","[[7490.6   31. ]
 [   0.    32.8]]",25190,9402,9,41,6307,19,3095,22
40,99.0,74.0,"[[1513.   138. ]
 [   3.     4.2]]","[[6569.6   34.4]
 [   0.    28.8]]",26337,8255,14,36,5530,24,2725,12
45,99.0,64.6,"[[1436.   119.4]
 [   4.2    2.6]]","[[6203.6   18. ]
 [   0.    27.2]]",26815,7777,16,34,5214,19,2563,15
50,99.0,70.8,"[[1304.    97.8]
 [   3.4    3.4]]","[[5589.2   18. ]
 [   0.    27.2]]",27583,7009,16,34,4693,25,2316,9
55,99.0,69.4,"[[1154.6  117.8]
 [   3.4    3.4]]","[[5074.    15.6]
 [   0.    27.2]]",28230,6362,16,34,4269,16,2093,18
60,99.0,70.8,"[[1015.4  113.4]
 [   3.2    3.6]]","[[4504.6   10.6]
 [   0.    27.2]]",28948,5644,16,34,3785,19,1859,15
65,99.2,67.8,"[[901.6 126.4]
 [  3.6   3.2]]","[[4099.    13. ]
 [   0.    27.2]]",29452,5140,16,34,3442,24,1698,10
70,99.2,68.0,"[[818.4  80.2]
 [  3.4   3.2]]","[[3587.     7.4]
 [   0.    26.4]]",30099,4493,17,33,3009,23,1484,10
75,99.2,66.2,"[[735.6  76.6]
 [  4.    2.6]]","[[3242.8    6. ]
 [   0.    26.4]]",30531,4061,17,33,2723,19,1338,14
80,100.0,66.0,"[[623.6  51.4]
 [  3.2   2.2]]","[[2700.     0. ]
 [   0.    21.6]]",31217,3375,23,27,2261,18,1114,9
85,100.0,71.8,"[[546.8  22.8]
 [  2.8   2.6]]","[[2278.4    0. ]
 [   0.    21.6]]",31744,2848,23,27,1911,15,937,12
90,100.0,74.2,"[[412.2  11.4]
 [  1.6   1.6]]","[[1694.4    0. ]
 [   0.    12.8]]",32474,2118,34,16,1415,14,703,2
95,100.0,74.6,"[[279.6  10. ]
 [  1.2   1.6]]","[[1158.4    0. ]
 [   0.    11.2]]",33144,1448,36,14,971,8,477,6
