Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,54.0,"[[6.871e+03 4.740e+01]
 [1.160e+01 1.200e+00]]","[[27673.6     0. ]
 [    0.     51.2]]",0,34592,0,64,23181,38,11411,26
5,100.0,57.6,"[[3.625e+03 6.320e+01]
 [1.020e+01 2.400e+00]]","[[14752.8     0. ]
 [    0.     50.4]]",16151,18441,1,63,12351,46,6090,17
10,100.0,58.6,"[[3.1286e+03 4.7000e+01]
 [9.4000e+00 2.2000e+00]]","[[12702.4     0. ]
 [    0.     46.4]]",18714,15878,6,58,10639,38,5239,20
15,100.0,55.0,"[[2.7484e+03 4.8000e+01]
 [1.0200e+01 1.4000e+00]]","[[11185.6     0. ]
 [    0.     46.4]]",20610,13982,6,58,9374,32,4608,26
20,100.0,56.0,"[[2.4614e+03 2.7800e+01]
 [1.0000e+01 1.6000e+00]]","[[9956.8    0. ]
 [   0.    46.4]]",22146,12446,6,58,8333,44,4113,14
25,100.0,53.2,"[[2.2436e+03 4.4400e+01]
 [1.0200e+01 1.0000e+00]]","[[9152.     0. ]
 [   0.    44.8]]",23152,11440,8,56,7669,33,3771,23
30,100.0,52.8,"[[2.066e+03 4.440e+01]
 [1.020e+01 1.000e+00]]","[[8441.6    0. ]
 [   0.    44.8]]",24040,10552,8,56,7064,43,3488,13
35,100.0,55.0,"[[1.8394e+03 4.1000e+01]
 [9.4000e+00 1.4000e+00]]","[[7521.6    0. ]
 [   0.    43.2]]",25190,9402,10,54,6295,40,3107,14
40,100.0,55.0,"[[1.6346e+03 1.6400e+01]
 [8.6000e+00 1.2000e+00]]","[[6604.     0. ]
 [   0.    39.2]]",26337,8255,15,49,5529,34,2726,15
45,100.0,55.6,"[[1.5464e+03 9.0000e+00]
 [8.2000e+00 1.2000e+00]]","[[6221.6    0. ]
 [   0.    37.6]]",26815,7777,17,47,5212,30,2565,17
50,100.0,56.6,"[[1391.2   10.6]
 [   8.     1.4]]","[[5607.2    0. ]
 [   0.    37.6]]",27583,7009,17,47,4697,30,2312,17
55,100.0,53.4,"[[1.2582e+03 1.4200e+01]
 [8.4000e+00 8.0000e-01]]","[[5089.6    0. ]
 [   0.    36.8]]",28230,6362,18,46,4262,31,2100,15
60,100.0,59.0,"[[1063.2   65.6]
 [   6.6    2.2]]","[[4515.2    0. ]
 [   0.    35.2]]",28948,5644,20,44,3782,28,1862,16
65,100.0,59.8,"[[966.6  61.4]
 [  6.4   2.4]]","[[4112.     0. ]
 [   0.    35.2]]",29452,5140,20,44,3445,28,1695,16
70,100.0,51.2,"[[8.842e+02 1.440e+01]
 [8.200e+00 4.000e-01]]","[[3594.4    0. ]
 [   0.    34.4]]",30099,4493,21,43,3010,29,1483,14
75,100.0,52.4,"[[8.024e+02 9.800e+00]
 [8.000e+00 6.000e-01]]","[[3248.8    0. ]
 [   0.    34.4]]",30531,4061,21,43,2721,28,1340,15
80,100.0,70.4,"[[662.6  12.4]
 [  3.8   2.8]]","[[2700.     0. ]
 [   0.    26.4]]",31217,3375,31,33,2259,24,1116,9
85,100.0,64.8,"[[560.6   9. ]
 [  4.4   2. ]]","[[2278.4    0. ]
 [   0.    25.6]]",31744,2848,32,32,1910,19,938,13
90,100.0,70.4,"[[415.4   8.2]
 [  2.    1.6]]","[[1694.4    0. ]
 [   0.    14.4]]",32474,2118,46,18,1421,10,697,8
95,100.0,74.6,"[[245.6  44. ]
 [  1.2   2. ]]","[[1158.4    0. ]
 [   0.    12.8]]",33144,1448,48,16,970,10,478,6
