Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,96.8,74.2,"[[6.3782e+03 5.4020e+02]
 [3.4000e+00 4.6000e+00]]","[[2.63592e+04 1.31440e+03]
 [2.00000e-01 3.18000e+01]]",0,34592,0,40,23172,31,11420,9
5,95.8,73.2,"[[3303.2  385. ]
 [   3.4    4.6]]","[[1.38214e+04 9.31400e+02]
 [4.00000e-01 3.16000e+01]]",16151,18441,0,40,12353,29,6088,11
10,95.4,77.4,"[[2.8374e+03 3.3820e+02]
 [2.4000e+00 4.8000e+00]]","[[1.18292e+04 8.73200e+02]
 [4.00000e-01 2.84000e+01]]",18714,15878,4,36,10637,25,5241,11
15,95.0,79.8,"[[2.4588e+03 3.3760e+02]
 [2.0000e+00 5.2000e+00]]","[[1.0328e+04 8.5760e+02]
 [4.0000e-01 2.8400e+01]]",20610,13982,4,36,9366,26,4616,10
20,94.6,70.8,"[[2161.4  327.8]
 [   3.2    4. ]]","[[9.1758e+03 7.8100e+02]
 [6.0000e-01 2.8200e+01]]",22146,12446,4,36,8338,24,4108,12
25,95.8,74.4,"[[1988.   300. ]
 [   2.6    4.4]]","[[8468.4  683.6]
 [   0.    28. ]]",23152,11440,5,35,7666,22,3774,13
30,95.6,70.2,"[[1828.6  281.8]
 [   3.2    3.8]]","[[7799.6  642. ]
 [   0.    28. ]]",24040,10552,5,35,7066,27,3486,8
35,96.0,77.4,"[[1637.2  243.2]
 [   2.2    4.6]]","[[6973.8  547.8]
 [   0.    27.2]]",25190,9402,6,34,6301,21,3101,13
40,95.8,70.4,"[[1462.   189. ]
 [   2.8    3.2]]","[[6122.  482.]
 [   0.   24.]]",26337,8255,10,30,5529,21,2726,9
45,96.6,83.0,"[[1.4148e+03 1.4060e+02]
 [1.4000e+00 4.2000e+00]]","[[5862.4  359.2]
 [   0.    22.4]]",26815,7777,12,28,5213,16,2564,12
50,96.4,86.0,"[[1.2706e+03 1.3120e+02]
 [1.0000e+00 4.6000e+00]]","[[5233.4  373.8]
 [   0.    22.4]]",27583,7009,12,28,4695,19,2314,9
55,96.6,82.6,"[[1145.6  126.8]
 [   1.4    4.2]]","[[4789.2  300.4]
 [   0.    22.4]]",28230,6362,12,28,4258,23,2104,5
60,96.2,84.4,"[[998.6 130.2]
 [  1.    4.6]]","[[4221.8  293.4]
 [   0.    22.4]]",28948,5644,12,28,3783,17,1861,11
65,96.4,83.6,"[[910.  118. ]
 [  1.2   4.4]]","[[3837.4  274.6]
 [   0.    22.4]]",29452,5140,12,28,3444,18,1696,10
70,96.0,81.0,"[[777.4 121.2]
 [  1.2   4.2]]","[[3336.   258.4]
 [   0.    21.6]]",30099,4493,13,27,3011,17,1482,10
75,95.4,84.2,"[[697.4 114.8]
 [  1.    4.4]]","[[3.0102e+03 2.3860e+02]
 [2.0000e-01 2.1400e+01]]",30531,4061,13,27,2723,15,1338,12
80,97.2,85.8,"[[582.8  92.2]
 [  0.6   3.8]]","[[2566.8  133.2]
 [   0.    17.6]]",31217,3375,18,22,2258,17,1117,5
85,97.0,75.6,"[[486.4  83.2]
 [  1.4   3. ]]","[[2163.   115.4]
 [   0.    17.6]]",31744,2848,18,22,1904,18,944,4
90,96.8,87.2,"[[375.4  48.2]
 [  0.4   2. ]]","[[1602.2   92.2]
 [   0.     9.6]]",32474,2118,28,12,1418,9,700,3
95,97.0,93.0,"[[2.716e+02 1.800e+01]
 [2.000e-01 2.000e+00]]","[[1102.2   56.2]
 [   0.     8.8]]",33144,1448,29,11,973,4,475,7
