Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,77.2,68.0,"[[4.0392e+03 2.8792e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68952e+04 1.07784e+04]
 [2.80000e+00 4.84000e+01]]",0,34592,0,64,23176,43,11416,21
5,75.8,69.2,"[[2184.4 1503.8]
 [   2.6   10. ]]","[[8.4760e+03 6.2768e+03]
 [2.6000e+00 4.7800e+01]]",16151,18441,1,63,12362,35,6079,28
10,75.8,69.0,"[[1919.8 1255.8]
 [   2.4    9.2]]","[[7.4330e+03 5.2694e+03]
 [2.6000e+00 4.3800e+01]]",18714,15878,6,58,10636,41,5242,17
15,75.6,68.8,"[[1696.2 1100.2]
 [   2.6    9. ]]","[[6.4646e+03 4.7210e+03]
 [2.6000e+00 4.3800e+01]]",20610,13982,6,58,9369,37,4613,21
20,75.8,69.4,"[[1500.4  988.8]
 [   2.4    9.2]]","[[5.7890e+03 4.1678e+03]
 [2.6000e+00 4.3800e+01]]",22146,12446,6,58,8337,40,4109,18
25,82.6,69.4,"[[1629.2  658.8]
 [   3.6    7.6]]","[[6.8292e+03 2.3228e+03]
 [4.0000e+00 4.0800e+01]]",23152,11440,8,56,7666,36,3774,20
30,81.6,67.8,"[[1491.   619.4]
 [   3.8    7.4]]","[[6.2408e+03 2.2008e+03]
 [4.4000e+00 4.0400e+01]]",24040,10552,8,56,7073,34,3479,22
35,83.2,69.2,"[[1363.4  517. ]
 [   3.6    7.2]]","[[5.7590e+03 1.7626e+03]
 [4.0000e+00 3.9200e+01]]",25190,9402,10,54,6297,38,3105,16
40,82.6,76.0,"[[1199.6  451.4]
 [   2.     7.8]]","[[4.9088e+03 1.6952e+03]
 [3.2000e+00 3.6000e+01]]",26337,8255,15,49,5528,35,2727,14
45,85.4,78.0,"[[1180.4  375. ]
 [   1.8    7.6]]","[[4.7776e+03 1.4440e+03]
 [2.0000e+00 3.5600e+01]]",26815,7777,17,47,5205,37,2572,10
50,85.0,77.6,"[[1059.   342.8]
 [   1.8    7.6]]","[[4.2632e+03 1.3440e+03]
 [2.0000e+00 3.5600e+01]]",27583,7009,17,47,4694,33,2315,14
55,86.0,75.0,"[[984.8 287.6]
 [  2.4   6.8]]","[[3.9946e+03 1.0950e+03]
 [2.0000e+00 3.4800e+01]]",28230,6362,18,46,4257,36,2105,10
60,86.0,75.0,"[[879.6 249.2]
 [  2.4   6.4]]","[[3.5386e+03 9.7660e+02]
 [1.8000e+00 3.3400e+01]]",28948,5644,20,44,3781,29,1863,15
65,85.8,75.0,"[[797.6 230.4]
 [  2.4   6.4]]","[[3.2056e+03 9.0640e+02]
 [1.8000e+00 3.3400e+01]]",29452,5140,20,44,3441,32,1699,12
70,86.2,73.6,"[[694.2 204.4]
 [  2.6   6. ]]","[[2.7896e+03 8.0480e+02]
 [1.6000e+00 3.2800e+01]]",30099,4493,21,43,3009,30,1484,13
75,84.8,72.6,"[[610.6 201.6]
 [  2.4   6.2]]","[[2.4592e+03 7.8960e+02]
 [1.8000e+00 3.2600e+01]]",30531,4061,21,43,2725,24,1336,19
80,85.8,70.8,"[[519.8 155.2]
 [  2.4   4.2]]","[[2.0506e+03 6.4940e+02]
 [8.0000e-01 2.5600e+01]]",31217,3375,31,33,2265,18,1110,15
85,85.4,70.0,"[[427.4 142.2]
 [  2.2   4.2]]","[[1.6778e+03 6.0060e+02]
 [4.0000e-01 2.5200e+01]]",31744,2848,32,32,1906,23,942,9
90,84.0,83.8,"[[289.6 134. ]
 [  0.    3.6]]","[[1172.   522.4]
 [   0.    14.4]]",32474,2118,46,18,1418,13,700,5
95,86.8,80.0,"[[205.4  84.2]
 [  0.4   2.8]]","[[866.  292.4]
 [  0.   12.8]]",33144,1448,48,16,966,14,482,2
