Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,60.6,"[[6.8174e+03 1.0100e+02]
 [9.8000e+00 3.0000e+00]]","[[27673.6     0. ]
 [    0.     51.2]]",0,34592,0,64,23168,51,11424,13
5,100.0,70.8,"[[3566.   122.2]
 [   6.8    5.8]]","[[14752.8     0. ]
 [    0.     50.4]]",16151,18441,1,63,12356,41,6085,22
10,100.0,70.2,"[[3061.2  114.4]
 [   6.4    5.2]]","[[12702.4     0. ]
 [    0.     46.4]]",18714,15878,6,58,10639,38,5239,20
15,100.0,61.8,"[[2714.    82.4]
 [   8.4    3.2]]","[[11185.6     0. ]
 [    0.     46.4]]",20610,13982,6,58,9367,39,4615,19
20,100.0,68.2,"[[2407.4   81.8]
 [   7.     4.6]]","[[9956.8    0. ]
 [   0.    46.4]]",22146,12446,6,58,8337,40,4109,18
25,100.0,66.4,"[[2183.2  104.8]
 [   7.     4.2]]","[[9152.     0. ]
 [   0.    44.8]]",23152,11440,8,56,7664,38,3776,18
30,100.0,65.4,"[[2013.8   96.6]
 [   7.2    4. ]]","[[8441.6    0. ]
 [   0.    44.8]]",24040,10552,8,56,7068,39,3484,17
35,100.0,68.0,"[[1762.4  118. ]
 [   6.2    4.6]]","[[7521.6    0. ]
 [   0.    43.2]]",25190,9402,10,54,6303,32,3099,22
40,100.0,65.4,"[[1578.    73. ]
 [   6.4    3.4]]","[[6604.     0. ]
 [   0.    39.2]]",26337,8255,15,49,5540,23,2715,26
45,100.0,69.0,"[[1487.    68.4]
 [   5.4    4. ]]","[[6221.6    0. ]
 [   0.    37.6]]",26815,7777,17,47,5207,35,2570,12
50,99.8,65.2,"[[1332.    69.8]
 [   5.8    3.6]]","[[5.607e+03 2.000e-01]
 [0.000e+00 3.760e+01]]",27583,7009,17,47,4695,32,2314,15
55,100.0,69.0,"[[1173.4   99. ]
 [   5.     4.2]]","[[5089.6    0. ]
 [   0.    36.8]]",28230,6362,18,46,4263,30,2099,16
60,99.6,71.6,"[[1059.4   69.4]
 [   4.4    4.4]]","[[4.5148e+03 4.0000e-01]
 [0.0000e+00 3.5200e+01]]",28948,5644,20,44,3781,29,1863,15
65,100.0,70.6,"[[958.   70. ]
 [  4.6   4.2]]","[[4112.     0. ]
 [   0.    35.2]]",29452,5140,20,44,3449,24,1691,20
70,100.0,68.4,"[[835.2  63.4]
 [  4.6   4. ]]","[[3594.4    0. ]
 [   0.    34.4]]",30099,4493,21,43,3009,30,1484,13
75,99.8,68.8,"[[750.2  62. ]
 [  4.8   3.8]]","[[3.2486e+03 2.0000e-01]
 [0.0000e+00 3.4400e+01]]",30531,4061,21,43,2719,30,1342,13
80,99.2,79.2,"[[629.   46. ]
 [  2.4   4.2]]","[[2.6992e+03 8.0000e-01]
 [0.0000e+00 2.6400e+01]]",31217,3375,31,33,2259,24,1116,9
85,99.2,78.2,"[[533.4  36.2]
 [  2.2   4.2]]","[[2.2776e+03 8.0000e-01]
 [0.0000e+00 2.5600e+01]]",31744,2848,32,32,1905,24,943,8
90,99.8,69.6,"[[408.2  15.4]
 [  2.    1.6]]","[[1.6942e+03 2.0000e-01]
 [0.0000e+00 1.4400e+01]]",32474,2118,46,18,1417,14,701,4
95,99.4,72.6,"[[272.   17.6]
 [  1.6   1.6]]","[[1.1576e+03 8.0000e-01]
 [0.0000e+00 1.2800e+01]]",33144,1448,48,16,967,13,481,3
