Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,63.2,"[[6.4654e+03 4.5420e+02]
 [7.6000e+00 4.0000e+00]]","[[27399.4   279. ]
 [    0.     46.4]]",0,34598,0,58,23177,42,11421,16
5,99.0,57.6,"[[3.647e+03 4.680e+01]
 [5.800e+00 1.200e+00]]","[[14718.6    56.6]
 [    0.     28. ]]",16129,18469,23,35,12371,26,6098,9
10,99.0,60.0,"[[3.106e+03 7.420e+01]
 [5.400e+00 1.600e+00]]","[[12655.8    65. ]
 [    0.     28. ]]",18697,15901,23,35,10658,19,5243,16
15,99.0,55.8,"[[2.7462e+03 5.4800e+01]
 [6.0000e+00 1.0000e+00]]","[[11148.    56.]
 [    0.    28.]]",20593,14005,23,35,9384,22,4621,13
20,99.0,58.2,"[[2.4182e+03 7.5600e+01]
 [5.6000e+00 1.4000e+00]]","[[9928.8   46.4]
 [   0.    28. ]]",22129,12469,23,35,8353,24,4116,11
25,99.0,56.4,"[[2.213e+03 7.920e+01]
 [5.800e+00 1.200e+00]]","[[9120.    48.8]
 [   0.    28. ]]",23137,11461,23,35,7679,23,3782,12
30,99.0,56.6,"[[2.0614e+03 5.4200e+01]
 [5.0000e+00 1.0000e+00]]","[[8430.2   32.2]
 [   0.    24. ]]",24020,10578,28,30,7084,23,3494,7
35,99.0,53.6,"[[1.8546e+03 3.0600e+01]
 [5.4000e+00 6.0000e-01]]","[[7507.    33.8]
 [   0.    24. ]]",25172,9426,28,30,6318,17,3108,13
40,99.0,59.0,"[[1.583e+03 7.180e+01]
 [4.600e+00 1.400e+00]]","[[6591.6   27.6]
 [   0.    24. ]]",26324,8274,28,30,5543,20,2731,10
45,99.2,59.8,"[[1.529e+03 3.040e+01]
 [4.200e+00 1.200e+00]]","[[6229.6    8. ]
 [   0.    21.6]]",26801,7797,31,27,5222,20,2575,7
50,99.4,56.0,"[[1.3706e+03 3.5200e+01]
 [4.6000e+00 8.0000e-01]]","[[5616.8    6.4]
 [   0.    21.6]]",27569,7029,31,27,4714,13,2315,14
55,99.4,59.8,"[[1.2464e+03 2.9800e+01]
 [4.2000e+00 1.2000e+00]]","[[5098.2    6.6]
 [   0.    21.6]]",28217,6381,31,27,4278,15,2103,12
60,99.2,66.0,"[[1084.6   47.6]
 [   3.4    2. ]]","[[4524.2    4.6]
 [   0.    21.6]]",28937,5661,31,27,3791,19,1870,8
65,99.6,62.2,"[[1004.2   27.6]
 [   3.6    1.4]]","[[4.1258e+03 1.4000e+00]
 [0.0000e+00 2.0000e+01]]",29439,5159,33,25,3454,19,1705,6
70,99.6,64.2,"[[877.4  24.8]
 [  3.4   1.6]]","[[3.6082e+03 6.0000e-01]
 [0.0000e+00 2.0000e+01]]",30087,4511,33,25,3025,14,1486,11
75,99.8,61.6,"[[784.8  31. ]
 [  3.6   1.4]]","[[3.2626e+03 6.0000e-01]
 [0.0000e+00 2.0000e+01]]",30519,4079,33,25,2734,15,1345,10
80,100.0,48.6,"[[664.   13.8]
 [  3.8   0. ]]","[[2711.2    0. ]
 [   0.    15.2]]",31209,3389,39,19,2268,15,1121,4
85,100.0,74.6,"[[553.8  19.2]
 [  1.4   1.6]]","[[2292.    0.]
 [   0.   12.]]",31733,2865,43,15,1917,12,948,3
90,100.0,79.0,"[[419.2   6.4]
 [  0.6   1. ]]","[[1702.4    0. ]
 [   0.     6.4]]",32470,2128,50,8,1425,6,703,2
95,100.0,72.8,"[[279.6  11.6]
 [  0.8   0.8]]","[[1164.8    0. ]
 [   0.     6.4]]",33142,1456,50,8,976,4,480,4
