Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,50.6,"[[6.8508e+03 6.8800e+01]
 [1.1200e+01 4.0000e-01]]","[[27678.4     0. ]
 [    0.     46.4]]",0,34598,0,58,23180,39,11418,19
5,100.0,55.0,"[[3.6812e+03 1.2600e+01]
 [6.2000e+00 8.0000e-01]]","[[14775.2     0. ]
 [    0.     28. ]]",16129,18469,23,35,12375,22,6094,13
10,100.0,55.0,"[[3.1676e+03 1.2600e+01]
 [6.2000e+00 8.0000e-01]]","[[12720.8     0. ]
 [    0.     28. ]]",18697,15901,23,35,10654,23,5247,12
15,100.0,55.0,"[[2.7872e+03 1.3800e+01]
 [6.2000e+00 8.0000e-01]]","[[11204.     0.]
 [    0.    28.]]",20593,14005,23,35,9385,21,4620,14
20,100.0,55.0,"[[2.4786e+03 1.5200e+01]
 [6.2000e+00 8.0000e-01]]","[[9975.2    0. ]
 [   0.    28. ]]",22129,12469,23,35,8354,23,4115,12
25,100.0,55.2,"[[2.2798e+03 1.2400e+01]
 [6.2000e+00 8.0000e-01]]","[[9168.8    0. ]
 [   0.    28. ]]",23137,11461,23,35,7679,23,3782,12
30,100.0,52.2,"[[2.0844e+03 3.1200e+01]
 [5.6000e+00 4.0000e-01]]","[[8462.4    0. ]
 [   0.    24. ]]",24020,10578,28,30,7088,19,3490,11
35,100.0,52.2,"[[1.8552e+03 3.0000e+01]
 [5.6000e+00 4.0000e-01]]","[[7540.8    0. ]
 [   0.    24. ]]",25172,9426,28,30,6314,21,3112,9
40,100.0,52.0,"[[1.6364e+03 1.8400e+01]
 [5.6000e+00 4.0000e-01]]","[[6619.2    0. ]
 [   0.    24. ]]",26324,8274,28,30,5544,19,2730,11
45,100.0,50.8,"[[1.546e+03 1.340e+01]
 [5.200e+00 2.000e-01]]","[[6237.6    0. ]
 [   0.    21.6]]",26801,7797,31,27,5222,20,2575,7
50,100.0,52.8,"[[1.391e+03 1.480e+01]
 [5.000e+00 4.000e-01]]","[[5623.2    0. ]
 [   0.    21.6]]",27569,7029,31,27,4705,22,2324,5
55,100.0,52.2,"[[1.2612e+03 1.5000e+01]
 [5.0000e+00 4.0000e-01]]","[[5104.8    0. ]
 [   0.    21.6]]",28217,6381,31,27,4274,19,2107,8
60,100.0,54.2,"[[1.1206e+03 1.1600e+01]
 [4.8000e+00 6.0000e-01]]","[[4528.8    0. ]
 [   0.    21.6]]",28937,5661,31,27,3791,19,1870,8
65,100.0,57.0,"[[1.02e+03 1.18e+01]
 [4.20e+00 8.00e-01]]","[[4127.2    0. ]
 [   0.    20. ]]",29439,5159,33,25,3456,17,1703,8
70,100.0,55.0,"[[8.94e+02 8.20e+00]
 [4.40e+00 6.00e-01]]","[[3608.8    0. ]
 [   0.    20. ]]",30087,4511,33,25,3020,19,1491,6
75,100.0,56.8,"[[8.054e+02 1.040e+01]
 [4.200e+00 8.000e-01]]","[[3263.2    0. ]
 [   0.    20. ]]",30519,4079,33,25,2731,18,1348,7
80,100.0,49.0,"[[669.    8.8]
 [  3.8   0. ]]","[[2711.2    0. ]
 [   0.    15.2]]",31209,3389,39,19,2270,13,1119,6
85,100.0,59.2,"[[570.2   2.8]
 [  2.4   0.6]]","[[2292.    0.]
 [   0.   12.]]",31733,2865,43,15,1918,11,947,4
90,100.0,59.8,"[[385.4  40.2]
 [  1.2   0.4]]","[[1702.4    0. ]
 [   0.     6.4]]",32470,2128,50,8,1429,2,699,6
95,100.0,74.2,"[[288.    3.2]
 [  0.8   0.8]]","[[1164.8    0. ]
 [   0.     6.4]]",33142,1456,50,8,974,6,482,2
