Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,93.8,67.8,"[[5.8560e+03 1.0636e+03]
 [3.6000e+00 4.0000e+00]]","[[2.47382e+04 2.94020e+03]
 [4.00000e-01 3.00000e+01]]",0,34598,0,38,23179,27,11419,11
5,94.8,73.6,"[[3.2084e+03 4.8540e+02]
 [2.0000e+00 3.2000e+00]]","[[13347.4  1427.8]
 [    0.     20.8]]",16129,18469,12,26,12372,19,6097,7
10,94.8,71.0,"[[2.6766e+03 5.0360e+02]
 [2.2000e+00 3.0000e+00]]","[[1.1583e+04 1.1378e+03]
 [2.0000e-01 2.0600e+01]]",18697,15901,12,26,10656,15,5245,11
15,94.4,70.2,"[[2.3236e+03 4.7740e+02]
 [2.2000e+00 3.0000e+00]]","[[1.01656e+04 1.03840e+03]
 [2.00000e-01 2.06000e+01]]",20593,14005,12,26,9378,22,4627,4
20,93.2,68.4,"[[2074.4  419.4]
 [   2.4    2.8]]","[[8.9454e+03 1.0298e+03]
 [4.0000e-01 2.0400e+01]]",22129,12469,12,26,8351,20,4118,6
25,94.0,69.4,"[[1861.8  430.4]
 [   2.2    3. ]]","[[8.2458e+03 9.2300e+02]
 [2.0000e-01 2.0600e+01]]",23137,11461,12,26,7682,14,3779,12
30,94.0,75.8,"[[1.7232e+03 3.9240e+02]
 [1.4000e+00 3.2000e+00]]","[[7.6286e+03 8.3380e+02]
 [2.0000e-01 1.8200e+01]]",24020,10578,15,23,7083,19,3495,4
35,94.0,66.6,"[[1547.6  337.6]
 [   2.2    2.4]]","[[6.8266e+03 7.1420e+02]
 [2.0000e-01 1.8200e+01]]",25172,9426,15,23,6316,14,3110,9
40,93.8,73.6,"[[1356.8  298. ]
 [   1.6    3. ]]","[[5.9286e+03 6.9060e+02]
 [2.0000e-01 1.8200e+01]]",26324,8274,15,23,5546,12,2728,11
45,95.6,68.6,"[[1390.8  168.6]
 [   2.2    2.2]]","[[5780.8  456.8]
 [   0.    17.6]]",26801,7797,16,22,5226,12,2571,10
50,95.6,81.6,"[[1.2346e+03 1.7120e+02]
 [1.2000e+00 3.2000e+00]]","[[5173.6  449.6]
 [   0.    17.6]]",27569,7029,16,22,4707,17,2322,5
55,95.8,77.6,"[[1124.6  151.6]
 [   1.4    3. ]]","[[4715.2  389.6]
 [   0.    17.6]]",28217,6381,16,22,4276,14,2105,8
60,95.4,80.0,"[[995.2 137. ]
 [  1.2   3.2]]","[[4169.8  359. ]
 [   0.    17.6]]",28937,5661,16,22,3793,14,1868,8
65,95.8,78.8,"[[914.2 117.6]
 [  1.2   2.8]]","[[3812.2  315. ]
 [   0.    16. ]]",29439,5159,18,20,3455,14,1704,6
70,95.6,75.8,"[[788.  114.2]
 [  1.4   2.6]]","[[3322.8  286. ]
 [   0.    16. ]]",30087,4511,18,20,3020,15,1491,5
75,95.4,75.4,"[[707.2 108.6]
 [  1.4   2.6]]","[[2978.2  285. ]
 [   0.    16. ]]",30519,4079,18,20,2736,10,1343,10
80,96.0,63.0,"[[591.4  86.4]
 [  1.8   1.4]]","[[2521.4  189.8]
 [   0.    12.8]]",31209,3389,22,16,2272,9,1117,7
85,97.2,77.6,"[[550.2  22.8]
 [  1.2   1.4]]","[[2194.8   97.2]
 [   0.    10.4]]",31733,2865,25,13,1921,7,944,6
90,98.2,96.2,"[[399.   26.6]
 [  0.    1.2]]","[[1661.8   40.6]
 [   0.     4.8]]",32470,2128,32,6,1426,3,702,3
95,98.4,96.2,"[[270.6  20.6]
 [  0.    1.2]]","[[1131.2   33.6]
 [   0.     4.8]]",33142,1456,32,6,976,3,480,3
