Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,80.4,71.6,"[[4.4882e+03 2.4314e+03]
 [2.4000e+00 9.0000e+00]]","[[17118.2 10560.2]
 [    0.     45.6]]",0,34598,0,57,23182,36,11416,21
5,73.2,66.4,"[[2.1038e+03 1.5900e+03]
 [1.6000e+00 5.2000e+00]]","[[7.5132e+03 7.2620e+03]
 [8.0000e-01 2.6400e+01]]",16129,18469,23,34,12378,19,6091,15
10,73.4,67.6,"[[1.8642e+03 1.3160e+03]
 [1.6000e+00 5.2000e+00]]","[[6.5116e+03 6.2092e+03]
 [8.0000e-01 2.6400e+01]]",18697,15901,23,34,10656,20,5245,14
15,72.8,71.8,"[[1.4884e+03 1.3126e+03]
 [6.0000e-01 6.2000e+00]]","[[5.543e+03 5.661e+03]
 [8.000e-01 2.640e+01]]",20593,14005,23,34,9381,25,4624,9
20,73.8,63.4,"[[1547.2  946.6]
 [   2.4    4.4]]","[[5.2464e+03 4.7288e+03]
 [1.0000e+00 2.6200e+01]]",22129,12469,23,34,8356,21,4113,13
25,74.4,66.4,"[[1434.2  858. ]
 [   2.     4.8]]","[[4.8106e+03 4.3582e+03]
 [8.0000e-01 2.6400e+01]]",23137,11461,23,34,7684,17,3777,17
30,75.0,74.8,"[[1063.2 1052.4]
 [   0.     5.8]]","[[4266.  4196.4]
 [   0.    23.2]]",24020,10578,28,29,7088,18,3490,11
35,74.4,69.6,"[[9.492e+02 9.360e+02]
 [6.000e-01 5.200e+00]]","[[3794.8 3746. ]
 [   0.    23.2]]",25172,9426,28,29,6312,22,3114,7
40,73.6,73.6,"[[791.6 863.2]
 [  0.    5.8]]","[[3205.8 3413.4]
 [   0.    23.2]]",26324,8274,28,29,5541,22,2733,7
45,74.0,65.6,"[[7.558e+02 8.036e+02]
 [8.000e-01 4.400e+00]]","[[3073.  3164.6]
 [   0.    20.8]]",26801,7797,31,26,5219,22,2578,4
50,74.0,65.6,"[[678.  727.8]
 [  0.8   4.4]]","[[2770.  2853.2]
 [   0.    20.8]]",27569,7029,31,26,4708,18,2321,8
55,73.8,66.6,"[[607.  669.2]
 [  0.8   4.4]]","[[2488.2 2616.6]
 [   0.    20.8]]",28217,6381,31,26,4272,20,2109,6
60,73.6,66.4,"[[536.  596.2]
 [  0.8   4.4]]","[[2179.6 2349.2]
 [   0.    20.8]]",28937,5661,31,26,3797,13,1864,13
65,75.0,67.4,"[[532.4 499.4]
 [  0.8   4. ]]","[[2110.8 2016.4]
 [   0.    19.2]]",29439,5159,33,24,3454,18,1705,6
70,74.6,66.8,"[[454.4 447.8]
 [  0.8   4. ]]","[[1811.6 1797.2]
 [   0.    19.2]]",30087,4511,33,24,3022,16,1489,8
75,74.0,66.2,"[[401.2 414.6]
 [  0.8   4. ]]","[[1598.4 1664.8]
 [   0.    19.2]]",30519,4079,33,24,2734,15,1345,9
80,73.6,74.0,"[[331.4 346.4]
 [  0.    3.6]]","[[1310.8 1400.4]
 [   0.    14.4]]",31209,3389,39,18,2269,13,1120,5
85,84.6,61.6,"[[406.6 166.4]
 [  1.4   1.4]]","[[1609.   683. ]
 [   0.    11.2]]",31733,2865,43,14,1918,10,947,4
90,85.8,78.4,"[[2.874e+02 1.382e+02]
 [2.000e-01 1.200e+00]]","[[1230.2  472.2]
 [   0.     5.6]]",32470,2128,50,7,1424,6,704,1
95,83.2,69.2,"[[173.2 118. ]
 [  0.2   1.2]]","[[783.4 381.4]
 [  0.    5.6]]",33142,1456,50,7,977,3,479,4
