Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,60.8,"[[6.8154e+03 1.0420e+02]
 [8.8000e+00 2.8000e+00]]","[[27678.4     0. ]
 [    0.     46.4]]",0,34598,0,58,23183,36,11415,22
5,100.0,55.2,"[[3.6844e+03 9.4000e+00]
 [6.2000e+00 8.0000e-01]]","[[14775.2     0. ]
 [    0.     28. ]]",16129,18469,23,35,12376,21,6093,14
10,100.0,52.2,"[[3.1668e+03 1.3400e+01]
 [6.6000e+00 4.0000e-01]]","[[12720.8     0. ]
 [    0.     28. ]]",18697,15901,23,35,10651,26,5250,9
15,100.0,53.6,"[[2.7836e+03 1.7400e+01]
 [6.4000e+00 6.0000e-01]]","[[11204.     0.]
 [    0.    28.]]",20593,14005,23,35,9382,24,4623,11
20,100.0,55.0,"[[2.4752e+03 1.8600e+01]
 [6.2000e+00 8.0000e-01]]","[[9975.2    0. ]
 [   0.    28. ]]",22129,12469,23,35,8350,27,4119,8
25,100.0,53.4,"[[2.2694e+03 2.2800e+01]
 [6.4000e+00 6.0000e-01]]","[[9168.8    0. ]
 [   0.    28. ]]",23137,11461,23,35,7680,22,3781,13
30,100.0,57.4,"[[2.088e+03 2.760e+01]
 [5.000e+00 1.000e+00]]","[[8462.4    0. ]
 [   0.    24. ]]",24020,10578,28,30,7092,15,3486,15
35,100.0,57.2,"[[1.855e+03 3.020e+01]
 [5.000e+00 1.000e+00]]","[[7540.8    0. ]
 [   0.    24. ]]",25172,9426,28,30,6319,16,3107,14
40,100.0,57.6,"[[1.6392e+03 1.5600e+01]
 [5.0000e+00 1.0000e+00]]","[[6619.2    0. ]
 [   0.    24. ]]",26324,8274,28,30,5542,21,2732,9
45,100.0,54.2,"[[1.5444e+03 1.5000e+01]
 [4.8000e+00 6.0000e-01]]","[[6237.6    0. ]
 [   0.    21.6]]",26801,7797,31,27,5220,22,2577,5
50,100.0,55.0,"[[1.3916e+03 1.4200e+01]
 [4.8000e+00 6.0000e-01]]","[[5623.2    0. ]
 [   0.    21.6]]",27569,7029,31,27,4707,20,2322,7
55,100.0,56.2,"[[1.2586e+03 1.7600e+01]
 [4.6000e+00 8.0000e-01]]","[[5104.8    0. ]
 [   0.    21.6]]",28217,6381,31,27,4275,18,2106,9
60,100.0,59.8,"[[1111.8   20.4]
 [   4.2    1.2]]","[[4528.8    0. ]
 [   0.    21.6]]",28937,5661,31,27,3792,18,1869,9
65,100.0,58.6,"[[1.0082e+03 2.3600e+01]
 [4.0000e+00 1.0000e+00]]","[[4127.2    0. ]
 [   0.    20. ]]",29439,5159,33,25,3456,17,1703,8
70,100.0,62.6,"[[883.2  19. ]
 [  3.6   1.4]]","[[3608.8    0. ]
 [   0.    20. ]]",30087,4511,33,25,3022,17,1489,8
75,100.0,62.4,"[[797.2  18.6]
 [  3.6   1.4]]","[[3263.2    0. ]
 [   0.    20. ]]",30519,4079,33,25,2734,15,1345,10
80,100.0,48.8,"[[667.8  10. ]
 [  3.8   0. ]]","[[2711.2    0. ]
 [   0.    15.2]]",31209,3389,39,19,2272,11,1117,8
85,100.0,72.4,"[[568.4   4.6]
 [  1.6   1.4]]","[[2292.    0.]
 [   0.   12.]]",31733,2865,43,15,1922,7,943,8
90,99.8,71.8,"[[401.   24.6]
 [  0.8   0.8]]","[[1.7022e+03 2.0000e-01]
 [0.0000e+00 6.4000e+00]]",32470,2128,50,8,1424,7,704,1
95,100.0,83.6,"[[284.    7.2]
 [  0.4   1.2]]","[[1164.8    0. ]
 [   0.     6.4]]",33142,1456,50,8,974,6,482,2
