Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,98.6,60.8,"[[6.5862e+03 3.1560e+02]
 [1.1600e+01 4.4000e+00]]","[[27172.2   435. ]
 [    0.     64. ]]",0,34509,0,80,23119,55,11390,25
2,98.6,68.2,"[[4041.2  156.8]
 [   8.6    6. ]]","[[16526.4   265.6]
 [    0.     58.4]]",13519,20990,7,73,14064,48,6926,25
4,98.8,70.2,"[[3684.   155. ]
 [   8.     6.6]]","[[15097.6   258.4]
 [    0.     58.4]]",15314,19195,7,73,12862,47,6333,26
6,98.4,65.6,"[[3424.4  117.8]
 [   9.4    5.2]]","[[13920.2   248.6]
 [    0.     58.4]]",16798,17711,7,73,11865,50,5846,23
8,98.8,63.6,"[[3176.8  117. ]
 [   9.4    4.4]]","[[12959.2   216. ]
 [    0.     55.2]]",18040,16469,11,69,11036,44,5433,25
10,98.6,65.4,"[[3042.6  126.6]
 [   8.8    5. ]]","[[12467.8   209. ]
 [    0.     55.2]]",18663,15846,11,69,10617,46,5229,23
12,98.6,64.6,"[[2897.    99.8]
 [   9.2    4.6]]","[[11782.8   204.4]
 [    0.     55.2]]",19525,14984,11,69,10041,44,4943,25
14,98.6,68.4,"[[2725.2  113.4]
 [   8.     5.8]]","[[11159.4   195. ]
 [    0.     55.2]]",20316,14193,11,69,9513,42,4680,27
16,98.6,66.8,"[[2612.2  120.8]
 [   8.4    5.4]]","[[10731.8   200.2]
 [    0.     55.2]]",20844,13665,11,69,9142,59,4523,10
18,98.6,61.8,"[[2512.8   91.8]
 [   9.4    3.6]]","[[10239.6   178.8]
 [    0.     52. ]]",21486,13023,15,65,8723,45,4300,20
20,99.0,60.6,"[[2386.6   98. ]
 [   9.6    3.4]]","[[9769.6  168.8]
 [   0.    52. ]]",22086,12423,15,65,8325,41,4098,24
22,99.0,62.2,"[[2286.6   93.4]
 [   8.8    3.6]]","[[9380.4  139.6]
 [   0.    49.6]]",22609,11900,18,62,7976,38,3924,24
24,99.0,65.8,"[[2217.8  109.6]
 [   7.8    4.6]]","[[9184.4  125.2]
 [   0.    49.6]]",22872,11637,18,62,7795,43,3842,19
26,98.8,66.0,"[[2159.4   96.2]
 [   7.8    4.6]]","[[8890.   132.4]
 [   0.    49.6]]",23231,11278,18,62,7558,39,3720,23
28,99.0,61.2,"[[2092.6   81.4]
 [   9.     3.4]]","[[8568.4  127.6]
 [   0.    49.6]]",23639,10870,18,62,7282,42,3588,20
30,98.6,67.4,"[[2004.2  102.6]
 [   7.4    5. ]]","[[8287.4  139.8]
 [   0.    49.6]]",23975,10534,18,62,7060,39,3474,23
32,98.8,67.0,"[[1910.2  134.4]
 [   7.2    5.2]]","[[8056.4  122. ]
 [   0.    49.6]]",24286,10223,18,62,6851,39,3372,23
34,99.0,62.8,"[[1812.8  127.4]
 [   7.6    3.8]]","[[7649.2  111.6]
 [   0.    45.6]]",24808,9701,23,57,6501,36,3200,21
36,99.0,60.2,"[[1752.    92.8]
 [   8.     2.8]]","[[7286.8   92.4]
 [   0.    43.2]]",25285,9224,26,54,6183,33,3041,21
38,99.0,64.0,"[[1711.4   62.2]
 [   6.8    3.2]]","[[7006.6   87.8]
 [   0.    40. ]]",25641,8868,30,50,5940,35,2928,15
40,99.0,63.0,"[[1560.6   88.4]
 [   6.8    3.2]]","[[6508.2   87.8]
 [   0.    40. ]]",26264,8245,30,50,5525,32,2720,18
42,99.0,55.8,"[[1494.2  117.6]
 [   7.     1.8]]","[[6413.6   33.6]
 [   0.    35.2]]",26450,8059,36,44,5397,32,2662,12
44,99.0,57.0,"[[1461.6  116.6]
 [   6.8    2. ]]","[[6273.8   39. ]
 [   0.    35.2]]",26618,7891,36,44,5287,29,2604,15
46,99.0,54.8,"[[1402.   118.6]
 [   7.2    1.6]]","[[6043.6   38.8]
 [   0.    35.2]]",26906,7603,36,44,5098,25,2505,19
48,99.0,57.8,"[[1354.6  108.4]
 [   6.8    2. ]]","[[5817.    35. ]
 [   0.    35.2]]",27194,7315,36,44,4904,26,2411,18
50,99.0,54.6,"[[1283.8  116.8]
 [   7.2    1.6]]","[[5569.2   33.2]
 [   0.    35.2]]",27506,7003,36,44,4694,27,2309,17
52,99.0,53.6,"[[1222.4  135. ]
 [   7.2    1.6]]","[[5397.2   32.4]
 [   0.    35.2]]",27722,6787,36,44,4547,29,2240,15
54,99.0,54.2,"[[1163.2  137. ]
 [   6.8    1.6]]","[[5171.    29.8]
 [   0.    33.6]]",28008,6501,38,42,4358,25,2143,17
56,99.0,55.0,"[[1141.6  110.6]
 [   6.8    1.6]]","[[4982.8   26. ]
 [   0.    33.6]]",28248,6261,38,42,4197,26,2064,16
