Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.4,"[[6.8116e+03 9.0200e+01]
 [1.4800e+01 1.2000e+00]]","[[27607.2     0. ]
 [    0.     64. ]]",0,34509,0,80,23130,44,11379,36
2,100.0,52.8,"[[4.0752e+03 1.2280e+02]
 [1.3200e+01 1.4000e+00]]","[[16792.      0. ]
 [    0.     58.4]]",13519,20990,7,73,14064,48,6926,25
4,100.0,55.0,"[[3.778e+03 6.100e+01]
 [1.280e+01 1.800e+00]]","[[15356.      0. ]
 [    0.     58.4]]",15314,19195,7,73,12859,50,6336,23
6,100.0,56.2,"[[3.436e+03 1.062e+02]
 [1.220e+01 2.400e+00]]","[[14168.8     0. ]
 [    0.     58.4]]",16798,17711,7,73,11869,46,5842,27
8,100.0,54.8,"[[3.2042e+03 8.9600e+01]
 [1.2000e+01 1.8000e+00]]","[[13175.2     0. ]
 [    0.     55.2]]",18040,16469,11,69,11033,47,5436,22
10,100.0,57.2,"[[3.075e+03 9.420e+01]
 [1.120e+01 2.600e+00]]","[[12676.8     0. ]
 [    0.     55.2]]",18663,15846,11,69,10618,45,5228,24
12,100.0,56.4,"[[2.9006e+03 9.6200e+01]
 [1.1400e+01 2.4000e+00]]","[[11987.2     0. ]
 [    0.     55.2]]",19525,14984,11,69,10035,50,4949,19
14,100.0,56.8,"[[2.7162e+03 1.2240e+02]
 [1.1200e+01 2.6000e+00]]","[[11354.4     0. ]
 [    0.     55.2]]",20316,14193,11,69,9512,43,4681,26
16,100.0,54.4,"[[2.6288e+03 1.0420e+02]
 [1.2000e+01 1.8000e+00]]","[[10932.      0. ]
 [    0.     55.2]]",20844,13665,11,69,9157,44,4508,25
18,100.0,52.8,"[[2.5022e+03 1.0240e+02]
 [1.1600e+01 1.4000e+00]]","[[10418.4     0. ]
 [    0.     52. ]]",21486,13023,15,65,8721,47,4302,18
20,100.0,53.2,"[[2.4488e+03 3.5800e+01]
 [1.1800e+01 1.2000e+00]]","[[9938.4    0. ]
 [   0.    52. ]]",22086,12423,15,65,8318,48,4105,17
22,100.0,56.6,"[[2215.   165. ]
 [   9.8    2.6]]","[[9520.     0. ]
 [   0.    49.6]]",22609,11900,18,62,7971,43,3929,19
24,100.0,56.0,"[[2177.4  150. ]
 [  10.     2.4]]","[[9309.6    0. ]
 [   0.    49.6]]",22872,11637,18,62,7799,39,3838,23
26,100.0,52.6,"[[2.1322e+03 1.2340e+02]
 [1.1000e+01 1.4000e+00]]","[[9022.4    0. ]
 [   0.    49.6]]",23231,11278,18,62,7556,41,3722,21
28,100.0,58.6,"[[1968.6  205.4]
 [   9.     3.4]]","[[8696.     0. ]
 [   0.    49.6]]",23639,10870,18,62,7282,42,3588,20
30,100.0,53.2,"[[2.000e+03 1.068e+02]
 [1.080e+01 1.600e+00]]","[[8427.2    0. ]
 [   0.    49.6]]",23975,10534,18,62,7058,41,3476,21
32,100.0,49.2,"[[1.9668e+03 7.7800e+01]
 [1.2000e+01 4.0000e-01]]","[[8178.4    0. ]
 [   0.    49.6]]",24286,10223,18,62,6850,40,3373,22
34,100.0,60.8,"[[1892.4   47.8]
 [   8.6    2.8]]","[[7760.8    0. ]
 [   0.    45.6]]",24808,9701,23,57,6499,38,3202,19
36,100.0,59.4,"[[1694.4  150.4]
 [   7.8    3. ]]","[[7379.2    0. ]
 [   0.    43.2]]",25285,9224,26,54,6189,27,3035,27
38,100.0,55.4,"[[1.731e+03 4.260e+01]
 [8.600e+00 1.400e+00]]","[[7094.4    0. ]
 [   0.    40. ]]",25641,8868,30,50,5945,30,2923,20
40,100.0,53.6,"[[1.6208e+03 2.8200e+01]
 [9.0000e+00 1.0000e+00]]","[[6596.    0.]
 [   0.   40.]]",26264,8245,30,50,5521,36,2724,14
42,100.0,49.6,"[[1.5362e+03 7.5600e+01]
 [8.4000e+00 4.0000e-01]]","[[6447.2    0. ]
 [   0.    35.2]]",26450,8059,36,44,5397,32,2662,12
44,100.0,53.2,"[[1.5044e+03 7.3800e+01]
 [7.8000e+00 1.0000e+00]]","[[6312.8    0. ]
 [   0.    35.2]]",26618,7891,36,44,5289,27,2602,17
46,100.0,49.6,"[[1.4514e+03 6.9200e+01]
 [8.4000e+00 4.0000e-01]]","[[6082.4    0. ]
 [   0.    35.2]]",26906,7603,36,44,5092,31,2511,13
48,100.0,51.8,"[[1.3962e+03 6.6800e+01]
 [8.0000e+00 8.0000e-01]]","[[5852.     0. ]
 [   0.    35.2]]",27194,7315,36,44,4904,26,2411,18
