Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,92.6,71.6,"[[5712.4 1189.4]
 [   6.2    9.8]]","[[2.4137e+04 3.4702e+03]
 [1.0000e+00 6.3000e+01]]",0,34509,0,80,23122,52,11387,28
2,93.2,73.4,"[[3423.6  774.4]
 [   5.     9.6]]","[[1.472e+04 2.072e+03]
 [4.000e-01 5.800e+01]]",13519,20990,7,73,14060,52,6930,21
4,92.6,74.0,"[[3082.6  756.4]
 [   4.6   10. ]]","[[1.33508e+04 2.00520e+03]
 [4.00000e-01 5.80000e+01]]",15314,19195,7,73,12858,51,6337,22
6,91.6,73.6,"[[2829.6  712.6]
 [   4.6   10. ]]","[[1.22586e+04 1.91020e+03]
 [1.20000e+00 5.72000e+01]]",16798,17711,7,73,11866,49,5845,24
8,93.0,75.6,"[[2710.2  583.6]
 [   4.2    9.6]]","[[1.15114e+04 1.66380e+03]
 [2.00000e-01 5.50000e+01]]",18040,16469,11,69,11030,50,5439,19
10,92.8,76.2,"[[2560.2  609. ]
 [   3.8   10. ]]","[[10988.   1688.8]
 [    0.     55.2]]",18663,15846,11,69,10617,46,5229,23
12,92.6,74.2,"[[2430.   566.8]
 [   4.4    9.4]]","[[1.03754e+04 1.61180e+03]
 [2.00000e-01 5.50000e+01]]",19525,14984,11,69,10032,53,4952,16
14,92.6,74.4,"[[2294.6  544. ]
 [   4.2    9.6]]","[[9.8132e+03 1.5412e+03]
 [2.0000e-01 5.5000e+01]]",20316,14193,11,69,9510,45,4683,24
16,92.2,76.2,"[[2206.   527. ]
 [   3.8   10. ]]","[[9.440e+03 1.492e+03]
 [4.000e-01 5.480e+01]]",20844,13665,11,69,9163,38,4502,31
18,92.0,78.2,"[[2065.6  539. ]
 [   2.8   10.2]]","[[8.9326e+03 1.4858e+03]
 [2.0000e-01 5.1800e+01]]",21486,13023,15,65,8727,41,4296,24
20,92.2,78.0,"[[1956.4  528.2]
 [   2.8   10.2]]","[[8516.  1422.4]
 [   0.    52. ]]",22086,12423,15,65,8324,42,4099,23
22,91.2,72.4,"[[1878.   502. ]
 [   4.2    8.2]]","[[8.2374e+03 1.2826e+03]
 [1.4000e+00 4.8200e+01]]",22609,11900,18,62,7980,34,3920,28
