Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,70.8,67.6,"[[2.8542e+03 4.0476e+03]
 [8.0000e-01 1.5200e+01]]","[[1.20586e+04 1.55486e+04]
 [8.00000e-01 6.32000e+01]]",0,34509,0,80,23123,51,11386,29
2,68.8,62.2,"[[1.4592e+03 2.7388e+03]
 [1.4000e+00 1.3200e+01]]","[[6.7200e+03 1.0072e+04]
 [8.0000e-01 5.7600e+01]]",13519,20990,7,73,14063,49,6927,24
4,68.8,62.0,"[[1.3006e+03 2.5384e+03]
 [1.4000e+00 1.3200e+01]]","[[6.1256e+03 9.2304e+03]
 [8.0000e-01 5.7600e+01]]",15314,19195,7,73,12860,49,6335,24
6,70.2,57.2,"[[1328.4 2213.8]
 [   3.2   11.4]]","[[6.2086e+03 7.9602e+03]
 [1.4000e+00 5.7000e+01]]",16798,17711,7,73,11869,46,5842,27
8,71.0,55.6,"[[1246.6 2047.2]
 [   3.6   10.2]]","[[5.7962e+03 7.3790e+03]
 [6.0000e-01 5.4600e+01]]",18040,16469,11,69,11032,48,5437,21
10,71.0,55.2,"[[1209.8 1959.4]
 [   3.6   10.2]]","[[5.6104e+03 7.0664e+03]
 [6.0000e-01 5.4600e+01]]",18663,15846,11,69,10616,47,5230,22
12,70.6,55.4,"[[1116.  1880.8]
 [   3.6   10.2]]","[[5.2238e+03 6.7634e+03]
 [6.0000e-01 5.4600e+01]]",19525,14984,11,69,10032,53,4952,16
14,70.6,54.8,"[[1052.  1786.6]
 [   3.6   10.2]]","[[4.9036e+03 6.4508e+03]
 [6.0000e-01 5.4600e+01]]",20316,14193,11,69,9510,45,4683,24
16,70.6,55.0,"[[ 999.6 1733.4]
 [   3.6   10.2]]","[[4.7064e+03 6.2256e+03]
 [6.0000e-01 5.4600e+01]]",20844,13665,11,69,9152,49,4513,20
18,69.4,57.6,"[[ 972.2 1632.4]
 [   2.8   10.2]]","[[4.3660e+03 6.0524e+03]
 [1.0000e+00 5.1000e+01]]",21486,13023,15,65,8725,43,4298,22
20,69.2,57.2,"[[ 920.  1564.6]
 [   2.8   10.2]]","[[4.0908e+03 5.8476e+03]
 [8.0000e-01 5.1200e+01]]",22086,12423,15,65,8320,46,4103,19
22,70.6,60.0,"[[1027.  1353. ]
 [   2.8    9.6]]","[[4.2908e+03 5.2292e+03]
 [1.2000e+00 4.8400e+01]]",22609,11900,18,62,7976,38,3924,24
24,70.8,60.4,"[[ 973.4 1354. ]
 [   2.4   10. ]]","[[4.1386e+03 5.1710e+03]
 [1.0000e+00 4.8600e+01]]",22872,11637,18,62,7790,48,3847,14
26,70.6,59.8,"[[ 929.2 1326.4]
 [   2.4   10. ]]","[[3.9880e+03 5.0344e+03]
 [1.0000e+00 4.8600e+01]]",23231,11278,18,62,7552,45,3726,17
28,71.0,59.4,"[[ 939.4 1234.6]
 [   3.     9.4]]","[[3.9366e+03 4.7594e+03]
 [1.0000e+00 4.8600e+01]]",23639,10870,18,62,7277,47,3593,15
30,71.0,59.6,"[[ 893.8 1213. ]
 [   2.8    9.6]]","[[3.7772e+03 4.6500e+03]
 [8.0000e-01 4.8800e+01]]",23975,10534,18,62,7056,43,3478,19
32,71.2,60.2,"[[ 860.  1184.6]
 [   2.4   10. ]]","[[3.6464e+03 4.5320e+03]
 [8.0000e-01 4.8800e+01]]",24286,10223,18,62,6856,34,3367,28
