Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,61.8,"[[6.6176e+03 2.9780e+02]
 [1.1200e+01 4.6000e+00]]","[[27267.2   394.4]
 [    0.     63.2]]",0,34577,0,79,23170,49,11407,30
2,98.4,66.4,"[[3959.4  244.6]
 [   9.2    6. ]]","[[16483.8   332.2]
 [    0.     60.8]]",13557,21020,3,76,14085,49,6935,27
4,98.4,66.6,"[[3590.   254. ]
 [   9.     6.2]]","[[15042.6   333.4]
 [    0.     60.8]]",15357,19220,3,76,12877,51,6343,25
6,98.4,63.6,"[[3316.6  229.8]
 [   9.8    5.4]]","[[13906.2   279.4]
 [    0.     60.8]]",16845,17732,3,76,11888,43,5844,33
8,98.4,68.2,"[[3097.8  199. ]
 [   8.6    6.6]]","[[12893.4   293.8]
 [    0.     60.8]]",18093,16484,3,76,11040,55,5444,21
10,98.4,62.2,"[[2967.6  204.4]
 [  10.4    4.8]]","[[12411.2   276.8]
 [    0.     60.8]]",18717,15860,3,76,10625,52,5235,24
12,98.4,65.2,"[[2769.4  229.8]
 [   9.2    6. ]]","[[11738.2   258.6]
 [    0.     60.8]]",19581,14996,3,76,10041,57,4955,19
14,98.4,67.4,"[[2688.4  152.4]
 [   9.     6.2]]","[[11115.6   247.6]
 [    0.     60.8]]",20373,14204,3,76,9516,51,4688,25
16,98.4,63.6,"[[2502.6  232.6]
 [   9.6    5.6]]","[[10687.8   253. ]
 [    0.     60.8]]",20901,13676,3,76,9162,51,4514,25
18,98.4,68.0,"[[2448.4  157.2]
 [   8.6    6.6]]","[[10190.2   232.2]
 [    0.     60.8]]",21549,13028,3,76,8720,59,4308,17
20,98.2,62.6,"[[2283.4  202.4]
 [   9.8    5.2]]","[[9716.   227.2]
 [   0.    60. ]]",22148,12429,4,75,8329,48,4100,27
