Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,55.6,"[[6.856e+03 5.940e+01]
 [1.380e+01 2.000e+00]]","[[27661.6     0. ]
 [    0.     63.2]]",0,34577,0,79,23164,55,11413,24
2,100.0,55.6,"[[4.1636e+03 4.0400e+01]
 [1.3200e+01 2.0000e+00]]","[[16816.      0. ]
 [    0.     60.8]]",13557,21020,3,76,14073,61,6947,15
4,100.0,54.8,"[[3.80e+03 4.40e+01]
 [1.34e+01 1.80e+00]]","[[15376.      0. ]
 [    0.     60.8]]",15357,19220,3,76,12881,47,6339,29
6,100.0,56.0,"[[3.499e+03 4.740e+01]
 [1.300e+01 2.200e+00]]","[[14185.6     0. ]
 [    0.     60.8]]",16845,17732,3,76,11875,56,5857,20
8,100.0,56.2,"[[3.248e+03 4.880e+01]
 [1.300e+01 2.200e+00]]","[[13187.2     0. ]
 [    0.     60.8]]",18093,16484,3,76,11039,56,5445,20
10,100.0,55.6,"[[3.1218e+03 5.0200e+01]
 [1.3200e+01 2.0000e+00]]","[[12688.      0. ]
 [    0.     60.8]]",18717,15860,3,76,10634,43,5226,33
12,100.0,56.6,"[[2.9534e+03 4.5800e+01]
 [1.2800e+01 2.4000e+00]]","[[11996.8     0. ]
 [    0.     60.8]]",19581,14996,3,76,10050,48,4946,28
14,100.0,55.4,"[[2.7948e+03 4.6000e+01]
 [1.3200e+01 2.0000e+00]]","[[11363.2     0. ]
 [    0.     60.8]]",20373,14204,3,76,9508,59,4696,17
16,100.0,53.6,"[[2.6886e+03 4.6600e+01]
 [1.3800e+01 1.4000e+00]]","[[10940.8     0. ]
 [    0.     60.8]]",20901,13676,3,76,9159,54,4517,22
18,100.0,55.8,"[[2.5552e+03 5.0400e+01]
 [1.3000e+01 2.2000e+00]]","[[10422.4     0. ]
 [    0.     60.8]]",21549,13028,3,76,8730,49,4298,27
20,100.0,52.4,"[[2.4508e+03 3.5000e+01]
 [1.4000e+01 1.0000e+00]]","[[9943.2    0. ]
 [   0.    60. ]]",22148,12429,4,75,8327,50,4102,25
22,100.0,53.6,"[[2.3358e+03 4.4600e+01]
 [1.3400e+01 1.4000e+00]]","[[9521.6    0. ]
 [   0.    59.2]]",22675,11902,5,74,7973,50,3929,24
24,100.0,51.4,"[[2.2828e+03 4.5200e+01]
 [1.3600e+01 8.0000e-01]]","[[9312.     0. ]
 [   0.    57.6]]",22937,11640,7,72,7791,56,3849,16
26,100.0,51.2,"[[2.2084e+03 4.7600e+01]
 [1.3600e+01 8.0000e-01]]","[[9024.     0. ]
 [   0.    57.6]]",23297,11280,7,72,7562,43,3718,29
28,100.0,51.6,"[[2.1122e+03 6.2200e+01]
 [1.3400e+01 1.0000e+00]]","[[8697.6    0. ]
 [   0.    57.6]]",23705,10872,7,72,7287,45,3585,27
30,100.0,52.6,"[[2.054e+03 5.360e+01]
 [1.280e+01 1.200e+00]]","[[8430.4    0. ]
 [   0.    56. ]]",24039,10538,9,70,7064,43,3474,27
32,100.0,53.0,"[[1.982e+03 6.320e+01]
 [1.260e+01 1.400e+00]]","[[8180.8    0. ]
 [   0.    56. ]]",24351,10226,9,70,6852,46,3374,24
34,100.0,55.0,"[[1.8758e+03 6.5200e+01]
 [1.0800e+01 1.8000e+00]]","[[7764.     0. ]
 [   0.    50.4]]",24872,9705,16,63,6504,40,3201,23
36,100.0,55.0,"[[1784.    61. ]
 [  10.8    1.8]]","[[7380.     0. ]
 [   0.    50.4]]",25352,9225,16,63,6185,37,3040,26
38,100.0,55.2,"[[1719.4   53.6]
 [  10.8    1.8]]","[[7092.     0. ]
 [   0.    50.4]]",25712,8865,16,63,5944,37,2921,26
40,100.0,52.4,"[[1.5908e+03 5.7400e+01]
 [1.1400e+01 1.2000e+00]]","[[6592.8    0. ]
 [   0.    50.4]]",26336,8241,16,63,5522,41,2719,22
42,100.0,55.0,"[[1554.2   56.6]
 [  10.     1.6]]","[[6443.2    0. ]
 [   0.    46.4]]",26523,8054,21,58,5400,35,2654,23
44,100.0,52.4,"[[1.5324e+03 4.4800e+01]
 [1.0600e+01 1.0000e+00]]","[[6308.8    0. ]
 [   0.    46.4]]",26691,7886,21,58,5286,36,2600,22
46,100.0,51.4,"[[1.4616e+03 5.8000e+01]
 [1.0800e+01 8.0000e-01]]","[[6078.4    0. ]
 [   0.    46.4]]",26979,7598,21,58,5087,42,2511,16
48,100.0,52.6,"[[1.4058e+03 5.6200e+01]
 [1.0400e+01 1.2000e+00]]","[[5848.     0. ]
 [   0.    46.4]]",27267,7310,21,58,4899,37,2411,21
50,100.0,51.6,"[[1.3514e+03 4.8200e+01]
 [1.0800e+01 8.0000e-01]]","[[5598.4    0. ]
 [   0.    46.4]]",27579,6998,21,58,4687,40,2311,18
52,100.0,50.0,"[[1.317e+03 3.940e+01]
 [1.120e+01 4.000e-01]]","[[5425.6    0. ]
 [   0.    46.4]]",27795,6782,21,58,4546,36,2236,22
54,100.0,53.8,"[[1249.6   49.2]
 [  10.2    1.4]]","[[5195.2    0. ]
 [   0.    46.4]]",28083,6494,21,58,4352,37,2142,21
56,100.0,54.0,"[[1189.8   61. ]
 [  10.     1.6]]","[[5003.2    0. ]
 [   0.    46.4]]",28323,6254,21,58,4185,44,2069,14
58,100.0,50.0,"[[1.1402e+03 5.1800e+01]
 [7.6000e+00 4.0000e-01]]","[[4768.    0.]
 [   0.   32.]]",28617,5960,39,40,3996,24,1964,16
60,100.0,51.4,"[[1.0736e+03 5.7400e+01]
 [6.0000e+00 6.0000e-01]]","[[4524.     0. ]
 [   0.    26.4]]",28922,5655,46,33,3792,18,1863,15
62,100.0,54.8,"[[1.0522e+03 4.0400e+01]
 [5.6000e+00 1.0000e+00]]","[[4370.4    0. ]
 [   0.    26.4]]",29114,5463,46,33,3655,27,1808,6
64,100.0,51.6,"[[1.0052e+03 5.3800e+01]
 [6.0000e+00 6.0000e-01]]","[[4236.     0. ]
 [   0.    26.4]]",29282,5295,46,33,3547,22,1748,11
66,100.0,54.6,"[[973.2  42.6]
 [  5.6   1. ]]","[[4063.2    0. ]
 [   0.    26.4]]",29498,5079,46,33,3405,20,1674,13
68,100.0,51.4,"[[9.302e+02 2.800e+01]
 [6.200e+00 4.000e-01]]","[[3832.8    0. ]
 [   0.    26.4]]",29786,4791,46,33,3212,20,1579,13
70,100.0,53.4,"[[840.2  60.4]
 [  5.6   1. ]]","[[3602.4    0. ]
 [   0.    26.4]]",30074,4503,46,33,3018,21,1485,12
72,100.0,57.2,"[[786.4  66.2]
 [  5.    1.6]]","[[3410.4    0. ]
 [   0.    26.4]]",30314,4263,46,33,2858,20,1405,13
74,100.0,63.8,"[[726.2  97.6]
 [  3.8   2.8]]","[[3295.2    0. ]
 [   0.    26.4]]",30458,4119,46,33,2760,21,1359,12
76,100.0,55.2,"[[7.794e+02 7.600e+00]
 [4.400e+00 6.000e-01]]","[[3148.    0.]
 [   0.   20.]]",30642,3935,54,25,2639,14,1296,11
78,100.0,49.6,"[[721.6   4.2]
 [  3.8   0. ]]","[[2903.2    0. ]
 [   0.    15.2]]",30948,3629,60,19,2433,11,1196,8
