Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,93.4,87.6,"[[6.1444e+03 7.7100e+02]
 [2.0000e+00 1.3800e+01]]","[[2.50632e+04 2.59840e+03]
 [1.40000e+00 6.18000e+01]]",0,34577,0,79,23169,50,11408,29
2,92.2,86.6,"[[3.5464e+03 6.5760e+02]
 [1.6000e+00 1.3600e+01]]","[[1.48402e+04 1.97580e+03]
 [1.60000e+00 5.92000e+01]]",13557,21020,3,76,14085,49,6935,27
4,92.0,86.0,"[[3.212e+03 6.320e+02]
 [1.600e+00 1.360e+01]]","[[1.34774e+04 1.89860e+03]
 [1.80000e+00 5.90000e+01]]",15357,19220,3,76,12870,58,6350,18
6,91.2,83.2,"[[2.9592e+03 5.8720e+02]
 [2.4000e+00 1.2800e+01]]","[[1.2362e+04 1.8236e+03]
 [2.0000e+00 5.8800e+01]]",16845,17732,3,76,11877,54,5855,22
8,91.2,81.6,"[[2753.4  543.4]
 [   3.    12.2]]","[[1.14636e+04 1.72360e+03]
 [2.20000e+00 5.86000e+01]]",18093,16484,3,76,11052,43,5432,33
10,91.0,83.8,"[[2.6236e+03 5.4840e+02]
 [2.2000e+00 1.3000e+01]]","[[1.09738e+04 1.71420e+03]
 [2.20000e+00 5.86000e+01]]",18717,15860,3,76,10633,44,5227,32
12,90.8,82.2,"[[2473.2  526. ]
 [   2.6   12.6]]","[[1.03398e+04 1.65700e+03]
 [2.40000e+00 5.84000e+01]]",19581,14996,3,76,10049,49,4947,27
14,90.4,81.0,"[[2347.   493.8]
 [   3.    12.2]]","[[9.7774e+03 1.5858e+03]
 [2.6000e+00 5.8200e+01]]",20373,14204,3,76,9508,59,4696,17
16,90.2,80.6,"[[2246.   489.2]
 [   3.    12.2]]","[[9.3912e+03 1.5496e+03]
 [2.8000e+00 5.8000e+01]]",20901,13676,3,76,9160,53,4516,23
18,90.2,80.4,"[[2137.4  468.2]
 [   3.    12.2]]","[[8.9430e+03 1.4794e+03]
 [2.8000e+00 5.8000e+01]]",21549,13028,3,76,8725,54,4303,22
20,89.8,80.4,"[[2029.   456.8]
 [   3.    12. ]]","[[8.5052e+03 1.4380e+03]
 [2.8000e+00 5.7200e+01]]",22148,12429,4,75,8338,39,4091,36
22,90.8,80.8,"[[1947.8  432.6]
 [   2.8   12. ]]","[[8.1842e+03 1.3374e+03]
 [2.0000e+00 5.7200e+01]]",22675,11902,5,74,7971,52,3931,22
24,92.6,74.8,"[[1968.4  359.6]
 [   5.     9.4]]","[[8.1152e+03 1.1968e+03]
 [6.0000e-01 5.7000e+01]]",22937,11640,7,72,7801,46,3839,26
26,92.6,74.6,"[[1902.8  353.2]
 [   5.     9.4]]","[[7.8646e+03 1.1594e+03]
 [6.0000e-01 5.7000e+01]]",23297,11280,7,72,7556,49,3724,23
28,92.4,80.8,"[[1817.   357.4]
 [   3.    11.4]]","[[7.5144e+03 1.1832e+03]
 [6.0000e-01 5.7000e+01]]",23705,10872,7,72,7283,49,3589,23
30,92.6,73.0,"[[1772.6  335. ]
 [   5.2    8.8]]","[[7.3286e+03 1.1018e+03]
 [4.0000e-01 5.5600e+01]]",24039,10538,9,70,7052,55,3486,15
32,92.4,73.2,"[[1722.4  322.8]
 [   5.2    8.8]]","[[7.0798e+03 1.1010e+03]
 [4.0000e-01 5.5600e+01]]",24351,10226,9,70,6857,41,3369,29
34,93.0,77.8,"[[1675.4  265.6]
 [   3.8    8.8]]","[[6.8036e+03 9.6040e+02]
 [4.0000e-01 5.0000e+01]]",24872,9705,16,63,6498,46,3207,17
36,93.0,77.0,"[[1587.8  257.2]
 [   4.     8.6]]","[[6.4664e+03 9.1360e+02]
 [4.0000e-01 5.0000e+01]]",25352,9225,16,63,6187,35,3038,28
