Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,72.6,64.2,"[[3.5438e+03 3.3716e+03]
 [3.4000e+00 1.2400e+01]]","[[1.40432e+04 1.36184e+04]
 [2.60000e+00 6.06000e+01]]",0,34577,0,79,23168,51,11409,28
2,68.2,63.4,"[[2022.2 2181.8]
 [   3.    12.2]]","[[7.0744e+03 9.7416e+03]
 [2.6000e+00 5.8200e+01]]",13557,21020,3,76,14086,48,6934,28
4,68.2,63.4,"[[1831.2 2012.8]
 [   3.    12.2]]","[[6.4096e+03 8.9664e+03]
 [2.6000e+00 5.8200e+01]]",15357,19220,3,76,12879,49,6341,27
6,68.8,63.8,"[[1728.4 1818. ]
 [   3.    12.2]]","[[5.9322e+03 8.2534e+03]
 [2.2000e+00 5.8600e+01]]",16845,17732,3,76,11878,53,5854,23
8,68.6,64.2,"[[1616.6 1680.2]
 [   3.    12.2]]","[[5.4858e+03 7.7014e+03]
 [2.2000e+00 5.8600e+01]]",18093,16484,3,76,11044,51,5440,25
10,68.0,63.4,"[[1523.2 1648.8]
 [   3.    12.2]]","[[5.220e+03 7.468e+03]
 [2.400e+00 5.840e+01]]",18717,15860,3,76,10623,54,5237,22
12,68.0,63.6,"[[1434.6 1564.6]
 [   3.    12.2]]","[[4.9016e+03 7.0952e+03]
 [2.4000e+00 5.8400e+01]]",19581,14996,3,76,10045,53,4951,23
14,68.2,64.8,"[[1369.8 1471. ]
 [   2.8   12.4]]","[[4.6134e+03 6.7498e+03]
 [2.2000e+00 5.8600e+01]]",20373,14204,3,76,9513,54,4691,22
16,67.4,64.2,"[[1297.4 1437.8]
 [   2.8   12.4]]","[[4.3554e+03 6.5854e+03]
 [2.4000e+00 5.8400e+01]]",20901,13676,3,76,9160,53,4516,23
18,67.6,65.2,"[[1238.  1367.6]
 [   2.4   12.8]]","[[4.1920e+03 6.2304e+03]
 [2.6000e+00 5.8200e+01]]",21549,13028,3,76,8729,50,4299,26
