Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,60.8,"[[6.7044e+03 2.1400e+02]
 [9.6000e+00 3.2000e+00]]","[[27417.2   256.4]
 [    0.     51.2]]",0,34592,0,64,23171,48,11421,16
2,99.0,63.8,"[[4021.4  185. ]
 [   8.6    4.2]]","[[16614.4   211.2]
 [    0.     51.2]]",13560,21032,0,64,14101,33,6931,31
4,99.0,58.2,"[[3.6992e+03 1.4740e+02]
 [1.0000e+01 2.6000e+00]]","[[15228.6   157.8]
 [    0.     50.4]]",15359,19233,1,63,12878,50,6355,13
6,99.0,59.6,"[[3.4138e+03 1.3520e+02]
 [9.6000e+00 3.0000e+00]]","[[14043.8   152.2]
 [    0.     50.4]]",16847,17745,1,63,11886,45,5859,18
8,99.0,59.0,"[[3.171e+03 1.294e+02]
 [9.000e+00 2.600e+00]]","[[13078.8   122.8]
 [    0.     46.4]]",18090,16502,6,58,11057,38,5445,20
10,99.0,61.6,"[[3036.6  139. ]
 [   8.4    3.2]]","[[12584.8   117.6]
 [    0.     46.4]]",18714,15878,6,58,10636,41,5242,17
12,99.0,63.4,"[[2892.   110.8]
 [   8.     3.6]]","[[11891.4   119.8]
 [    0.     46.4]]",19578,15014,6,58,10061,37,4953,21
14,99.0,55.2,"[[2.7388e+03 1.0560e+02]
 [9.8000e+00 1.8000e+00]]","[[11263.6   114. ]
 [    0.     46.4]]",20370,14222,6,58,9533,34,4689,24
16,99.0,62.0,"[[2620.2  118.6]
 [   8.2    3.4]]","[[10842.2   113. ]
 [    0.     46.4]]",20898,13694,6,58,9174,39,4520,19
18,99.0,61.2,"[[2496.6  112.6]
 [   8.2    3.4]]","[[10326.8   110. ]
 [    0.     46.4]]",21546,13046,6,58,8738,41,4308,17
20,99.0,61.0,"[[2397.    92.2]
 [   8.4    3.2]]","[[9853.2  103.6]
 [   0.    46.4]]",22146,12446,6,58,8338,39,4108,19
22,99.0,59.0,"[[2254.8  129.2]
 [   8.4    2.8]]","[[9449.2   86.8]
 [   0.    44.8]]",22672,11920,8,56,7987,36,3933,20
