Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,53.8,"[[6.8814e+03 3.7000e+01]
 [1.1600e+01 1.2000e+00]]","[[27673.6     0. ]
 [    0.     51.2]]",0,34592,0,64,23176,43,11416,21
2,100.0,54.4,"[[4.1514e+03 5.5000e+01]
 [1.1400e+01 1.4000e+00]]","[[16825.6     0. ]
 [    0.     51.2]]",13560,21032,0,64,14089,45,6943,19
4,100.0,54.2,"[[3.8102e+03 3.6400e+01]
 [1.1400e+01 1.2000e+00]]","[[15386.4     0. ]
 [    0.     50.4]]",15359,19233,1,63,12884,44,6349,19
6,100.0,53.4,"[[3.4954e+03 5.3600e+01]
 [1.1400e+01 1.2000e+00]]","[[14196.      0. ]
 [    0.     50.4]]",16847,17745,1,63,11887,44,5858,19
8,100.0,54.6,"[[3.2628e+03 3.7600e+01]
 [1.0400e+01 1.2000e+00]]","[[13201.6     0. ]
 [    0.     46.4]]",18090,16502,6,58,11056,39,5446,19
10,100.0,56.6,"[[3.1284e+03 4.7200e+01]
 [9.8000e+00 1.8000e+00]]","[[12702.4     0. ]
 [    0.     46.4]]",18714,15878,6,58,10643,34,5235,24
12,100.0,56.4,"[[2.9368e+03 6.6000e+01]
 [9.8000e+00 1.8000e+00]]","[[12011.2     0. ]
 [    0.     46.4]]",19578,15014,6,58,10060,38,4954,20
14,100.0,55.0,"[[2.7966e+03 4.7800e+01]
 [1.0200e+01 1.4000e+00]]","[[11377.6     0. ]
 [    0.     46.4]]",20370,14222,6,58,9531,36,4691,22
16,100.0,55.0,"[[2.6956e+03 4.3200e+01]
 [1.0200e+01 1.4000e+00]]","[[10955.2     0. ]
 [    0.     46.4]]",20898,13694,6,58,9178,35,4516,23
18,100.0,57.2,"[[2.578e+03 3.120e+01]
 [9.600e+00 2.000e+00]]","[[10436.8     0. ]
 [    0.     46.4]]",21546,13046,6,58,8734,45,4312,13
20,100.0,58.4,"[[2.4554e+03 3.3800e+01]
 [9.4000e+00 2.2000e+00]]","[[9956.8    0. ]
 [   0.    46.4]]",22146,12446,6,58,8336,41,4110,17
22,100.0,56.4,"[[2.3212e+03 6.2800e+01]
 [9.4000e+00 1.8000e+00]]","[[9536.     0. ]
 [   0.    44.8]]",22672,11920,8,56,7988,35,3932,21
24,100.0,52.2,"[[2.2876e+03 4.3600e+01]
 [1.0400e+01 8.0000e-01]]","[[9324.8    0. ]
 [   0.    44.8]]",22936,11656,8,56,7817,30,3839,26
26,100.0,52.2,"[[2.2148e+03 4.4400e+01]
 [1.0400e+01 8.0000e-01]]","[[9036.8    0. ]
 [   0.    44.8]]",23296,11296,8,56,7570,35,3726,21
28,100.0,55.2,"[[2.1386e+03 3.9000e+01]
 [9.8000e+00 1.4000e+00]]","[[8710.4    0. ]
 [   0.    44.8]]",23704,10888,8,56,7296,36,3592,20
30,100.0,52.8,"[[2.0668e+03 4.3600e+01]
 [1.0200e+01 1.0000e+00]]","[[8441.6    0. ]
 [   0.    44.8]]",24040,10552,8,56,7069,38,3483,18
32,100.0,58.4,"[[1974.8   73.2]
 [   8.8    2.4]]","[[8192.     0. ]
 [   0.    44.8]]",24352,10240,8,56,6861,37,3379,19
34,100.0,56.6,"[[1.8928e+03 5.0000e+01]
 [9.0000e+00 1.8000e+00]]","[[7771.2    0. ]
 [   0.    43.2]]",24878,9714,10,54,6508,36,3206,18
36,100.0,53.2,"[[1.8092e+03 3.7600e+01]
 [9.8000e+00 1.0000e+00]]","[[7387.2    0. ]
 [   0.    43.2]]",25358,9234,10,54,6184,38,3050,16
38,100.0,57.4,"[[1733.4   41.4]
 [   8.8    2. ]]","[[7099.2    0. ]
 [   0.    43.2]]",25718,8874,10,54,5944,37,2930,17
40,100.0,55.2,"[[1.6354e+03 1.5600e+01]
 [8.6000e+00 1.2000e+00]]","[[6604.     0. ]
 [   0.    39.2]]",26337,8255,15,49,5528,35,2727,14
42,100.0,56.4,"[[1.603e+03 1.000e+01]
 [8.000e+00 1.400e+00]]","[[6452.     0. ]
 [   0.    37.6]]",26527,8065,17,47,5405,30,2660,17
