Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,95.4,79.2,"[[6.1262e+03 7.9220e+02]
 [3.8000e+00 9.0000e+00]]","[[2.57174e+04 1.95620e+03]
 [6.00000e-01 5.06000e+01]]",0,34592,0,64,23178,41,11414,23
2,93.6,75.8,"[[3695.   511.4]
 [   4.6    8.2]]","[[1.54422e+04 1.38340e+03]
 [2.00000e+00 4.92000e+01]]",13560,21032,0,64,14091,43,6941,21
4,94.4,74.2,"[[3410.8  435.8]
 [   5.     7.6]]","[[1.42452e+04 1.14120e+03]
 [1.40000e+00 4.90000e+01]]",15359,19233,1,63,12886,42,6347,21
6,94.0,72.4,"[[3125.6  423.4]
 [   5.4    7.2]]","[[1.30364e+04 1.15960e+03]
 [1.40000e+00 4.90000e+01]]",16847,17745,1,63,11882,49,5863,14
8,94.4,77.4,"[[2923.   377.4]
 [   3.8    7.8]]","[[1.2127e+04 1.0746e+03]
 [1.0000e+00 4.5400e+01]]",18090,16502,6,58,11053,42,5449,16
10,93.8,81.6,"[[2798.6  377. ]
 [   2.8    8.8]]","[[1.16462e+04 1.05620e+03]
 [1.60000e+00 4.48000e+01]]",18714,15878,6,58,10640,37,5238,21
12,93.4,82.0,"[[2.6302e+03 3.7260e+02]
 [2.6000e+00 9.0000e+00]]","[[1.09744e+04 1.03680e+03]
 [1.80000e+00 4.46000e+01]]",19578,15014,6,58,10059,39,4955,19
14,93.2,77.4,"[[2519.4  325. ]
 [   3.8    7.8]]","[[1.03702e+04 1.00740e+03]
 [1.60000e+00 4.48000e+01]]",20370,14222,6,58,9523,44,4699,14
16,93.0,81.8,"[[2398.6  340.2]
 [   2.6    9. ]]","[[9.9722e+03 9.8300e+02]
 [1.8000e+00 4.4600e+01]]",20898,13694,6,58,9170,43,4524,15
18,93.0,82.0,"[[2276.2  333. ]
 [   2.6    9. ]]","[[9.4948e+03 9.4200e+02]
 [1.8000e+00 4.4600e+01]]",21546,13046,6,58,8738,41,4308,17
20,93.0,81.8,"[[2159.4  329.8]
 [   2.6    9. ]]","[[9.0318e+03 9.2500e+02]
 [1.8000e+00 4.4600e+01]]",22146,12446,6,58,8338,39,4108,19
22,94.0,78.8,"[[2060.8  323.2]
 [   3.2    8. ]]","[[8.7012e+03 8.3480e+02]
 [8.0000e-01 4.4000e+01]]",22672,11920,8,56,7985,38,3935,18
24,94.0,79.0,"[[2008.6  322.6]
 [   3.     8.2]]","[[8.4868e+03 8.3800e+02]
 [8.0000e-01 4.4000e+01]]",22936,11656,8,56,7815,32,3841,24
26,93.8,79.0,"[[1939.   320.2]
 [   3.     8.2]]","[[8.2168e+03 8.2000e+02]
 [8.0000e-01 4.4000e+01]]",23296,11296,8,56,7563,42,3733,14
28,93.8,81.8,"[[1870.   307.6]
 [   2.4    8.8]]","[[7.9202e+03 7.9020e+02]
 [8.0000e-01 4.4000e+01]]",23704,10888,8,56,7297,35,3591,21
30,93.8,78.2,"[[1804.6  305.8]
 [   3.2    8. ]]","[[7.6606e+03 7.8100e+02]
 [8.0000e-01 4.4000e+01]]",24040,10552,8,56,7068,39,3484,17
32,93.8,77.2,"[[1745.   303. ]
 [   3.4    7.8]]","[[7.4194e+03 7.7260e+02]
 [8.0000e-01 4.4000e+01]]",24352,10240,8,56,6860,38,3380,18
34,93.6,76.0,"[[1662.4  280.4]
 [   3.6    7.2]]","[[7.1078e+03 6.6340e+02]
 [1.2000e+00 4.2000e+01]]",24878,9714,10,54,6506,38,3208,16
36,93.8,76.6,"[[1601.4  245.4]
 [   3.6    7.2]]","[[6.7682e+03 6.1900e+02]
 [1.2000e+00 4.2000e+01]]",25358,9234,10,54,6187,35,3047,19
38,93.4,76.2,"[[1527.6  247.2]
 [   3.6    7.2]]","[[6.471e+03 6.282e+02]
 [1.200e+00 4.200e+01]]",25718,8874,10,54,5948,33,2926,21
40,92.8,80.2,"[[1435.2  215.8]
 [   2.6    7.2]]","[[5.9442e+03 6.5980e+02]
 [1.2000e+00 3.8000e+01]]",26337,8255,15,49,5530,33,2725,16
42,94.6,80.4,"[[1441.2  171.8]
 [   2.6    6.8]]","[[5.914e+03 5.380e+02]
 [6.000e-01 3.700e+01]]",26527,8065,17,47,5398,37,2667,10
44,94.2,80.0,"[[1377.6  201.8]
 [   2.6    6.8]]","[[5.7732e+03 5.4440e+02]
 [8.0000e-01 3.6800e+01]]",26695,7897,17,47,5292,30,2605,17
