Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,77.2,68.0,"[[4.0392e+03 2.8792e+03]
 [2.8000e+00 1.0000e+01]]","[[1.68952e+04 1.07784e+04]
 [2.80000e+00 4.84000e+01]]",0,34592,0,64,23176,43,11416,21
2,75.4,68.2,"[[2482.6 1723.8]
 [   2.8   10. ]]","[[9.6812e+03 7.1444e+03]
 [2.8000e+00 4.8400e+01]]",13560,21032,0,64,14094,40,6938,24
4,75.6,68.6,"[[2287.2 1559.4]
 [   2.6   10. ]]","[[8.8722e+03 6.5142e+03]
 [2.6000e+00 4.7800e+01]]",15359,19233,1,63,12889,39,6344,24
6,75.8,69.0,"[[2110.4 1438.6]
 [   2.6   10. ]]","[[8.1524e+03 6.0436e+03]
 [2.6000e+00 4.7800e+01]]",16847,17745,1,63,11892,39,5853,24
8,76.0,69.0,"[[2006.6 1293.8]
 [   2.6    9. ]]","[[7.7602e+03 5.4414e+03]
 [2.6000e+00 4.3800e+01]]",18090,16502,6,58,11057,38,5445,20
10,75.8,69.0,"[[1919.8 1255.8]
 [   2.4    9.2]]","[[7.4330e+03 5.2694e+03]
 [2.6000e+00 4.3800e+01]]",18714,15878,6,58,10638,39,5240,19
12,76.0,72.2,"[[1.7716e+03 1.2312e+03]
 [1.6000e+00 1.0000e+01]]","[[6.9686e+03 5.0426e+03]
 [2.4000e+00 4.4000e+01]]",19578,15014,6,58,10056,42,4958,16
14,76.0,69.0,"[[1726.2 1118.2]
 [   2.6    9. ]]","[[6.5884e+03 4.7892e+03]
 [2.6000e+00 4.3800e+01]]",20370,14222,6,58,9521,46,4701,12
16,75.8,71.8,"[[1.6190e+03 1.1198e+03]
 [1.6000e+00 1.0000e+01]]","[[6.3182e+03 4.6370e+03]
 [2.4000e+00 4.4000e+01]]",20898,13694,6,58,9171,42,4523,16
18,76.0,69.6,"[[1582.6 1026.6]
 [   2.4    9.2]]","[[6.0988e+03 4.3380e+03]
 [2.6000e+00 4.3800e+01]]",21546,13046,6,58,8736,43,4310,15
20,75.8,69.4,"[[1500.4  988.8]
 [   2.4    9.2]]","[[5.7890e+03 4.1678e+03]
 [2.6000e+00 4.3800e+01]]",22146,12446,6,58,8342,35,4104,23
22,82.6,69.2,"[[1698.6  685.4]
 [   3.6    7.6]]","[[7.1496e+03 2.3864e+03]
 [4.0000e+00 4.0800e+01]]",22672,11920,8,56,7987,36,3933,20
24,82.8,69.6,"[[1651.   680.2]
 [   3.4    7.8]]","[[6.9578e+03 2.3670e+03]
 [3.6000e+00 4.1200e+01]]",22936,11656,8,56,7810,37,3846,19
26,82.6,69.8,"[[1597.2  662. ]
 [   3.4    7.8]]","[[6.7070e+03 2.3298e+03]
 [3.6000e+00 4.1200e+01]]",23296,11296,8,56,7572,33,3724,23
28,81.8,67.8,"[[1538.2  639.4]
 [   3.8    7.4]]","[[6.4262e+03 2.2842e+03]
 [4.2000e+00 4.0600e+01]]",23704,10888,8,56,7293,39,3595,17
30,81.6,67.8,"[[1491.   619.4]
 [   3.8    7.4]]","[[6.2408e+03 2.2008e+03]
 [4.4000e+00 4.0400e+01]]",24040,10552,8,56,7071,36,3481,20
32,82.0,69.0,"[[1445.2  602.8]
 [   3.6    7.6]]","[[6.0708e+03 2.1212e+03]
 [4.0000e+00 4.0800e+01]]",24352,10240,8,56,6861,37,3379,19
34,82.8,68.6,"[[1414.2  528.6]
 [   3.8    7. ]]","[[5.9502e+03 1.8210e+03]
 [4.4000e+00 3.8800e+01]]",24878,9714,10,54,6503,41,3211,13
36,82.8,68.6,"[[1346.8  500. ]
 [   3.8    7. ]]","[[5.6586e+03 1.7286e+03]
 [4.4000e+00 3.8800e+01]]",25358,9234,10,54,6189,33,3045,21
38,82.8,70.4,"[[1290.2  484.6]
 [   3.4    7.4]]","[[5.3580e+03 1.7412e+03]
 [3.8000e+00 3.9400e+01]]",25718,8874,10,54,5944,37,2930,17
40,82.6,76.0,"[[1199.6  451.4]
 [   2.     7.8]]","[[4.9088e+03 1.6952e+03]
 [3.2000e+00 3.6000e+01]]",26337,8255,15,49,5530,33,2725,16
42,84.8,78.4,"[[1235.2  377.8]
 [   1.8    7.6]]","[[4.9084e+03 1.5436e+03]
 [2.2000e+00 3.5400e+01]]",26527,8065,17,47,5402,33,2663,14
44,85.2,77.6,"[[1195.6  383.8]
 [   1.8    7.6]]","[[4.8476e+03 1.4700e+03]
 [2.0000e+00 3.5600e+01]]",26695,7897,17,47,5291,31,2606,16
46,85.0,78.0,"[[1157.6  364.2]
 [   1.8    7.6]]","[[4.6522e+03 1.4350e+03]
 [2.0000e+00 3.5600e+01]]",26983,7609,17,47,5100,29,2509,18
48,84.8,77.6,"[[1101.4  362.8]
 [   1.8    7.6]]","[[4.4598e+03 1.3970e+03]
 [2.0000e+00 3.5600e+01]]",27271,7321,17,47,4903,33,2418,14
50,85.0,77.6,"[[1059.   342.8]
 [   1.8    7.6]]","[[4.2632e+03 1.3440e+03]
 [2.0000e+00 3.5600e+01]]",27583,7009,17,47,4692,35,2317,12
52,85.0,77.2,"[[1022.4  336.2]
 [   1.8    7.6]]","[[4.1606e+03 1.2738e+03]
 [2.0000e+00 3.5600e+01]]",27799,6793,17,47,4550,32,2243,15
54,86.2,74.8,"[[1004.8  296.4]
 [   2.4    6.8]]","[[4.0956e+03 1.1092e+03]
 [2.0000e+00 3.4800e+01]]",28086,6506,18,46,4360,29,2146,17
56,86.0,74.8,"[[970.6 282.6]
 [  2.4   6.8]]","[[3.9326e+03 1.0802e+03]
 [2.0000e+00 3.4800e+01]]",28326,6266,18,46,4196,33,2070,13
58,85.6,74.6,"[[916.2 274.6]
 [  2.4   6.8]]","[[3.7154e+03 1.0478e+03]
 [2.0000e+00 3.4800e+01]]",28638,5954,18,46,3996,24,1958,22
60,86.0,75.0,"[[879.6 249.2]
 [  2.4   6.4]]","[[3.5386e+03 9.7660e+02]
 [1.8000e+00 3.3400e+01]]",28948,5644,20,44,3782,28,1862,16
62,86.2,75.4,"[[851.6 238.8]
 [  2.4   6.4]]","[[3.4262e+03 9.3540e+02]
 [1.8000e+00 3.3400e+01]]",29140,5452,20,44,3656,26,1796,18
64,86.0,74.6,"[[819.2 237.6]
 [  2.4   6.4]]","[[3.2916e+03 9.3560e+02]
 [1.8000e+00 3.3400e+01]]",29308,5284,20,44,3537,32,1747,12
66,85.8,75.0,"[[786.4 227.2]
 [  2.4   6.4]]","[[3.1644e+03 8.9000e+02]
 [1.8000e+00 3.3400e+01]]",29524,5068,20,44,3393,32,1675,12
68,85.6,73.4,"[[735.  221.2]
 [  2.4   6.2]]","[[2.9614e+03 8.6340e+02]
 [1.8000e+00 3.2600e+01]]",29811,4781,21,43,3204,28,1577,15
70,86.2,73.6,"[[694.2 204.4]
 [  2.6   6. ]]","[[2.7896e+03 8.0480e+02]
 [1.6000e+00 3.2800e+01]]",30099,4493,21,43,3012,27,1481,16
72,85.4,73.4,"[[648.4 202.2]
 [  2.6   6. ]]","[[2.608e+03 7.944e+02]
 [1.600e+00 3.280e+01]]",30339,4253,21,43,2851,27,1402,16
74,85.2,72.6,"[[623.8 198. ]
 [  2.6   6. ]]","[[2.4942e+03 7.9300e+02]
 [1.6000e+00 3.2800e+01]]",30483,4109,21,43,2752,29,1357,14
76,87.2,70.6,"[[602.6 181.4]
 [  2.8   5.2]]","[[2.424e+03 7.120e+02]
 [6.000e-01 3.140e+01]]",30672,3920,24,40,2627,26,1293,14
78,87.8,77.4,"[[550.4 172.6]
 [  1.4   5.2]]","[[2.2304e+03 6.6160e+02]
 [2.0000e-01 2.6200e+01]]",30977,3615,31,33,2422,22,1193,11
