Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,63.2,"[[6.4654e+03 4.5420e+02]
 [7.6000e+00 4.0000e+00]]","[[27399.4   279. ]
 [    0.     46.4]]",0,34598,0,58,23177,42,11421,16
2,99.0,55.2,"[[4.1006e+03 1.1120e+02]
 [6.4000e+00 1.0000e+00]]","[[16763.     84.2]
 [    0.     29.6]]",13539,21059,21,37,14109,25,6950,12
4,99.0,57.6,"[[3.7972e+03 5.5000e+01]
 [5.8000e+00 1.2000e+00]]","[[15350.8    58. ]
 [    0.     28. ]]",15337,19261,23,35,12904,24,6357,11
6,99.0,58.6,"[[3.4884e+03 6.6200e+01]
 [5.6000e+00 1.4000e+00]]","[[14156.4    62. ]
 [    0.     28. ]]",16825,17773,23,35,11903,28,5870,7
8,99.0,56.2,"[[3.2576e+03 4.7400e+01]
 [6.0000e+00 1.0000e+00]]","[[13162.8    57.2]
 [    0.     28. ]]",18073,16525,23,35,11073,22,5452,13
10,99.0,60.0,"[[3.106e+03 7.420e+01]
 [5.400e+00 1.600e+00]]","[[12655.8    65. ]
 [    0.     28. ]]",18697,15901,23,35,10652,25,5249,10
12,99.0,59.8,"[[2.9448e+03 6.2600e+01]
 [5.4000e+00 1.6000e+00]]","[[11972.6    57. ]
 [    0.     28. ]]",19561,15037,23,35,10080,18,4957,17
14,99.0,57.2,"[[2.7898e+03 5.9200e+01]
 [5.8000e+00 1.2000e+00]]","[[11342.6    53.4]
 [    0.     28. ]]",20353,14245,23,35,9545,22,4700,13
16,99.0,57.6,"[[2.6446e+03 9.8800e+01]
 [5.6000e+00 1.4000e+00]]","[[10922.2    51.4]
 [    0.     28. ]]",20881,13717,23,35,9192,21,4525,14
18,99.0,60.6,"[[2.5356e+03 7.8200e+01]
 [5.2000e+00 1.8000e+00]]","[[10400.8    54.4]
 [    0.     28. ]]",21529,13069,23,35,8753,26,4316,9
20,99.0,58.2,"[[2.4182e+03 7.5600e+01]
 [5.6000e+00 1.4000e+00]]","[[9928.8   46.4]
 [   0.    28. ]]",22129,12469,23,35,8352,25,4117,10
22,99.0,54.6,"[[2.2932e+03 9.5000e+01]
 [6.0000e+00 1.0000e+00]]","[[9496.2   56.6]
 [   0.    28. ]]",22657,11941,23,35,7999,24,3942,11
24,99.0,53.2,"[[2.2438e+03 9.1600e+01]
 [6.2000e+00 8.0000e-01]]","[[9292.2   49.4]
 [   0.    28. ]]",22921,11677,23,35,7822,25,3855,10
26,99.0,56.6,"[[2.186e+03 7.740e+01]
 [5.800e+00 1.200e+00]]","[[9008.4   45.2]
 [   0.    28. ]]",23281,11317,23,35,7581,24,3736,11
28,99.0,60.6,"[[2.0994e+03 8.2400e+01]
 [5.2000e+00 1.8000e+00]]","[[8680.2   47. ]
 [   0.    28. ]]",23689,10909,23,35,7303,29,3606,6
30,99.0,56.6,"[[2.0614e+03 5.4200e+01]
 [5.0000e+00 1.0000e+00]]","[[8430.2   32.2]
 [   0.    24. ]]",24020,10578,28,30,7090,17,3488,13
32,99.0,56.4,"[[1.99e+03 6.32e+01]
 [5.00e+00 1.00e+00]]","[[8177.4   35.4]
 [   0.    24. ]]",24332,10266,28,30,6878,20,3388,10
34,99.0,59.6,"[[1.8934e+03 5.4200e+01]
 [4.6000e+00 1.4000e+00]]","[[7759.8   30.6]
 [   0.    24. ]]",24860,9738,28,30,6522,22,3216,8
36,99.0,63.6,"[[1.8136e+03 3.8000e+01]
 [4.2000e+00 1.8000e+00]]","[[7381.2   25.2]
 [   0.    24. ]]",25340,9258,28,30,6201,21,3057,9
38,99.0,61.6,"[[1.74e+03 3.96e+01]
 [4.40e+00 1.60e+00]]","[[7092.6   25.8]
 [   0.    24. ]]",25700,8898,28,30,5965,16,2933,14
40,99.0,59.0,"[[1.583e+03 7.180e+01]
 [4.600e+00 1.400e+00]]","[[6591.6   27.6]
 [   0.    24. ]]",26324,8274,28,30,5541,22,2733,8
42,99.0,59.8,"[[1.5694e+03 4.7000e+01]
 [4.6000e+00 1.4000e+00]]","[[6438.2   27.4]
 [   0.    24. ]]",26516,8082,28,30,5410,25,2672,5
44,99.0,57.8,"[[1.5276e+03 5.5200e+01]
 [4.8000e+00 1.2000e+00]]","[[6305.2   26. ]
 [   0.    24. ]]",26684,7914,28,30,5302,20,2612,10
46,99.0,58.2,"[[1.4938e+03 3.2000e+01]
 [4.4000e+00 1.0000e+00]]","[[6094.     9.2]
 [   0.    21.6]]",26969,7629,31,27,5111,18,2518,9
48,99.2,61.0,"[[1.4218e+03 4.6400e+01]
 [4.0000e+00 1.4000e+00]]","[[5863.8    9. ]
 [   0.    21.6]]",27257,7341,31,27,4918,18,2423,9
50,99.4,56.0,"[[1.3706e+03 3.5200e+01]
 [4.6000e+00 8.0000e-01]]","[[5616.8    6.4]
 [   0.    21.6]]",27569,7029,31,27,4708,19,2321,8
52,99.2,51.0,"[[1.308e+03 5.460e+01]
 [5.000e+00 4.000e-01]]","[[5443.4    7. ]
 [   0.    21.6]]",27785,6813,31,27,4564,18,2249,9
54,99.4,63.4,"[[1273.6   31.4]
 [   3.8    1.6]]","[[5213.4    6.6]
 [   0.    21.6]]",28073,6525,31,27,4371,18,2154,9
