Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.8,"[[6.8638e+03 5.5800e+01]
 [1.0800e+01 8.0000e-01]]","[[27678.4     0. ]
 [    0.     46.4]]",0,34598,0,58,23176,43,11422,15
2,100.0,56.4,"[[4.1888e+03 2.3000e+01]
 [6.4000e+00 1.0000e+00]]","[[16847.2     0. ]
 [    0.     29.6]]",13539,21059,21,37,14110,24,6949,13
4,100.0,55.0,"[[3.8402e+03 1.2000e+01]
 [6.2000e+00 8.0000e-01]]","[[15408.8     0. ]
 [    0.     28. ]]",15337,19261,23,35,12907,21,6354,14
6,100.0,55.0,"[[3.539e+03 1.560e+01]
 [6.200e+00 8.000e-01]]","[[14218.4     0. ]
 [    0.     28. ]]",16825,17773,23,35,11908,23,5865,12
8,100.0,55.0,"[[3.2908e+03 1.4200e+01]
 [6.2000e+00 8.0000e-01]]","[[13220.     0.]
 [    0.    28.]]",18073,16525,23,35,11073,22,5452,13
10,100.0,55.0,"[[3.1678e+03 1.2400e+01]
 [6.2000e+00 8.0000e-01]]","[[12720.8     0. ]
 [    0.     28. ]]",18697,15901,23,35,10655,22,5246,13
12,100.0,55.0,"[[2.9946e+03 1.2800e+01]
 [6.2000e+00 8.0000e-01]]","[[12029.6     0. ]
 [    0.     28. ]]",19561,15037,23,35,10078,20,4959,15
14,100.0,55.0,"[[2.8354e+03 1.3600e+01]
 [6.2000e+00 8.0000e-01]]","[[11396.     0.]
 [    0.    28.]]",20353,14245,23,35,9548,19,4697,16
16,100.0,55.0,"[[2.7306e+03 1.2800e+01]
 [6.2000e+00 8.0000e-01]]","[[10973.6     0. ]
 [    0.     28. ]]",20881,13717,23,35,9192,21,4525,14
18,100.0,55.0,"[[2.6008e+03 1.3000e+01]
 [6.2000e+00 8.0000e-01]]","[[10455.2     0. ]
 [    0.     28. ]]",21529,13069,23,35,8753,26,4316,9
20,100.0,55.0,"[[2.4784e+03 1.5400e+01]
 [6.2000e+00 8.0000e-01]]","[[9975.2    0. ]
 [   0.    28. ]]",22129,12469,23,35,8356,21,4113,14
22,100.0,55.0,"[[2.3732e+03 1.5000e+01]
 [6.2000e+00 8.0000e-01]]","[[9552.8    0. ]
 [   0.    28. ]]",22657,11941,23,35,8000,23,3941,12
24,100.0,55.0,"[[2.3212e+03 1.4200e+01]
 [6.2000e+00 8.0000e-01]]","[[9341.6    0. ]
 [   0.    28. ]]",22921,11677,23,35,7823,24,3854,11
26,100.0,55.0,"[[2.2476e+03 1.5800e+01]
 [6.2000e+00 8.0000e-01]]","[[9053.6    0. ]
 [   0.    28. ]]",23281,11317,23,35,7580,25,3737,10
28,100.0,58.0,"[[2.1694e+03 1.2400e+01]
 [5.8000e+00 1.2000e+00]]","[[8727.2    0. ]
 [   0.    28. ]]",23689,10909,23,35,7310,22,3599,13
30,100.0,52.6,"[[2.0978e+03 1.7800e+01]
 [5.6000e+00 4.0000e-01]]","[[8462.4    0. ]
 [   0.    24. ]]",24020,10578,28,30,7085,22,3493,8
