Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,92.4,62.2,"[[5.7584e+03 1.1612e+03]
 [6.6000e+00 5.0000e+00]]","[[2.44254e+04 3.25300e+03]
 [1.20000e+00 4.52000e+01]]",0,34598,0,58,23179,40,11419,18
2,92.6,71.0,"[[3.5438e+03 6.6800e+02]
 [3.0000e+00 4.4000e+00]]","[[1.47326e+04 2.11460e+03]
 [4.00000e-01 2.92000e+01]]",13539,21059,21,37,14115,19,6944,18
4,92.6,65.2,"[[3.2958e+03 5.5640e+02]
 [3.8000e+00 3.2000e+00]]","[[1.34588e+04 1.95000e+03]
 [4.00000e-01 2.76000e+01]]",15337,19261,23,35,12903,25,6358,10
6,92.2,65.2,"[[3035.2  519.4]
 [   3.8    3.2]]","[[1.23498e+04 1.86860e+03]
 [4.00000e-01 2.76000e+01]]",16825,17773,23,35,11909,22,5864,13
8,92.0,64.8,"[[2795.8  509.2]
 [   3.8    3.2]]","[[1.14266e+04 1.79340e+03]
 [4.00000e-01 2.76000e+01]]",18073,16525,23,35,11072,23,5453,12
10,92.0,63.2,"[[2683.   497.2]
 [   4.     3. ]]","[[1.10244e+04 1.69640e+03]
 [4.00000e-01 2.76000e+01]]",18697,15901,23,35,10656,21,5245,14
12,92.0,63.8,"[[2509.8  497.6]
 [   3.8    3.2]]","[[1.03908e+04 1.63880e+03]
 [4.00000e-01 2.76000e+01]]",19561,15037,23,35,10076,22,4961,13
14,92.0,61.0,"[[2364.   485. ]
 [   4.2    2.8]]","[[9.8256e+03 1.5704e+03]
 [4.0000e-01 2.7600e+01]]",20353,14245,23,35,9545,22,4700,13
16,91.8,63.6,"[[2262.6  480.8]
 [   3.8    3.2]]","[[9.4526e+03 1.5210e+03]
 [4.0000e-01 2.7600e+01]]",20881,13717,23,35,9188,25,4529,10
18,91.6,61.8,"[[2132.4  481.4]
 [   4.     3. ]]","[[8.9686e+03 1.4866e+03]
 [4.0000e-01 2.7600e+01]]",21529,13069,23,35,8758,21,4311,14
20,91.6,63.0,"[[2021.6  472.2]
 [   3.8    3.2]]","[[8.5118e+03 1.4634e+03]
 [4.0000e-01 2.7600e+01]]",22129,12469,23,35,8358,19,4111,16
22,91.4,65.6,"[[1931.6  456.6]
 [   3.4    3.6]]","[[8.1580e+03 1.3948e+03]
 [4.0000e-01 2.7600e+01]]",22657,11941,23,35,7997,26,3944,9
24,91.0,65.4,"[[1894.   441.4]
 [   3.4    3.6]]","[[7.9722e+03 1.3694e+03]
 [6.0000e-01 2.7400e+01]]",22921,11677,23,35,7830,17,3847,18
26,90.8,65.6,"[[1831.6  431.8]
 [   3.4    3.6]]","[[7.7024e+03 1.3512e+03]
 [6.0000e-01 2.7400e+01]]",23281,11317,23,35,7579,26,3738,9
28,90.8,65.2,"[[1749.6  432.2]
 [   3.4    3.6]]","[[7.4074e+03 1.3198e+03]
 [6.0000e-01 2.7400e+01]]",23689,10909,23,35,7304,28,3605,7
30,91.4,67.8,"[[1699.8  415.8]
 [   2.6    3.4]]","[[7.2462e+03 1.2162e+03]
 [4.0000e-01 2.3600e+01]]",24020,10578,28,30,7086,21,3492,9
32,90.8,67.6,"[[1637.8  415.4]
 [   2.6    3.4]]","[[7.0180e+03 1.1948e+03]
 [6.0000e-01 2.3400e+01]]",24332,10266,28,30,6875,23,3391,7
34,90.8,67.8,"[[1556.4  391.2]
 [   2.6    3.4]]","[[6.6576e+03 1.1328e+03]
 [6.0000e-01 2.3400e+01]]",24860,9738,28,30,6525,19,3213,11
36,90.6,69.4,"[[1477.   374.6]
 [   2.4    3.6]]","[[6.3014e+03 1.1050e+03]
 [6.0000e-01 2.3400e+01]]",25340,9258,28,30,6206,16,3052,14
38,90.6,70.8,"[[1413.2  366.4]
 [   2.2    3.8]]","[[6.0354e+03 1.0830e+03]
 [6.0000e-01 2.3400e+01]]",25700,8898,28,30,5961,20,2937,10
40,90.6,71.0,"[[1319.4  335.4]
 [   2.2    3.8]]","[[5.6026e+03 1.0166e+03]
 [6.0000e-01 2.3400e+01]]",26324,8274,28,30,5543,20,2731,10
42,90.4,70.4,"[[1275.8  340.6]
 [   2.2    3.8]]","[[5.4618e+03 1.0038e+03]
 [6.0000e-01 2.3400e+01]]",26516,8082,28,30,5415,20,2667,10
44,90.2,67.0,"[[1242.8  340. ]
 [   2.6    3.4]]","[[5.3170e+03 1.0142e+03]
 [6.0000e-01 2.3400e+01]]",26684,7914,28,30,5302,20,2612,10
46,92.6,74.4,"[[1214.4  311.4]
 [   1.6    3.8]]","[[5.3654e+03 7.3780e+02]
 [4.0000e-01 2.1200e+01]]",26969,7629,31,27,5108,21,2521,6
48,92.2,67.2,"[[1183.   285.2]
 [   2.6    2.8]]","[[5.2174e+03 6.5540e+02]
 [8.0000e-01 2.0800e+01]]",27257,7341,31,27,4920,16,2421,11
50,92.2,76.0,"[[1101.4  304.4]
 [   1.4    4. ]]","[[4.9554e+03 6.6780e+02]
 [6.0000e-01 2.1000e+01]]",27569,7029,31,27,4710,17,2319,10
52,92.8,72.2,"[[1054.   308.6]
 [   1.6    3.8]]","[[4.7902e+03 6.6020e+02]
 [4.0000e-01 2.1200e+01]]",27785,6813,31,27,4569,13,2244,14
54,92.4,74.6,"[[1013.4  291.6]
 [   1.6    3.8]]","[[4.6208e+03 5.9920e+02]
 [6.0000e-01 2.1000e+01]]",28073,6525,31,27,4369,20,2156,7
56,92.4,74.2,"[[970.6 286.4]
 [  1.6   3.8]]","[[4.4512e+03 5.7680e+02]
 [6.0000e-01 2.1000e+01]]",28313,6285,31,27,4208,21,2077,6
58,92.0,73.0,"[[947.4 247.2]
 [  1.6   3.8]]","[[4.226e+03 5.524e+02]
 [8.000e-01 2.080e+01]]",28625,5973,31,27,4004,16,1969,11
