Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,80.0,71.6,"[[4.4398e+03 2.4798e+03]
 [2.4000e+00 9.2000e+00]]","[[1.69766e+04 1.07018e+04]
 [2.00000e-01 4.62000e+01]]",0,34598,0,58,23181,38,11417,20
2,73.4,70.6,"[[2.3486e+03 1.8632e+03]
 [1.0000e+00 6.4000e+00]]","[[8.5030e+03 8.3442e+03]
 [8.0000e-01 2.8800e+01]]",13539,21059,21,37,14110,24,6949,13
4,73.2,69.0,"[[2.1642e+03 1.6880e+03]
 [1.2000e+00 5.8000e+00]]","[[7.8208e+03 7.5880e+03]
 [8.0000e-01 2.7200e+01]]",15337,19261,23,35,12907,21,6354,14
6,73.2,69.0,"[[1.9970e+03 1.5576e+03]
 [1.2000e+00 5.8000e+00]]","[[7.1972e+03 7.0212e+03]
 [8.0000e-01 2.7200e+01]]",16825,17773,23,35,11908,23,5865,12
8,73.2,69.2,"[[1.8656e+03 1.4394e+03]
 [1.2000e+00 5.8000e+00]]","[[6.6456e+03 6.5744e+03]
 [8.0000e-01 2.7200e+01]]",18073,16525,23,35,11070,25,5455,10
10,73.4,69.8,"[[1.8212e+03 1.3590e+03]
 [1.2000e+00 5.8000e+00]]","[[6.4816e+03 6.2392e+03]
 [8.0000e-01 2.7200e+01]]",18697,15901,23,35,10652,25,5249,10
12,73.0,69.6,"[[1.7100e+03 1.2974e+03]
 [1.2000e+00 5.8000e+00]]","[[6.0376e+03 5.9920e+03]
 [8.0000e-01 2.7200e+01]]",19561,15037,23,35,10078,20,4959,15
14,73.0,69.4,"[[1.6176e+03 1.2314e+03]
 [1.2000e+00 5.8000e+00]]","[[5.6866e+03 5.7094e+03]
 [8.0000e-01 2.7200e+01]]",20353,14245,23,35,9540,27,4705,8
16,73.0,69.4,"[[1.5596e+03 1.1838e+03]
 [1.2000e+00 5.8000e+00]]","[[5.4566e+03 5.5170e+03]
 [8.0000e-01 2.7200e+01]]",20881,13717,23,35,9185,28,4532,7
18,74.4,66.2,"[[1610.8 1003. ]
 [   2.     5. ]]","[[5.5110e+03 4.9442e+03]
 [8.0000e-01 2.7200e+01]]",21529,13069,23,35,8761,18,4308,17
20,74.4,66.0,"[[1531.   962.8]
 [   2.     5. ]]","[[5.2068e+03 4.7684e+03]
 [8.0000e-01 2.7200e+01]]",22129,12469,23,35,8352,25,4117,10
22,74.4,69.0,"[[1474.4  913.8]
 [   1.6    5.4]]","[[5.0122e+03 4.5406e+03]
 [8.0000e-01 2.7200e+01]]",22657,11941,23,35,8005,18,3936,17
24,74.4,69.0,"[[1447.4  888. ]
 [   1.6    5.4]]","[[4.8958e+03 4.4458e+03]
 [8.0000e-01 2.7200e+01]]",22921,11677,23,35,7825,22,3852,13
26,74.4,69.2,"[[1407.2  856.2]
 [   1.6    5.4]]","[[4.7302e+03 4.3234e+03]
 [8.0000e-01 2.7200e+01]]",23281,11317,23,35,7582,23,3735,12
28,74.4,69.2,"[[1358.   823.8]
 [   1.6    5.4]]","[[4.5544e+03 4.1728e+03]
 [8.0000e-01 2.7200e+01]]",23689,10909,23,35,7309,23,3600,12
30,75.0,70.0,"[[1.0716e+03 1.0440e+03]
 [6.0000e-01 5.4000e+00]]","[[4290.8 4171.6]
 [   0.    24. ]]",24020,10578,28,30,7085,22,3493,8
32,74.8,69.8,"[[1.0356e+03 1.0176e+03]
 [6.0000e-01 5.4000e+00]]","[[4139.6 4073.2]
 [   0.    24. ]]",24332,10266,28,30,6877,21,3389,9
