Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,58.8,"[[5.8144e+03 1.1026e+03]
 [9.4000e+00 4.8000e+00]]","[[27265.2   402.8]
 [    0.     56.8]]",0,34585,0,71,23163,56,11422,15
2,99.0,64.4,"[[3321.   885.2]
 [   6.4    6.6]]","[[16607.4   217.4]
 [    0.     52. ]]",13554,21031,6,65,14090,44,6941,21
4,99.0,58.0,"[[3001.8  844.4]
 [   8.     5. ]]","[[15186.8   198. ]
 [    0.     52. ]]",15354,19231,6,65,12886,42,6345,23
6,99.0,58.6,"[[3043.   505.6]
 [   8.8    4.2]]","[[13985.8   208.6]
 [    0.     52. ]]",16842,17743,6,65,11893,38,5850,27
8,99.0,62.0,"[[2605.  694.]
 [   7.    6.]]","[[12997.2   198.8]
 [    0.     52. ]]",18090,16495,6,65,11051,44,5444,21
10,98.8,65.4,"[[2765.4  408.8]
 [   7.2    5.8]]","[[12484.2   212.6]
 [    0.     52. ]]",18714,15871,6,65,10629,48,5242,17
12,98.8,63.6,"[[2640.2  361.2]
 [   7.8    5.2]]","[[11814.6   191. ]
 [    0.     52. ]]",19578,15007,6,65,10054,44,4953,21
14,98.8,66.8,"[[2599.8  243.2]
 [   7.4    5.6]]","[[11180.8   191.2]
 [    0.     52. ]]",20370,14215,6,65,9522,45,4693,20
16,98.8,64.2,"[[2408.8  328.6]
 [   7.6    5.4]]","[[10757.2   192.4]
 [    0.     52. ]]",20898,13687,6,65,9167,46,4520,19
18,99.0,57.8,"[[2406.8  201.4]
 [   9.6    3. ]]","[[10260.4   172.4]
 [    0.     50.4]]",21544,13041,8,63,8737,42,4304,21
20,99.0,59.6,"[[2318.   170.2]
 [   9.2    3.4]]","[[9793.   159.8]
 [   0.    50.4]]",22144,12441,8,63,8331,46,4110,17
22,99.0,62.8,"[[2182.6  200.2]
 [   8.     4.4]]","[[9393.6  137.6]
 [   0.    49.6]]",22671,11914,9,62,7979,44,3935,18
24,99.0,61.2,"[[2189.2  140.8]
 [   8.8    3.6]]","[[9194.4  125.6]
 [   0.    49.6]]",22935,11650,9,62,7811,36,3839,26
26,99.0,59.8,"[[2059.   199. ]
 [   8.8    3.6]]","[[8902.   130. ]
 [   0.    49.6]]",23295,11290,9,62,7562,43,3728,19
28,99.0,61.2,"[[1901.   275.4]
 [   8.     4.4]]","[[8579.2  126.4]
 [   0.    49.6]]",23703,10882,9,62,7287,45,3595,17
30,98.8,57.6,"[[1994.8  114.4]
 [   9.8    2.6]]","[[8301.6  135.2]
 [   0.    49.6]]",24039,10546,9,62,7070,37,3476,25
32,99.0,58.2,"[[1870.2  176.6]
 [   9.2    3.2]]","[[8076.8  110.4]
 [   0.    49.6]]",24351,10234,9,62,6862,36,3372,26
34,99.0,57.6,"[[1834.   107.8]
 [   9.2    2.6]]","[[7679.4   87.8]
 [   0.    47.2]]",24876,9709,12,59,6496,48,3213,11
36,99.0,60.0,"[[1703.8  142. ]
 [   8.4    3.4]]","[[7292.    91.2]
 [   0.    47.2]]",25356,9229,12,59,6183,39,3046,20
38,99.0,60.6,"[[1664.2  109.6]
 [   8.4    3.4]]","[[7010.4   84.8]
 [   0.    47.2]]",25716,8869,12,59,5938,43,2931,16
40,99.0,59.0,"[[1535.   115.2]
 [   7.8    2.8]]","[[6523.    77.8]
 [   0.    42.4]]",26334,8251,18,53,5522,41,2729,12
42,99.0,72.0,"[[1569.    45. ]
 [   4.4    4. ]]","[[6397.8   58.2]
 [   0.    33.6]]",26515,8070,29,42,5408,27,2662,15
