Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.6,"[[6.8108e+03 1.0620e+02]
 [1.3200e+01 1.0000e+00]]","[[27668.      0. ]
 [    0.     56.8]]",0,34585,0,71,23171,48,11414,23
2,100.0,49.0,"[[3.9606e+03 2.4560e+02]
 [1.2400e+01 6.0000e-01]]","[[16824.8     0. ]
 [    0.     52. ]]",13554,21031,6,65,14094,40,6937,25
4,100.0,56.0,"[[3.5786e+03 2.6760e+02]
 [1.0400e+01 2.6000e+00]]","[[15384.8     0. ]
 [    0.     52. ]]",15354,19231,6,65,12889,39,6342,26
6,100.0,51.2,"[[3.2928e+03 2.5580e+02]
 [1.1600e+01 1.4000e+00]]","[[14194.4     0. ]
 [    0.     52. ]]",16842,17743,6,65,11888,43,5855,22
8,100.0,51.0,"[[3.0312e+03 2.6780e+02]
 [1.1600e+01 1.4000e+00]]","[[13196.     0.]
 [    0.    52.]]",18090,16495,6,65,11053,42,5442,23
10,100.0,54.2,"[[3.1236e+03 5.0600e+01]
 [1.1600e+01 1.4000e+00]]","[[12696.8     0. ]
 [    0.     52. ]]",18714,15871,6,65,10635,42,5236,23
12,100.0,54.2,"[[2.9448e+03 5.6600e+01]
 [1.1600e+01 1.4000e+00]]","[[12005.6     0. ]
 [    0.     52. ]]",19578,15007,6,65,10057,41,4950,24
14,100.0,54.0,"[[2.7814e+03 6.1600e+01]
 [1.1600e+01 1.4000e+00]]","[[11372.     0.]
 [    0.    52.]]",20370,14215,6,65,9524,43,4691,22
16,100.0,54.4,"[[2.6692e+03 6.8200e+01]
 [1.1400e+01 1.6000e+00]]","[[10949.6     0. ]
 [    0.     52. ]]",20898,13687,6,65,9169,44,4518,21
18,100.0,50.6,"[[2.5424e+03 6.5800e+01]
 [1.2000e+01 6.0000e-01]]","[[10432.8     0. ]
 [    0.     50.4]]",21544,13041,8,63,8742,37,4299,26
20,100.0,53.8,"[[2.3878e+03 1.0040e+02]
 [1.1000e+01 1.6000e+00]]","[[9952.8    0. ]
 [   0.    50.4]]",22144,12441,8,63,8341,36,4100,27
22,100.0,56.0,"[[2.2984e+03 8.4400e+01]
 [1.0400e+01 2.0000e+00]]","[[9531.2    0. ]
 [   0.    49.6]]",22671,11914,9,62,7978,45,3936,17
24,100.0,54.4,"[[2.231e+03 9.900e+01]
 [1.060e+01 1.800e+00]]","[[9320.     0. ]
 [   0.    49.6]]",22935,11650,9,62,7805,42,3845,20
26,100.0,53.4,"[[2.1114e+03 1.4660e+02]
 [1.0600e+01 1.8000e+00]]","[[9032.     0. ]
 [   0.    49.6]]",23295,11290,9,62,7560,45,3730,17
28,100.0,56.6,"[[2078.8   97.6]
 [  10.2    2.2]]","[[8705.6    0. ]
 [   0.    49.6]]",23703,10882,9,62,7292,40,3590,22
30,100.0,49.4,"[[2.0416e+03 6.7600e+01]
 [1.2000e+01 4.0000e-01]]","[[8436.8    0. ]
 [   0.    49.6]]",24039,10546,9,62,7065,42,3481,20
32,100.0,53.4,"[[1.9628e+03 8.4000e+01]
 [1.1000e+01 1.4000e+00]]","[[8187.2    0. ]
 [   0.    49.6]]",24351,10234,9,62,6852,46,3382,16
34,100.0,58.0,"[[1817.2  124.6]
 [   9.     2.8]]","[[7767.2    0. ]
 [   0.    47.2]]",24876,9709,12,59,6504,40,3205,19
36,100.0,66.8,"[[1747.8   98. ]
 [   7.     4.8]]","[[7383.2    0. ]
 [   0.    47.2]]",25356,9229,12,59,6187,35,3042,24
38,100.0,56.8,"[[1615.4  158.4]
 [   9.     2.8]]","[[7095.2    0. ]
 [   0.    47.2]]",25716,8869,12,59,5936,45,2933,14
40,100.0,51.4,"[[1.6154e+03 3.4800e+01]
 [1.0000e+01 6.0000e-01]]","[[6600.8    0. ]
 [   0.    42.4]]",26334,8251,18,53,5532,31,2719,22
42,100.0,58.2,"[[1559.6   54.4]
 [   6.6    1.8]]","[[6456.     0. ]
 [   0.    33.6]]",26515,8070,29,42,5411,24,2659,18
44,100.0,54.8,"[[1.5202e+03 6.0200e+01]
 [7.2000e+00 1.2000e+00]]","[[6321.6    0. ]
 [   0.    33.6]]",26683,7902,29,42,5291,31,2611,11
46,100.0,50.4,"[[1.433e+03 8.980e+01]
 [7.800e+00 6.000e-01]]","[[6091.2    0. ]
 [   0.    33.6]]",26971,7614,29,42,5095,34,2519,8
48,100.0,55.8,"[[1.4076e+03 5.7600e+01]
 [7.0000e+00 1.4000e+00]]","[[5860.8    0. ]
 [   0.    33.6]]",27259,7326,29,42,4902,34,2424,8
50,100.0,50.2,"[[1.3188e+03 8.4000e+01]
 [7.8000e+00 6.0000e-01]]","[[5611.2    0. ]
 [   0.    33.6]]",27571,7014,29,42,4698,29,2316,13
52,100.0,55.0,"[[1.2992e+03 6.0400e+01]
 [7.2000e+00 1.2000e+00]]","[[5438.4    0. ]
 [   0.    33.6]]",27787,6798,29,42,4554,28,2244,14
54,100.0,52.8,"[[1.2598e+03 4.2200e+01]
 [7.6000e+00 8.0000e-01]]","[[5208.     0. ]
 [   0.    33.6]]",28075,6510,29,42,4359,30,2151,12
56,100.0,52.6,"[[1.209e+03 4.500e+01]
 [7.600e+00 8.000e-01]]","[[5016.     0. ]
 [   0.    33.6]]",28315,6270,29,42,4202,27,2068,15
58,100.0,56.2,"[[1112.4   79.4]
 [   6.6    1.6]]","[[4767.2    0. ]
 [   0.    32.8]]",28626,5959,30,41,3991,29,1968,12
60,100.0,56.8,"[[1099.8   29.6]
 [   6.8    1.4]]","[[4517.6    0. ]
 [   0.    32.8]]",28938,5647,30,41,3781,29,1866,12
62,100.0,58.6,"[[1064.8   26.2]
 [   6.6    1.6]]","[[4364.     0. ]
 [   0.    32.8]]",29130,5455,30,41,3655,27,1800,14
64,100.0,56.6,"[[1045.2   12.2]
 [   7.     1.2]]","[[4229.6    0. ]
 [   0.    32.8]]",29298,5287,30,41,3537,32,1750,9
66,100.0,57.8,"[[993.6  20.6]
 [  6.6   1.6]]","[[4056.8    0. ]
 [   0.    32.8]]",29514,5071,30,41,3398,27,1673,14
68,100.0,59.2,"[[905.8  50.8]
 [  6.2   2. ]]","[[3826.4    0. ]
 [   0.    32.8]]",29802,4783,30,41,3201,31,1582,10
70,100.0,52.2,"[[8.8e+02 1.9e+01]
 [7.6e+00 6.0e-01]]","[[3596.     0. ]
 [   0.    32.8]]",30090,4495,30,41,3008,31,1487,10
72,100.0,52.8,"[[8.386e+02 1.240e+01]
 [7.600e+00 6.000e-01]]","[[3404.     0. ]
 [   0.    32.8]]",30330,4255,30,41,2852,26,1403,15
74,100.0,52.4,"[[8.066e+02 1.560e+01]
 [7.600e+00 6.000e-01]]","[[3288.8    0. ]
 [   0.    32.8]]",30474,4111,30,41,2749,32,1362,9
76,100.0,53.4,"[[764.8  19.8]
 [  6.6   0.8]]","[[3138.4    0. ]
 [   0.    29.6]]",30662,3923,34,37,2629,24,1294,13
78,100.0,64.0,"[[680.   44.4]
 [  3.4   1.8]]","[[2897.6    0. ]
 [   0.    20.8]]",30963,3622,45,26,2428,16,1194,10
