Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,90.8,71.0,"[[5.6868e+03 1.2302e+03]
 [5.6000e+00 8.6000e+00]]","[[2.438e+04 3.288e+03]
 [3.200e+00 5.360e+01]]",0,34585,0,71,23167,52,11418,19
2,93.4,66.6,"[[3516.4  689.8]
 [   6.4    6.6]]","[[1.5195e+04 1.6298e+03]
 [1.4000e+00 5.0600e+01]]",13554,21031,6,65,14081,53,6950,12
4,92.8,66.4,"[[3191.2  655. ]
 [   6.4    6.6]]","[[1.37936e+04 1.59120e+03]
 [1.60000e+00 5.04000e+01]]",15354,19231,6,65,12877,51,6354,14
6,92.4,65.4,"[[2921.4  627.2]
 [   6.6    6.4]]","[[1.26562e+04 1.53820e+03]
 [1.80000e+00 5.02000e+01]]",16842,17743,6,65,11882,49,5861,16
8,91.8,63.4,"[[2711.6  587.4]
 [   7.     6. ]]","[[1.17348e+04 1.46120e+03]
 [2.40000e+00 4.96000e+01]]",18090,16495,6,65,11052,43,5443,22
10,91.6,63.2,"[[2628.6  545.6]
 [   7.2    5.8]]","[[1.12536e+04 1.44320e+03]
 [2.40000e+00 4.96000e+01]]",18714,15871,6,65,10641,36,5230,29
12,91.4,63.2,"[[2478.6  522.8]
 [   7.2    5.8]]","[[1.0611e+04 1.3946e+03]
 [2.4000e+00 4.9600e+01]]",19578,15007,6,65,10055,43,4952,22
14,91.2,64.6,"[[2342.   501. ]
 [   6.8    6.2]]","[[1.00168e+04 1.35520e+03]
 [2.40000e+00 4.96000e+01]]",20370,14215,6,65,9521,46,4694,19
16,91.2,64.2,"[[2236.   501.4]
 [   6.8    6.2]]","[[9.6416e+03 1.3080e+03]
 [2.4000e+00 4.9600e+01]]",20898,13687,6,65,9168,45,4519,20
18,91.0,63.2,"[[2175.4  432.8]
 [   7.     5.6]]","[[9.2628e+03 1.1700e+03]
 [2.8000e+00 4.7600e+01]]",21544,13041,8,63,8739,40,4302,23
20,91.6,63.2,"[[2076.8  411.4]
 [   7.     5.6]]","[[8.8510e+03 1.1018e+03]
 [2.4000e+00 4.8000e+01]]",22144,12441,8,63,8341,36,4100,27
22,92.6,66.6,"[[2004.4  378.4]
 [   6.2    6.2]]","[[8.4494e+03 1.0818e+03]
 [1.2000e+00 4.8400e+01]]",22671,11914,9,62,7983,40,3931,22
24,91.0,61.4,"[[1870.2  459.8]
 [   7.     5.4]]","[[8.316e+03 1.004e+03]
 [3.000e+00 4.660e+01]]",22935,11650,9,62,7800,47,3850,15
26,91.2,62.0,"[[1842.2  415.8]
 [   7.     5.4]]","[[8.0418e+03 9.9020e+02]
 [2.8000e+00 4.6800e+01]]",23295,11290,9,62,7561,44,3729,18
28,91.6,63.2,"[[1796.4  380. ]
 [   7.     5.4]]","[[7.7108e+03 9.9480e+02]
 [2.2000e+00 4.7400e+01]]",23703,10882,9,62,7289,43,3593,19
30,91.2,62.8,"[[1725.2  384. ]
 [   6.8    5.6]]","[[7.494e+03 9.428e+02]
 [2.600e+00 4.700e+01]]",24039,10546,9,62,7058,49,3488,13
32,91.2,65.4,"[[1670.2  376.6]
 [   6.2    6.2]]","[[7.2144e+03 9.7280e+02]
 [2.2000e+00 4.7400e+01]]",24351,10234,9,62,6853,45,3381,17
34,91.4,67.4,"[[1527.6  414.2]
 [   5.     6.8]]","[[6.853e+03 9.142e+02]
 [2.200e+00 4.500e+01]]",24876,9709,12,59,6505,39,3204,20
36,91.6,63.0,"[[1455.4  390.4]
 [   6.     5.8]]","[[6.5084e+03 8.7480e+02]
 [1.8000e+00 4.5400e+01]]",25356,9229,12,59,6187,35,3042,24
38,91.4,68.0,"[[1397.4  376.4]
 [   4.8    7. ]]","[[6.2304e+03 8.6480e+02]
 [1.8000e+00 4.5400e+01]]",25716,8869,12,59,5946,35,2923,24
40,89.8,56.6,"[[1308.2  342. ]
 [   7.     3.6]]","[[5.7496e+03 8.5120e+02]
 [2.8000e+00 3.9600e+01]]",26334,8251,18,53,5528,35,2723,18
42,91.8,68.8,"[[1315.8  298.2]
 [   3.6    4.8]]","[[5.6532e+03 8.0280e+02]
 [1.0000e+00 3.2600e+01]]",26515,8070,29,42,5409,26,2661,16
44,90.8,69.6,"[[1296.   284.4]
 [   3.6    4.8]]","[[5.5244e+03 7.9720e+02]
 [1.6000e+00 3.2000e+01]]",26683,7902,29,42,5295,27,2607,15
46,90.8,68.0,"[[1236.2  286.6]
 [   3.6    4.8]]","[[5.3178e+03 7.7340e+02]
 [1.6000e+00 3.2000e+01]]",26971,7614,29,42,5102,27,2512,15
48,91.6,68.2,"[[1172.   293.2]
 [   3.6    4.8]]","[[5.1202e+03 7.4060e+02]
 [1.0000e+00 3.2600e+01]]",27259,7326,29,42,4904,32,2422,10
50,91.2,67.4,"[[1113.6  289.2]
 [   3.6    4.8]]","[[4.8792e+03 7.3200e+02]
 [1.4000e+00 3.2200e+01]]",27571,7014,29,42,4706,21,2308,21
52,90.8,67.2,"[[1068.   291.6]
 [   3.6    4.8]]","[[4.7632e+03 6.7520e+02]
 [1.6000e+00 3.2000e+01]]",27787,6798,29,42,4554,28,2244,14
54,91.0,67.2,"[[1025.4  276.6]
 [   3.6    4.8]]","[[4.5428e+03 6.6520e+02]
 [1.4000e+00 3.2200e+01]]",28075,6510,29,42,4360,29,2150,13
56,91.2,67.0,"[[985.  269. ]
 [  3.6   4.8]]","[[4.3642e+03 6.5180e+02]
 [1.2000e+00 3.2400e+01]]",28315,6270,29,42,4195,34,2075,8
58,90.8,64.0,"[[945.6 246.2]
 [  4.    4.2]]","[[4.148e+03 6.192e+02]
 [1.600e+00 3.120e+01]]",28626,5959,30,41,3992,28,1967,13
60,91.2,65.4,"[[875.8 253.6]
 [  3.8   4.4]]","[[3.9296e+03 5.8800e+02]
 [1.2000e+00 3.1600e+01]]",28938,5647,30,41,3785,25,1862,16
62,91.2,66.6,"[[845.2 245.8]
 [  3.6   4.6]]","[[3.7872e+03 5.7680e+02]
 [1.2000e+00 3.1600e+01]]",29130,5455,30,41,3652,30,1803,11
64,91.0,63.8,"[[816.6 240.8]
 [  4.    4.2]]","[[3.6684e+03 5.6120e+02]
 [1.2000e+00 3.1600e+01]]",29298,5287,30,41,3543,26,1744,15
66,90.8,62.6,"[[775.4 238.8]
 [  4.    4.2]]","[[3.5082e+03 5.4860e+02]
 [1.2000e+00 3.1600e+01]]",29514,5071,30,41,3395,30,1676,11
68,89.8,63.4,"[[729.6 227. ]
 [  4.    4.2]]","[[3.3258e+03 5.0060e+02]
 [2.2000e+00 3.0600e+01]]",29802,4783,30,41,3200,32,1583,9
70,90.0,62.2,"[[675.4 223.6]
 [  4.2   4. ]]","[[3.075e+03 5.210e+02]
 [1.400e+00 3.140e+01]]",30090,4495,30,41,3018,21,1477,20
72,89.6,60.0,"[[631.  220. ]
 [  4.4   3.8]]","[[2.9054e+03 4.9860e+02]
 [1.6000e+00 3.1200e+01]]",30330,4255,30,41,2848,30,1407,11
74,90.0,59.2,"[[608.6 213.6]
 [  4.4   3.8]]","[[2.798e+03 4.908e+02]
 [1.400e+00 3.140e+01]]",30474,4111,30,41,2749,32,1362,9
76,90.6,61.8,"[[599.8 184.8]
 [  3.8   3.6]]","[[2.6784e+03 4.6000e+02]
 [1.0000e+00 2.8600e+01]]",30662,3923,34,37,2627,26,1296,11
78,92.4,64.8,"[[523.8 200.6]
 [  2.2   3. ]]","[[2492.   405.6]
 [   0.    20.8]]",30963,3622,45,26,2423,21,1199,5
