Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,74.8,50.8,"[[5.064e+03 1.853e+03]
 [1.000e+01 4.200e+00]]","[[2.42714e+04 3.39660e+03]
 [2.12000e+01 3.56000e+01]]",0,34585,0,71,23168,51,11417,20
2,73.0,39.8,"[[2554.8 1651.4]
 [  10.4    2.6]]","[[12123.   4701.8]
 [   12.8    39.2]]",13554,21031,6,65,14093,41,6938,24
4,72.6,39.2,"[[2290.4 1555.8]
 [  10.4    2.6]]","[[11019.   4365.8]
 [   13.2    38.8]]",15354,19231,6,65,12891,37,6340,28
6,72.6,39.4,"[[2128.4 1420.2]
 [  10.4    2.6]]","[[10152.6  4041.8]
 [   13.2    38.8]]",16842,17743,6,65,11883,48,5860,17
8,72.4,39.4,"[[1981.6 1317.4]
 [  10.4    2.6]]","[[9436.  3760. ]
 [  13.4   38.6]]",18090,16495,6,65,11056,39,5439,26
10,72.0,39.4,"[[1904.2 1270. ]
 [  10.4    2.6]]","[[9051.6 3645.2]
 [  13.6   38.4]]",18714,15871,6,65,10630,47,5241,18
12,72.0,39.2,"[[1788.6 1212.8]
 [  10.4    2.6]]","[[8553.4 3452.2]
 [  13.6   38.4]]",19578,15007,6,65,10061,37,4946,28
14,72.0,39.4,"[[1699.  1144. ]
 [  10.4    2.6]]","[[8079.2 3292.8]
 [  13.6   38.4]]",20370,14215,6,65,9521,46,4694,19
16,72.0,39.0,"[[1624.8 1112.6]
 [  10.4    2.6]]","[[7784.  3165.6]
 [  13.6   38.4]]",20898,13687,6,65,9170,43,4517,22
18,76.8,53.8,"[[2016.8  591.4]
 [   8.6    4. ]]","[[9392.2 1040.6]
 [  18.    32.4]]",21544,13041,8,63,8740,39,4301,24
20,76.2,53.8,"[[1914.   574.2]
 [   8.6    4. ]]","[[8980.4  972.4]
 [  18.6   31.8]]",22144,12441,8,63,8335,42,4106,21
22,75.6,54.0,"[[1823.8  559. ]
 [   8.4    4. ]]","[[8395.6 1135.6]
 [  17.8   31.8]]",22671,11914,9,62,7979,44,3935,18
24,76.8,53.2,"[[1793.2  536.8]
 [   8.4    4. ]]","[[8265.  1055. ]
 [  17.    32.6]]",22935,11650,9,62,7807,40,3843,22
26,76.6,54.0,"[[1731.   527. ]
 [   8.2    4.2]]","[[7992.6 1039.4]
 [  16.8   32.8]]",23295,11290,9,62,7565,40,3725,22
28,78.2,55.8,"[[1645.6  530.8]
 [   8.     4.4]]","[[7599.4 1106.2]
 [  14.8   34.8]]",23703,10882,9,62,7297,35,3585,27
30,77.6,55.2,"[[1628.4  480.8]
 [   8.     4.4]]","[[7397.6 1039.2]
 [  15.4   34.2]]",24039,10546,9,62,7061,46,3485,16
32,76.4,54.8,"[[1596.8  450. ]
 [   8.4    4. ]]","[[7146.2 1041. ]
 [  16.8   32.8]]",24351,10234,9,62,6857,41,3377,21
34,77.0,56.8,"[[1537.6  404.2]
 [   7.6    4.2]]","[[6879.6  887.6]
 [  15.8   31.4]]",24876,9709,12,59,6502,42,3207,17
36,76.6,56.8,"[[1465.4  380.4]
 [   7.6    4.2]]","[[6541.4  841.8]
 [  16.2   31. ]]",25356,9229,12,59,6185,37,3044,22
38,76.4,57.6,"[[1438.   335.8]
 [   7.6    4.2]]","[[6281.2  814. ]
 [  16.2   31. ]]",25716,8869,12,59,5943,38,2926,21
40,71.2,45.0,"[[948.  702.2]
 [  7.2   3.4]]","[[4374.4 2226.4]
 [   9.8   32.6]]",26334,8251,18,53,5530,33,2721,20
42,72.0,55.8,"[[980.2 633.8]
 [  4.    4.4]]","[[4382.2 2073.8]
 [   7.6   26. ]]",26515,8070,29,42,5411,24,2659,18
44,71.4,58.2,"[[1006.2  574.2]
 [   4.     4.4]]","[[4336.4 1985.2]
 [   8.4   25.2]]",26683,7902,29,42,5295,27,2607,15
46,71.2,57.6,"[[986.6 536.2]
 [  4.    4.4]]","[[4179.4 1911.8]
 [   8.4   25.2]]",26971,7614,29,42,5102,27,2512,15
48,72.0,54.8,"[[884.4 580.8]
 [  4.2   4.2]]","[[3926.2 1934.6]
 [   7.4   26.2]]",27259,7326,29,42,4907,29,2419,13
50,71.0,57.0,"[[899.  503.8]
 [  4.    4.4]]","[[3814.  1797.2]
 [   8.4   25.2]]",27571,7014,29,42,4697,30,2317,12
52,71.4,58.4,"[[896.8 462.8]
 [  4.    4.4]]","[[3741.6 1696.8]
 [   8.4   25.2]]",27787,6798,29,42,4552,30,2246,12
54,70.6,56.8,"[[814.4 487.6]
 [  4.    4.4]]","[[3761.8 1446.2]
 [  10.    23.6]]",28075,6510,29,42,4361,28,2149,14
56,71.2,55.8,"[[786.2 467.8]
 [  4.2   4.2]]","[[3632.  1384. ]
 [   9.6   24. ]]",28315,6270,29,42,4204,25,2066,17
58,71.6,54.8,"[[784.2 407.6]
 [  4.4   3.8]]","[[3508.4 1258.8]
 [   9.8   23. ]]",28626,5959,30,41,3993,27,1966,14
60,72.4,54.0,"[[677.4 452. ]
 [  4.2   4. ]]","[[2991.6 1526. ]
 [   6.8   26. ]]",28938,5647,30,41,3786,24,1861,17
62,72.6,50.8,"[[652.8 438.2]
 [  4.8   3.4]]","[[2891.4 1472.6]
 [   6.6   26.2]]",29130,5455,30,41,3659,23,1796,18
64,72.4,51.0,"[[625.8 431.6]
 [  4.6   3.6]]","[[2780.  1449.6]
 [   6.6   26.2]]",29298,5287,30,41,3548,21,1739,20
66,72.2,53.8,"[[612.8 401.4]
 [  4.2   4. ]]","[[2667.8 1389. ]
 [   6.6   26.2]]",29514,5071,30,41,3398,27,1673,14
68,68.2,52.0,"[[600.8 355.8]
 [  4.8   3.4]]","[[2775.8 1050.6]
 [  11.8   21. ]]",29802,4783,30,41,3211,21,1572,20
70,72.0,50.8,"[[540.  359. ]
 [  4.8   3.4]]","[[2367.  1229. ]
 [   6.8   26. ]]",30090,4495,30,41,3008,31,1487,10
72,68.4,49.4,"[[507.6 343.4]
 [  5.    3.2]]","[[2394.4 1009.6]
 [  10.8   22. ]]",30330,4255,30,41,2850,28,1405,13
74,71.2,49.6,"[[473.2 349. ]
 [  4.6   3.6]]","[[2093.2 1195.6]
 [   6.6   26.2]]",30474,4111,30,41,2753,28,1358,13
76,74.0,51.2,"[[455.4 329.2]
 [  4.    3.4]]","[[2112.  1026.4]
 [   5.4   24.2]]",30662,3923,34,37,2631,22,1292,15
78,72.4,63.8,"[[315.  409.4]
 [  0.8   4.4]]","[[1.4762e+03 1.4214e+03]
 [1.0000e+00 1.9800e+01]]",30963,3622,45,26,2425,19,1197,7
