Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.0,58.8,"[[5.8622e+03 1.0548e+03]
 [6.4000e+00 3.2000e+00]]","[[27377.6   290.4]
 [    0.     38.4]]",0,34585,0,48,23175,29,11410,19
5,99.0,51.8,"[[2.8796e+03 8.0820e+02]
 [6.4000e+00 2.4000e+00]]","[[14634.8   116.4]
 [    0.     35.2]]",16146,18439,4,44,12353,30,6086,14
10,99.0,58.4,"[[2.9088e+03 2.6540e+02]
 [6.4000e+00 2.4000e+00]]","[[12577.8   119. ]
 [    0.     35.2]]",18714,15871,4,44,10633,30,5238,14
15,99.0,64.8,"[[2601.2  193.8]
 [   5.6    3.2]]","[[11067.4   112.6]
 [    0.     35.2]]",20610,13975,4,44,9363,29,4612,15
20,99.0,63.8,"[[2365.8  122.4]
 [   5.8    2.8]]","[[9858.4   94.4]
 [   0.    34.4]]",22144,12441,5,43,8334,30,4107,13
25,99.0,59.0,"[[2142.2  144.6]
 [   6.2    2.2]]","[[9088.4   58.8]
 [   0.    33.6]]",23151,11434,6,42,7659,29,3775,13
30,99.0,67.4,"[[1964.6  144.6]
 [   4.8    3.6]]","[[8378.8   58. ]
 [   0.    33.6]]",24039,10546,6,42,7065,28,3481,14
35,99.0,59.8,"[[1793.6   85.8]
 [   6.2    2. ]]","[[7475.2   42.4]
 [   0.    32.8]]",25188,9397,7,41,6297,26,3100,15
40,99.0,67.0,"[[1598.4   51.8]
 [   4.4    2.8]]","[[6571.4   29.4]
 [   0.    28.8]]",26334,8251,12,36,5522,30,2729,6
45,99.0,63.6,"[[1524.2   32.2]
 [   4.     1.8]]","[[6205.8   19.8]
 [   0.    23.2]]",26803,7782,19,29,5216,17,2566,12
50,99.0,65.8,"[[1381.    21.8]
 [   3.8    2. ]]","[[5590.8   20.4]
 [   0.    23.2]]",27571,7014,19,29,4701,17,2313,12
55,99.0,62.6,"[[1226.6   46.6]
 [   4.     1.8]]","[[5077.4   15.4]
 [   0.    23.2]]",28219,6366,19,29,4263,21,2103,8
60,99.0,61.0,"[[1086.    43.4]
 [   4.     1.6]]","[[4504.    13.6]
 [   0.    22.4]]",28938,5647,20,28,3781,21,1866,7
65,99.0,58.4,"[[988.   40.6]
 [  4.4   1.2]]","[[4105.     9.4]
 [   0.    22.4]]",29442,5143,20,28,3447,17,1696,11
70,99.2,59.0,"[[820.4  78.6]
 [  4.2   1.4]]","[[3588.2    7.8]
 [   0.    22.4]]",30090,4495,20,28,3009,21,1486,7
75,99.2,61.0,"[[743.8  68.8]
 [  3.8   1.8]]","[[3243.6    6.8]
 [   0.    22.4]]",30522,4063,20,28,2720,20,1343,8
80,100.0,67.0,"[[641.4  35. ]
 [  2.    1.6]]","[[2705.6    0. ]
 [   0.    14.4]]",31203,3382,30,18,2266,12,1116,6
85,100.0,58.2,"[[553.   18.2]
 [  2.6   0.6]]","[[2284.8    0. ]
 [   0.    12.8]]",31729,2856,32,16,1912,12,944,4
90,100.0,68.0,"[[4.096e+02 1.500e+01]
 [1.000e+00 4.000e-01]]","[[1698.4    0. ]
 [   0.     5.6]]",32462,2123,41,7,1423,4,700,3
95,100.0,68.8,"[[285.    5.6]
 [  0.6   0.4]]","[[1162.4    0. ]
 [   0.     4. ]]",33132,1453,43,5,974,2,479,3
