Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,100.0,52.4,"[[6.8044e+03 1.1260e+02]
 [1.3200e+01 1.0000e+00]]","[[27668.      0. ]
 [    0.     56.8]]",0,34585,0,71,23171,48,11414,23
5,100.0,48.8,"[[3.4594e+03 2.2840e+02]
 [1.2400e+01 6.0000e-01]]","[[14751.2     0. ]
 [    0.     52. ]]",16146,18439,6,65,12357,40,6082,25
10,100.0,54.2,"[[3.1314e+03 4.2800e+01]
 [1.1600e+01 1.4000e+00]]","[[12696.8     0. ]
 [    0.     52. ]]",18714,15871,6,65,10640,37,5231,28
15,100.0,53.0,"[[2.7016e+03 9.3400e+01]
 [1.1600e+01 1.4000e+00]]","[[11180.     0.]
 [    0.    52.]]",20610,13975,6,65,9367,39,4608,26
20,100.0,62.8,"[[2384.2  104. ]
 [   8.6    4. ]]","[[9952.8    0. ]
 [   0.    50.4]]",22144,12441,8,63,8344,33,4097,30
25,100.0,54.4,"[[2.1262e+03 1.6060e+02]
 [1.0400e+01 2.0000e+00]]","[[9147.2    0. ]
 [   0.    49.6]]",23151,11434,9,62,7665,37,3769,25
30,100.0,51.2,"[[2.0544e+03 5.4800e+01]
 [1.1600e+01 8.0000e-01]]","[[8436.8    0. ]
 [   0.    49.6]]",24039,10546,9,62,7068,39,3478,23
35,100.0,61.2,"[[1798.2   81.2]
 [   8.6    3.2]]","[[7517.6    0. ]
 [   0.    47.2]]",25188,9397,12,59,6293,42,3104,17
40,100.0,52.0,"[[1.6048e+03 4.5400e+01]
 [9.8000e+00 8.0000e-01]]","[[6600.8    0. ]
 [   0.    42.4]]",26334,8251,18,53,5526,37,2725,16
45,100.0,56.2,"[[1460.8   95.6]
 [   6.8    1.6]]","[[6225.6    0. ]
 [   0.    33.6]]",26803,7782,29,42,5216,26,2566,16
50,100.0,48.0,"[[1.3238e+03 7.9000e+01]
 [8.2000e+00 2.0000e-01]]","[[5611.2    0. ]
 [   0.    33.6]]",27571,7014,29,42,4696,31,2318,11
55,100.0,55.2,"[[1.231e+03 4.220e+01]
 [7.200e+00 1.200e+00]]","[[5092.8    0. ]
 [   0.    33.6]]",28219,6366,29,42,4265,28,2101,14
60,100.0,59.4,"[[1095.8   33.6]
 [   6.4    1.8]]","[[4517.6    0. ]
 [   0.    32.8]]",28938,5647,30,41,3789,21,1858,20
65,100.0,59.4,"[[978.8  49.8]
 [  6.2   2. ]]","[[4114.4    0. ]
 [   0.    32.8]]",29442,5143,30,41,3443,30,1700,11
70,100.0,52.2,"[[8.8e+02 1.9e+01]
 [7.6e+00 6.0e-01]]","[[3596.     0. ]
 [   0.    32.8]]",30090,4495,30,41,3012,27,1483,14
75,100.0,55.6,"[[769.6  43. ]
 [  6.8   1.4]]","[[3250.4    0. ]
 [   0.    32.8]]",30522,4063,30,41,2724,25,1339,16
80,100.0,59.0,"[[644.4  32. ]
 [  4.    1.2]]","[[2705.6    0. ]
 [   0.    20.8]]",31203,3382,45,26,2266,17,1116,9
85,100.0,56.2,"[[551.4  19.8]
 [  4.    0.8]]","[[2284.8    0. ]
 [   0.    19.2]]",31729,2856,47,24,1910,19,946,5
90,100.0,49.6,"[[3.962e+02 2.840e+01]
 [2.400e+00 2.000e-01]]","[[1698.4    0. ]
 [   0.    10.4]]",32462,2123,58,13,1421,10,702,3
95,100.0,70.4,"[[277.   13.6]
 [  1.2   1. ]]","[[1162.4    0. ]
 [   0.     8.8]]",33132,1453,60,11,974,6,479,5
