Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,90.8,71.0,"[[5.6868e+03 1.2302e+03]
 [5.6000e+00 8.6000e+00]]","[[2.438e+04 3.288e+03]
 [3.200e+00 5.360e+01]]",0,34585,0,71,23167,52,11418,19
5,92.6,66.4,"[[3059.6  628.2]
 [   6.4    6.6]]","[[1.31926e+04 1.55860e+03]
 [1.80000e+00 5.02000e+01]]",16146,18439,6,65,12355,42,6084,23
10,91.6,63.2,"[[2628.6  545.6]
 [   7.2    5.8]]","[[1.12536e+04 1.44320e+03]
 [2.40000e+00 4.96000e+01]]",18714,15871,6,65,10631,46,5240,19
15,91.0,64.4,"[[2295.6  499.4]
 [   6.8    6.2]]","[[9.8426e+03 1.3374e+03]
 [2.4000e+00 4.9600e+01]]",20610,13975,6,65,9359,47,4616,18
20,91.6,63.2,"[[2076.8  411.4]
 [   7.     5.6]]","[[8.8510e+03 1.1018e+03]
 [2.4000e+00 4.8000e+01]]",22144,12441,8,63,8332,45,4109,18
25,92.6,66.0,"[[1897.8  389. ]
 [   6.2    6.2]]","[[8.0978e+03 1.0494e+03]
 [1.2000e+00 4.8400e+01]]",23151,11434,9,62,7661,41,3773,21
30,91.2,62.8,"[[1725.2  384. ]
 [   6.8    5.6]]","[[7.494e+03 9.428e+02]
 [2.600e+00 4.700e+01]]",24039,10546,9,62,7063,44,3483,18
35,91.0,68.2,"[[1457.8  421.6]
 [   4.8    7. ]]","[[6.6234e+03 8.9420e+02]
 [2.4000e+00 4.4800e+01]]",25188,9397,12,59,6298,37,3099,22
40,89.8,56.6,"[[1308.2  342. ]
 [   7.     3.6]]","[[5.7496e+03 8.5120e+02]
 [2.8000e+00 3.9600e+01]]",26334,8251,18,53,5529,34,2722,19
45,90.8,69.8,"[[1274.6  281.8]
 [   3.6    4.8]]","[[5.4384e+03 7.8720e+02]
 [1.6000e+00 3.2000e+01]]",26803,7782,29,42,5213,29,2569,13
50,91.2,67.4,"[[1113.6  289.2]
 [   3.6    4.8]]","[[4.8792e+03 7.3200e+02]
 [1.4000e+00 3.2200e+01]]",27571,7014,29,42,4698,29,2316,13
55,91.0,67.8,"[[1003.4  269.8]
 [   3.6    4.8]]","[[4.4366e+03 6.5620e+02]
 [1.4000e+00 3.2200e+01]]",28219,6366,29,42,4269,24,2097,18
60,91.2,65.4,"[[875.8 253.6]
 [  3.8   4.4]]","[[3.9296e+03 5.8800e+02]
 [1.2000e+00 3.1600e+01]]",28938,5647,30,41,3784,26,1863,15
65,90.4,65.4,"[[793.8 234.8]
 [  3.8   4.4]]","[[3.5802e+03 5.3420e+02]
 [1.6000e+00 3.1200e+01]]",29442,5143,30,41,3447,26,1696,15
70,90.0,62.2,"[[675.4 223.6]
 [  4.2   4. ]]","[[3.075e+03 5.210e+02]
 [1.400e+00 3.140e+01]]",30090,4495,30,41,3015,24,1480,17
75,89.8,62.6,"[[603.  209.6]
 [  4.    4.2]]","[[2.7894e+03 4.6100e+02]
 [1.8000e+00 3.1000e+01]]",30522,4063,30,41,2722,27,1341,14
80,92.2,62.6,"[[486.2 190.2]
 [  2.4   2.8]]","[[2309.8  395.8]
 [   0.    20.8]]",31203,3382,45,26,2263,20,1119,6
85,93.2,66.4,"[[420.  151.2]
 [  1.8   3. ]]","[[1993.   291.8]
 [   0.    19.2]]",31729,2856,47,24,1913,16,943,8
90,93.8,62.2,"[[319.2 105.4]
 [  1.4   1.2]]","[[1502.6  195.8]
 [   0.    10.4]]",32462,2123,58,13,1421,10,702,3
95,95.4,51.2,"[[242.8  47.8]
 [  1.8   0.4]]","[[1067.4   95. ]
 [   0.     8.8]]",33132,1453,60,11,972,8,481,3
