Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,76.0,53.0,"[[5.0182e+03 1.8988e+03]
 [6.2000e+00 3.4000e+00]]","[[2.49916e+04 2.67640e+03]
 [1.44000e+01 2.40000e+01]]",0,34585,0,48,23171,33,11414,15
5,77.2,57.4,"[[2876.4  811.4]
 [   5.4    3.4]]","[[1.3380e+04 1.3712e+03]
 [1.2400e+01 2.2800e+01]]",16146,18439,4,44,12347,36,6092,8
10,77.8,57.6,"[[2444.   730.2]
 [   5.4    3.4]]","[[11495.8  1201. ]
 [   11.8    23.4]]",18714,15871,4,44,10628,35,5243,9
15,78.0,64.0,"[[2117.6  677.4]
 [   4.2    4.6]]","[[10098.8  1081.2]
 [   11.6    23.6]]",20610,13975,4,44,9363,29,4612,15
20,78.8,65.4,"[[1902.6  585.6]
 [   4.     4.6]]","[[8957.   995.8]
 [  10.8   23.6]]",22144,12441,5,43,8336,28,4105,15
25,79.2,64.8,"[[1764.8  522. ]
 [   3.8    4.6]]","[[8147.8  999.4]
 [  10.    23.6]]",23151,11434,6,42,7661,27,3773,15
30,78.8,63.4,"[[1586.2  523. ]
 [   4.     4.4]]","[[7393.6 1043.2]
 [   9.8   23.8]]",24039,10546,6,42,7070,23,3476,19
35,79.8,64.0,"[[1438.   441.4]
 [   4.     4.2]]","[[6591.4  926.2]
 [   9.    23.8]]",25188,9397,7,41,6294,29,3103,12
40,77.0,54.2,"[[1163.2  487. ]
 [   4.4    2.8]]","[[5564.8 1036. ]
 [   8.4   20.4]]",26334,8251,12,36,5526,26,2725,10
45,71.4,45.0,"[[845.6 710.8]
 [  3.6   2.2]]","[[3960.4 2265.2]
 [   4.6   18.6]]",26803,7782,19,29,5216,17,2566,12
50,71.6,50.8,"[[851.  551.8]
 [  3.4   2.4]]","[[3718.8 1892.4]
 [   5.2   18. ]]",27571,7014,19,29,4693,25,2321,4
55,71.2,57.2,"[[807.4 465.8]
 [  2.8   3. ]]","[[3438.  1654.8]
 [   5.6   17.6]]",28219,6366,19,29,4263,21,2103,8
60,71.0,44.2,"[[591.4 538. ]
 [  3.4   2.2]]","[[2835.2 1682.4]
 [   4.4   18. ]]",28938,5647,20,28,3780,22,1867,6
65,70.6,44.2,"[[564.2 464.4]
 [  3.6   2. ]]","[[2612.  1502.4]
 [   4.8   17.6]]",29442,5143,20,28,3453,11,1690,17
70,72.4,51.6,"[[585.4 313.6]
 [  3.6   2. ]]","[[2382.8 1213.2]
 [   4.6   17.8]]",30090,4495,20,28,3012,18,1483,10
75,70.0,42.8,"[[422.2 390.4]
 [  3.6   2. ]]","[[2005.6 1244.8]
 [   4.6   17.8]]",30522,4063,20,28,2720,20,1343,8
80,78.6,52.0,"[[368.6 307.8]
 [  1.6   2. ]]","[[1.6070e+03 1.0986e+03]
 [2.0000e-01 1.4200e+01]]",31203,3382,30,18,2262,16,1120,2
85,85.8,59.8,"[[422.4 148.8]
 [  1.8   1.4]]","[[1657.8  627. ]
 [   0.    12.8]]",31729,2856,32,16,1911,13,945,3
90,89.0,66.6,"[[314.2 110.4]
 [  0.8   0.6]]","[[1338.2  360.2]
 [   0.     5.6]]",32462,2123,41,7,1421,6,702,1
95,95.0,94.4,"[[259.8  30.8]
 [  0.    1. ]]","[[1058.   104.4]
 [   0.     4. ]]",33132,1453,43,5,972,4,481,1
