Threshold,TrainAUC,TestAUC,Test CM,Train CM,NoRain_NoCloud,NoRain_Cloud,Rain_NoCloud,Rain_Cloud,S0train,S1train,S0test,S1test
0,99.6,56.8,"[[6.7572e+03 1.5980e+02]
 [1.1800e+01 2.4000e+00]]","[[2.76676e+04 4.00000e-01]
 [0.00000e+00 5.68000e+01]]",0,34585,0,71,23169,50,11416,21
5,100.0,54.2,"[[3.5836e+03 1.0420e+02]
 [1.1400e+01 1.6000e+00]]","[[14751.2     0. ]
 [    0.     52. ]]",16146,18439,6,65,12350,47,6089,18
10,99.8,58.0,"[[3.122e+03 5.220e+01]
 [1.060e+01 2.400e+00]]","[[1.26966e+04 2.00000e-01]
 [0.00000e+00 5.20000e+01]]",18714,15871,6,65,10635,42,5236,23
15,100.0,61.0,"[[2747.8   47.2]
 [   9.8    3.2]]","[[11180.     0.]
 [    0.    52.]]",20610,13975,6,65,9364,42,4611,23
20,100.0,52.4,"[[2.4584e+03 2.9800e+01]
 [1.1800e+01 8.0000e-01]]","[[9952.8    0. ]
 [   0.    50.4]]",22144,12441,8,63,8335,42,4106,21
25,100.0,52.6,"[[2.239e+03 4.780e+01]
 [1.140e+01 1.000e+00]]","[[9147.2    0. ]
 [   0.    49.6]]",23151,11434,9,62,7656,46,3778,16
30,100.0,50.6,"[[2.0742e+03 3.5000e+01]
 [1.2000e+01 4.0000e-01]]","[[8436.8    0. ]
 [   0.    49.6]]",24039,10546,9,62,7062,45,3484,17
35,99.8,54.8,"[[1.8126e+03 6.6800e+01]
 [1.0200e+01 1.6000e+00]]","[[7.5174e+03 2.0000e-01]
 [0.0000e+00 4.7200e+01]]",25188,9397,12,59,6293,42,3104,17
40,100.0,59.4,"[[1602.8   47.4]
 [   8.2    2.4]]","[[6600.8    0. ]
 [   0.    42.4]]",26334,8251,18,53,5527,36,2724,17
45,99.8,61.0,"[[1529.8   26.6]
 [   6.4    2. ]]","[[6.2254e+03 2.0000e-01]
 [0.0000e+00 3.3600e+01]]",26803,7782,29,42,5217,25,2565,17
50,100.0,60.4,"[[1380.8   22. ]
 [   6.4    2. ]]","[[5611.2    0. ]
 [   0.    33.6]]",27571,7014,29,42,4697,30,2317,12
55,99.8,59.8,"[[1252.4   20.8]
 [   6.6    1.8]]","[[5.0926e+03 2.0000e-01]
 [0.0000e+00 3.3600e+01]]",28219,6366,29,42,4264,29,2102,13
60,99.8,59.6,"[[1104.    25.4]
 [   6.4    1.8]]","[[4.5174e+03 2.0000e-01]
 [0.0000e+00 3.2800e+01]]",28938,5647,30,41,3782,28,1865,13
65,99.8,63.2,"[[1002.2   26.4]
 [   5.8    2.4]]","[[4.1142e+03 2.0000e-01]
 [0.0000e+00 3.2800e+01]]",29442,5143,30,41,3444,29,1699,12
70,99.8,55.6,"[[874.2  24.8]
 [  7.    1.2]]","[[3.5958e+03 2.0000e-01]
 [0.0000e+00 3.2800e+01]]",30090,4495,30,41,3010,29,1485,12
75,99.8,64.2,"[[766.   46.6]
 [  5.4   2.8]]","[[3.2502e+03 2.0000e-01]
 [0.0000e+00 3.2800e+01]]",30522,4063,30,41,2727,22,1336,19
80,99.8,67.4,"[[651.6  24.8]
 [  3.2   2. ]]","[[2.7054e+03 2.0000e-01]
 [0.0000e+00 2.0800e+01]]",31203,3382,45,26,2272,11,1110,15
85,99.6,71.4,"[[559.2  12. ]
 [  2.6   2.2]]","[[2.2844e+03 4.0000e-01]
 [0.0000e+00 1.9200e+01]]",31729,2856,47,24,1913,16,943,8
90,99.6,65.8,"[[405.8  18.8]
 [  1.8   0.8]]","[[1.698e+03 4.000e-01]
 [0.000e+00 1.040e+01]]",32462,2123,58,13,1421,10,702,3
95,99.2,67.0,"[[274.8  15.8]
 [  1.4   0.8]]","[[1.1616e+03 8.0000e-01]
 [0.0000e+00 8.8000e+00]]",33132,1453,60,11,977,3,476,8
